Date,Product Name,Quantity
2018-12-02,Cocoa Powder - 500g,2
2018-12-03,Cocoa Powder - 500g,1
2019-01-03,Cocoa Powder - 500g,2
2019-01-16,Cocoa Powder - 500g,3
2019-01-18,Cocoa Powder - 500g,1
2019-01-25,Cocoa Powder - 500g,1
2019-01-29,Cocoa Powder - 500g,1
2019-02-06,Cocoa Powder - 500g,2
2019-02-12,Cocoa Powder - 500g,1
2019-02-13,Cocoa Powder - 500g,1
2019-02-14,Cocoa Powder - 500g,1
2019-02-17,Cocoa Powder - 500g,1
2019-03-04,Cocoa Powder - 500g,1
2019-03-15,Cocoa Powder - 500g,1
2019-03-23,Cocoa Powder - 500g,1
2019-04-06,Cocoa Powder - 500g,1
2019-04-12,Cocoa Powder - 500g,2
2019-04-18,Cocoa Powder - 500g,2
2019-04-22,Cocoa Powder - 500g,1
2019-04-23,Cocoa Powder - 500g,3
2019-04-26,Cocoa Powder - 500g,1
2019-04-29,Cocoa Powder - 500g,1
2019-05-02,Cocoa Powder - 500g,1
2019-05-03,Cocoa Powder - 500g,1
2019-05-06,Cocoa Powder - 500g,2
2019-05-08,Cocoa Powder - 500g,1
2019-05-17,Cocoa Powder - 500g,1
2019-07-08,Cocoa Powder - 500g,2
2019-07-12,Cocoa Powder - 500g,1
2019-07-15,Cocoa Powder - 500g,1
2019-07-22,Cocoa Powder - 500g,1
2019-07-31,Cocoa Powder - 500g,1
2019-08-08,Cocoa Powder - 500g,1
2019-08-14,Cocoa Powder - 500g,1
2019-08-16,Cocoa Powder - 500g,1
2019-08-23,Cocoa Powder - 500g,2
2019-09-02,Cocoa Powder - 500g,1
2019-09-04,Cocoa Powder - 500g,1
2019-09-16,Cocoa Powder - 500g,2
2019-09-17,Cocoa Powder - 500g,1
2019-09-18,Cocoa Powder - 500g,2
2019-09-22,Cocoa Powder - 500g,2
2019-10-04,Cocoa Powder - 500g,1
2019-10-08,Cocoa Powder - 500g,1
2019-10-13,Cocoa Powder - 500g,2
2019-10-14,Cocoa Powder - 500g,1
2019-10-16,Cocoa Powder - 500g,2
2019-10-18,Cocoa Powder - 500g,1
2019-10-23,Cocoa Powder - 500g,1
2019-11-22,Cocoa Powder - 500g,2
2019-11-23,Cocoa Powder - 500g,1
2019-11-25,Cocoa Powder - 500g,4
2019-11-26,Cocoa Powder - 500g,1
2019-12-02,Cocoa Powder - 500g,1
2019-12-03,Cocoa Powder - 500g,1
2019-12-13,Cocoa Powder - 500g,2
2020-01-10,Cocoa Powder - 500g,1
2020-01-13,Cocoa Powder - 500g,1
2020-01-14,Cocoa Powder - 500g,2
2020-01-15,Cocoa Powder - 500g,1
2020-01-17,Cocoa Powder - 500g,1
2020-01-20,Cocoa Powder - 500g,1
2020-01-21,Cocoa Powder - 500g,1
2020-02-04,Cocoa Powder - 500g,1
2020-03-18,Cocoa Powder - 500g,2
2020-03-19,Cocoa Powder - 500g,6
2020-03-20,Cocoa Powder - 500g,2
2020-03-23,Cocoa Powder - 500g,2
2020-03-25,Cocoa Powder - 500g,1
2020-03-28,Cocoa Powder - 500g,1
2020-03-30,Cocoa Powder - 500g,1
2020-03-31,Cocoa Powder - 500g,1
2020-04-01,Cocoa Powder - 500g,2
2020-04-03,Cocoa Powder - 500g,1
