Date,Product Name,Quantity
2022-10-27,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-10-30,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-10-31,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-11-02,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2022-11-05,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2022-11-11,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-11-12,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-11-13,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2022-11-15,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-11-30,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2022-12-01,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-12-05,Nature's Choice Tummy Flush Prune Juice - 250ml,4
2022-12-07,Nature's Choice Tummy Flush Prune Juice - 250ml,6
2022-12-09,Nature's Choice Tummy Flush Prune Juice - 250ml,3
2022-12-12,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2022-12-13,Nature's Choice Tummy Flush Prune Juice - 250ml,27
2022-12-14,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-12-18,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2022-12-23,Nature's Choice Tummy Flush Prune Juice - 250ml,5
2022-12-29,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2022-12-30,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-01-03,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-01-04,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-05,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-08,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-14,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-16,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-17,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-23,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-29,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-01-30,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-02,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-06,Nature's Choice Tummy Flush Prune Juice - 250ml,3
2023-02-07,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-02-09,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-02-11,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-13,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-16,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-18,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-02-19,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-23,Nature's Choice Tummy Flush Prune Juice - 250ml,3
2023-02-24,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-25,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-26,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-02-27,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-02-28,Nature's Choice Tummy Flush Prune Juice - 250ml,3
2023-03-05,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-03-06,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-03-08,Nature's Choice Tummy Flush Prune Juice - 250ml,3
2023-03-12,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-03-13,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-03-17,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-03-18,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-03-20,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-03-21,Nature's Choice Tummy Flush Prune Juice - 250ml,5
2023-03-28,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-04-01,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-04-02,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-04-03,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-04-09,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-04-10,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-04-14,Nature's Choice Tummy Flush Prune Juice - 250ml,3
2023-04-22,Nature's Choice Tummy Flush Prune Juice - 250ml,10
2023-04-25,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-04-27,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-05-04,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-05-06,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-05-12,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-05-18,Nature's Choice Tummy Flush Prune Juice - 250ml,4
2023-05-19,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-05-27,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-06-08,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-06-10,Nature's Choice Tummy Flush Prune Juice - 250ml,9
2023-06-13,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-06-23,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-06-24,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-06-25,Nature's Choice Tummy Flush Prune Juice - 250ml,1
2023-07-02,Nature's Choice Tummy Flush Prune Juice - 250ml,9
2023-07-15,Nature's Choice Tummy Flush Prune Juice - 250ml,4
2023-07-18,Nature's Choice Tummy Flush Prune Juice - 250ml,2
2023-07-20,Nature's Choice Tummy Flush Prune Juice - 250ml,3
