Date,Product Name,Quantity
2022-03-16,Evergreen Fresh Mixed Cherry Tomatoes - 500g,6
2022-03-17,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-03-18,Evergreen Fresh Mixed Cherry Tomatoes - 500g,8
2022-03-19,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-03-20,Evergreen Fresh Mixed Cherry Tomatoes - 500g,5
2022-03-21,Evergreen Fresh Mixed Cherry Tomatoes - 500g,10
2022-03-22,Evergreen Fresh Mixed Cherry Tomatoes - 500g,8
2022-03-24,Evergreen Fresh Mixed Cherry Tomatoes - 500g,6
2022-03-25,Evergreen Fresh Mixed Cherry Tomatoes - 500g,3
2022-03-27,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-03-28,Evergreen Fresh Mixed Cherry Tomatoes - 500g,8
2022-03-29,Evergreen Fresh Mixed Cherry Tomatoes - 500g,10
2022-03-30,Evergreen Fresh Mixed Cherry Tomatoes - 500g,3
2022-03-31,Evergreen Fresh Mixed Cherry Tomatoes - 500g,2
2022-04-01,Evergreen Fresh Mixed Cherry Tomatoes - 500g,6
2022-04-04,Evergreen Fresh Mixed Cherry Tomatoes - 500g,6
2022-04-05,Evergreen Fresh Mixed Cherry Tomatoes - 500g,3
2022-04-06,Evergreen Fresh Mixed Cherry Tomatoes - 500g,2
2022-04-07,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-04-08,Evergreen Fresh Mixed Cherry Tomatoes - 500g,4
2022-04-09,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-04-11,Evergreen Fresh Mixed Cherry Tomatoes - 500g,2
2022-04-12,Evergreen Fresh Mixed Cherry Tomatoes - 500g,5
2022-04-13,Evergreen Fresh Mixed Cherry Tomatoes - 500g,2
2022-04-14,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-04-16,Evergreen Fresh Mixed Cherry Tomatoes - 500g,3
2022-04-17,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-04-18,Evergreen Fresh Mixed Cherry Tomatoes - 500g,2
2022-04-19,Evergreen Fresh Mixed Cherry Tomatoes - 500g,2
2022-04-20,Evergreen Fresh Mixed Cherry Tomatoes - 500g,9
2022-04-21,Evergreen Fresh Mixed Cherry Tomatoes - 500g,5
2022-04-22,Evergreen Fresh Mixed Cherry Tomatoes - 500g,1
2022-04-26,Evergreen Fresh Mixed Cherry Tomatoes - 500g,2
2022-04-27,Evergreen Fresh Mixed Cherry Tomatoes - 500g,5
