Date,Product Name,Quantity
2023-02-12,Farmhouse Chicken Legs - 750g,1
2023-02-13,Farmhouse Chicken Legs - 750g,2
2023-02-14,Farmhouse Chicken Legs - 750g,2
2023-02-16,Farmhouse Chicken Legs - 750g,1
2023-02-28,Farmhouse Chicken Legs - 750g,2
2023-03-02,Farmhouse Chicken Legs - 750g,3
2023-03-04,Farmhouse Chicken Legs - 750g,1
2023-03-05,Farmhouse Chicken Legs - 750g,2
2023-03-06,Farmhouse Chicken Legs - 750g,2
2023-03-08,Farmhouse Chicken Legs - 750g,1
2023-03-13,Farmhouse Chicken Legs - 750g,3
2023-03-20,Farmhouse Chicken Legs - 750g,1
2023-03-24,Farmhouse Chicken Legs - 750g,1
2023-03-27,Farmhouse Chicken Legs - 750g,1
2023-04-14,Farmhouse Chicken Legs - 750g (Frozen),1
2023-04-16,Farmhouse Chicken Legs - 750g (Frozen),1
2023-04-17,Farmhouse Chicken Legs - 750g (Frozen),2
2023-04-19,Farmhouse Chicken Legs - 750g (Frozen),8
2023-04-21,Farmhouse Chicken Legs - 750g (Frozen),3
2023-04-22,Farmhouse Chicken Legs - 750g (Frozen),3
2023-04-24,Farmhouse Chicken Legs - 750g (Frozen),1
2023-04-27,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-02,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-03,Farmhouse Chicken Legs - 750g (Frozen),2
2023-05-05,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-06,Farmhouse Chicken Legs - 750g (Frozen),2
2023-05-08,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-09,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-10,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-15,Farmhouse Chicken Legs - 750g (Frozen),3
2023-05-20,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-21,Farmhouse Chicken Legs - 750g (Frozen),4
2023-05-23,Farmhouse Chicken Legs - 750g (Frozen),3
2023-05-24,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-26,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-27,Farmhouse Chicken Legs - 750g (Frozen),1
2023-05-28,Farmhouse Chicken Legs - 750g (Frozen),7
2023-06-03,Farmhouse Chicken Legs - 750g (Frozen),2
2023-06-05,Farmhouse Chicken Legs - 750g (Frozen),1
2023-06-08,Farmhouse Chicken Legs - 750g (Frozen),3
2023-06-14,Farmhouse Chicken Legs - 750g (Frozen),1
2023-06-15,Farmhouse Chicken Legs - 750g (Frozen),3
2023-06-17,Farmhouse Chicken Legs - 750g (Frozen),2
2023-06-19,Farmhouse Chicken Legs - 750g (Frozen),1
2023-06-21,Farmhouse Chicken Legs - 750g (Frozen),1
2023-06-27,Farmhouse Chicken Legs - 750g (Frozen),1
2023-06-28,Farmhouse Chicken Legs - 750g (Frozen),2
2023-06-29,Farmhouse Chicken Legs - 750g (Frozen),1
2023-07-08,Farmhouse Chicken Legs - 750g (Frozen),1
2023-07-13,Farmhouse Chicken Legs - 750g (Frozen),1
2023-07-14,Farmhouse Chicken Legs - 750g (Frozen),1
2023-07-20,Farmhouse Chicken Legs - 750g (Frozen),1
2023-07-21,Farmhouse Chicken Legs - 750g (Frozen),2
2023-07-23,Farmhouse Chicken Legs - 750g (Frozen),3
2023-07-27,Farmhouse Chicken Legs - 750g (Frozen),4
2023-08-01,Farmhouse Chicken Legs - 750g (Frozen),1
2023-08-02,Farmhouse Chicken Legs - 750g (Frozen),1
2023-08-06,Farmhouse Chicken Legs - 750g (Frozen),2
2023-08-07,Farmhouse Chicken Legs - 750g (Frozen),1
2023-08-09,Farmhouse Chicken Legs - 750g (Frozen),1
2023-08-14,Farmhouse Chicken Legs - 750g (Frozen),1
2023-08-17,Farmhouse Chicken Legs - 750g (Frozen),1
2023-08-28,Farmhouse Chicken Legs - 750g (Frozen),1
2023-08-29,Farmhouse Chicken Legs - 750g (Frozen),3
2023-09-01,Farmhouse Chicken Legs - 750g (Frozen),1
2023-09-02,Farmhouse Chicken Legs - 750g (Frozen),1
2023-09-09,Farmhouse Chicken Legs - 750g (Frozen),2
2023-09-10,Farmhouse Chicken Legs - 750g (Frozen),2
2023-09-11,Farmhouse Chicken Legs - 750g (Frozen),2
2023-09-13,Farmhouse Chicken Legs - 750g (Frozen),1
2023-09-14,Farmhouse Chicken Legs - 750g (Frozen),1
2023-09-15,Farmhouse Chicken Legs - 750g (Frozen),1
2023-09-21,Farmhouse Chicken Legs - 750g (Frozen),5
2023-09-24,Farmhouse Chicken Legs - 750g (Frozen),1
2023-09-25,Farmhouse Chicken Legs - 750g (Frozen),2
