Date,Product Name,Quantity
2021-11-21,Apple Mango - 1Kg,3
2021-11-22,Apple Mango - 1Kg,5
2021-11-23,Apple Mango - 1Kg,19
2021-11-24,Apple Mango - 1Kg,11
2021-11-25,Apple Mango - 1Kg,4
2021-11-26,Apple Mango - 1Kg,6
2021-11-27,Apple Mango - 1Kg,4
2021-11-28,Apple Mango - 1Kg,2
2021-11-29,Apple Mango - 1Kg,4
2021-11-30,Apple Mango - 1Kg,8
2021-12-01,Apple Mango - 1Kg,8
2021-12-02,Apple Mango - 1Kg,6
2021-12-03,Apple Mango - 1Kg,3
2021-12-04,Apple Mango - 1Kg,2
2021-12-05,Apple Mango - 1Kg,3
2021-12-06,Apple Mango - 1Kg,5
2021-12-07,Apple Mango - 1Kg,6
2021-12-08,Apple Mango - 1Kg,7
2021-12-09,Apple Mango - 1Kg,16
2021-12-10,Apple Mango - 1Kg,2
2021-12-11,Apple Mango - 1Kg,1
2021-12-12,Apple Mango - 1Kg,7
2021-12-13,Apple Mango - 1Kg,4
2021-12-14,Apple Mango - 1Kg,6
2021-12-15,Apple Mango - 1Kg,7
2021-12-16,Apple Mango - 1Kg,5
2021-12-17,Makueni Apple Mango - 1Kg,1
2021-12-17,Apple Mango - 1Kg,1
2021-12-18,Makueni Apple Mango - 1Kg,3
2021-12-18,Apple Mango - 1Kg,2
2021-12-19,Makueni Apple Mango - 1Kg,1
2021-12-20,Makueni Apple Mango - 1Kg,15
2021-12-21,Makueni Apple Mango - 1Kg,2
2021-12-22,Makueni Apple Mango - 1Kg,14
2021-12-22,Apple Mango - 1Kg,1
2021-12-23,Makueni Apple Mango - 1Kg,2
2021-12-23,Apple Mango - 1Kg,1
2021-12-24,Makueni Apple Mango - 1Kg,7
2021-12-25,Makueni Apple Mango - 1Kg,1
2021-12-27,Makueni Apple Mango - 1Kg,1
2021-12-28,Makueni Apple Mango - 1Kg,5
2021-12-29,Makueni Apple Mango - 1Kg,5
2021-12-30,Makueni Apple Mango - 1Kg,12
2021-12-31,Makueni Apple Mango - 1Kg,9
2022-01-01,Makueni Apple Mango - 1Kg,2
2022-01-02,Makueni Apple Mango - 1Kg,8
2022-01-03,Makueni Apple Mango - 1Kg,32
