Date,Product Name,Quantity
2023-07-17,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-07-19,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-07-21,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,4
2023-07-31,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-08-02,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-03,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-04,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-06,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-07,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,7
2023-08-08,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-08-09,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-08-10,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-11,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,4
2023-08-12,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-13,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-14,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,3
2023-08-15,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-08-16,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-08-17,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,3
2023-08-18,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,4
2023-08-20,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-08-21,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,8
2023-08-22,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,3
2023-08-23,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-08-25,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
2023-08-27,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,7
2023-08-28,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,16
2023-08-29,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,5
2023-08-30,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,6
2023-09-01,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,5
2023-09-02,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,3
2023-09-05,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,2
2023-09-06,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,3
2023-09-07,Meru Banana Bunch- Approx.0.9kg - 1.2kg - Unripe,1
