Date,Product Name,Quantity
2021-11-22,English Cucumber - 1Kg,2
2021-11-23,English Cucumber - 1Kg,5
2021-11-24,English Cucumber - 1Kg,6
2021-11-26,English Cucumber - 1Kg,7
2021-11-27,English Cucumber - 1Kg,3
2021-11-28,English Cucumber - 1Kg,5
2021-11-29,English Cucumber - 1Kg,4
2021-11-30,English Cucumber - 1Kg,5
2021-12-01,English Cucumber - 1Kg,1
2021-12-02,English Cucumber - 1Kg,4
2021-12-03,English Cucumber - 1Kg,1
2021-12-04,English Cucumber - 1Kg,4
2021-12-05,English Cucumber - 1Kg,3
2021-12-06,English Cucumber - 1Kg,1
2021-12-07,English Cucumber - 1Kg,3
2021-12-09,English Cucumber - 1Kg,5
2021-12-10,English Cucumber - 1Kg,1
2021-12-13,English Cucumber - 1Kg,3
2021-12-14,English Cucumber - 1Kg,4
2021-12-16,English Cucumber - 1Kg,6
2021-12-17,Naivasha English Cucumber - 1Kg,5
2021-12-18,Naivasha English Cucumber - 1Kg,4
2021-12-19,Naivasha English Cucumber - 1Kg,1
2021-12-20,Naivasha English Cucumber - 1Kg,1
2021-12-21,Naivasha English Cucumber - 1Kg,2
2021-12-22,Naivasha English Cucumber - 1Kg,4
2021-12-23,Naivasha English Cucumber - 1Kg,6
2021-12-24,Naivasha English Cucumber - 1Kg,1
2021-12-27,Naivasha English Cucumber - 1Kg,3
2021-12-28,Naivasha English Cucumber - 1Kg,3
2021-12-29,Naivasha English Cucumber - 1Kg,3
2021-12-30,Naivasha English Cucumber - 1Kg,4
2021-12-31,Naivasha English Cucumber - 1Kg,4
2022-01-01,Naivasha English Cucumber - 1Kg,1
2022-01-02,Naivasha English Cucumber - 1Kg,2
2022-01-03,Naivasha English Cucumber - 1Kg,16
2022-01-04,Naivasha English Cucumber - 1Kg,10
2022-01-05,Naivasha English Cucumber - 1Kg,10
2022-01-06,Naivasha English Cucumber - 1Kg,10
2022-01-07,Naivasha English Cucumber - 1Kg,4
2022-01-08,Naivasha English Cucumber - 1Kg,4
2022-01-09,Naivasha English Cucumber - 1Kg,2
2022-01-10,Naivasha English Cucumber - 1Kg,4
2022-01-11,Naivasha English Cucumber - 1Kg,10
2022-01-12,Naivasha English Cucumber - 1Kg,4
2022-01-13,Naivasha English Cucumber - 1Kg,2
2022-01-14,Naivasha English Cucumber - 1Kg,11
2022-01-15,Naivasha English Cucumber - 1Kg,19
2022-01-16,Naivasha English Cucumber - 1Kg,12
2022-01-17,Naivasha English Cucumber - 1Kg,24
2022-01-18,Naivasha English Cucumber - 1Kg,10
2022-01-19,Naivasha English Cucumber - 1Kg,5
2022-01-20,Naivasha English Cucumber - 1Kg,6
2022-01-21,Naivasha English Cucumber - 1Kg,8
2022-01-22,Naivasha English Cucumber - 1Kg,8
2022-01-23,Naivasha English Cucumber - 1Kg,2
2022-01-24,Naivasha English Cucumber - 1Kg,16
2022-01-25,Naivasha English Cucumber - 1Kg,14
2022-01-26,Naivasha English Cucumber - 1Kg,10
2022-01-27,Naivasha English Cucumber - 1Kg,14
2022-01-28,Naivasha English Cucumber - 1Kg,14
2022-01-29,Naivasha English Cucumber - 1Kg,8
2022-01-30,Naivasha English Cucumber - 1Kg,4
2022-01-31,Naivasha English Cucumber - 1Kg,28
2022-02-01,Naivasha English Cucumber - 1Kg,6
2022-02-02,Naivasha English Cucumber - 1Kg,12
2022-03-10,Naivasha English Cucumber - 1Kg,1
2022-03-11,Naivasha English Cucumber - 1Kg,11
2022-03-12,Naivasha English Cucumber - 1Kg,7
2022-03-13,Naivasha English Cucumber - 1Kg,2
2022-03-14,Naivasha English Cucumber - 1Kg,5
2022-03-15,Naivasha English Cucumber - 1Kg,9
2022-03-16,Naivasha English Cucumber - 1Kg,9
2022-03-17,Naivasha English Cucumber - 1Kg,2
2022-03-18,Naivasha English Cucumber - 1Kg,9
2022-03-19,Naivasha English Cucumber - 1Kg,4
2022-03-20,Naivasha English Cucumber - 1Kg,1
2022-03-21,Naivasha English Cucumber - 1Kg,6
2022-03-22,Naivasha English Cucumber - 1Kg,10
2022-03-23,Naivasha English Cucumber - 1Kg,2
2022-03-24,Naivasha English Cucumber - 1Kg,3
2022-03-25,Naivasha English Cucumber - 1Kg,8
2022-03-26,Naivasha English Cucumber - 1Kg,3
2022-03-27,Naivasha English Cucumber - 1Kg,4
2022-03-28,Naivasha English Cucumber - 1Kg,7
2022-03-29,Naivasha English Cucumber - 1Kg,8
2022-03-30,Naivasha English Cucumber - 1Kg,2
2022-03-31,Naivasha English Cucumber - 1Kg,3
2022-04-01,Naivasha English Cucumber - 1Kg,2
2022-04-02,Naivasha English Cucumber - 1Kg,3
2022-04-03,Naivasha English Cucumber - 1Kg,1
2022-04-04,Naivasha English Cucumber - 1Kg,10
2022-04-05,Naivasha English Cucumber - 1Kg,8
2022-04-06,Naivasha English Cucumber - 1Kg,2
2022-04-07,Naivasha English Cucumber - 1Kg,1
2022-04-08,Naivasha English Cucumber - 1Kg,11
2022-04-09,Naivasha English Cucumber - 1Kg,4
2022-04-10,Naivasha English Cucumber - 1Kg,2
2022-04-11,Naivasha English Cucumber - 1Kg,8
2022-04-12,Naivasha English Cucumber - 1Kg,4
2022-04-13,Naivasha English Cucumber - 1Kg,5
