Date,Product Name,Quantity
2021-12-22,Kampala Ginger - 500g,2
2021-12-23,Kampala Ginger - 500g,5
2021-12-24,Kampala Ginger - 500g,9
2021-12-27,Kampala Ginger - 500g,1
2021-12-28,Kampala Ginger - 500g,1
2021-12-29,Kampala Ginger - 500g,3
2021-12-30,Kampala Ginger - 500g,1
2021-12-31,Kampala Ginger - 500g,3
2022-01-03,Kampala Ginger - 500g,14
2022-01-04,Kampala Ginger - 500g,8
2022-01-05,Kampala Ginger - 500g,14
2022-01-06,Kampala Ginger - 500g,9
2022-01-07,Kampala Ginger - 500g,6
2022-01-08,Kampala Ginger - 500g,2
2022-01-09,Kampala Ginger - 500g,4
2022-01-10,Kampala Ginger - 500g,10
2022-01-11,Kampala Ginger - 500g,18
2022-01-12,Kampala Ginger - 500g,2
2022-01-13,Kampala Ginger - 500g,10
2022-01-14,Kampala Ginger - 500g,11
2022-01-15,Kampala Ginger - 500g,9
2022-01-17,Kampala Ginger - 500g,9
2022-01-18,Kampala Ginger - 500g,4
2022-01-19,Kampala Ginger - 500g,5
2022-01-20,Kampala Ginger - 500g,2
2022-01-21,Kampala Ginger - 500g,2
2022-01-24,Kampala Ginger - 500g,14
2022-01-25,Kampala Ginger - 500g,8
2022-01-26,Kampala Ginger - 500g,10
2022-01-27,Kampala Ginger - 500g,4
2022-01-28,Kampala Ginger - 500g,4
2022-01-29,Kampala Ginger - 500g,2
2022-01-30,Kampala Ginger - 500g,4
2022-01-31,Kampala Ginger - 500g,10
2022-02-01,Kampala Ginger - 500g,6
2022-02-02,Kampala Ginger - 500g,6
2022-02-03,Kampala Ginger - 500g,12
2022-02-04,Kampala Ginger - 500g,8
2022-02-05,Kampala Ginger - 500g,2
2022-02-06,Kampala Ginger - 500g,2
2022-02-07,Kampala Ginger - 500g,6
2022-02-08,Kampala Ginger - 500g,8
2022-02-09,Kampala Ginger - 500g,4
2022-02-11,Kampala Ginger - 500g,2
2022-02-12,Kampala Ginger - 500g,8
2022-02-14,Kampala Ginger - 500g,4
2022-02-15,Kampala Ginger - 500g,6
2022-02-16,Kampala Ginger - 500g,2
2022-02-17,Kampala Ginger - 500g,4
2022-02-18,Kampala Ginger - 500g,10
2022-02-19,Kampala Ginger - 500g,4
2022-02-20,Kampala Ginger - 500g,2
2022-02-21,Kampala Ginger - 500g,10
2022-02-22,Kampala Ginger - 500g,12
2022-02-23,Kampala Ginger - 500g,18
2022-02-24,Kampala Ginger - 500g,2
2022-02-25,Kampala Ginger - 500g,4
2022-02-26,Kampala Ginger - 500g,8
2022-02-28,Kampala Ginger - 500g,18
2022-03-01,Kampala Ginger - 500g,2
2022-03-03,Kampala Ginger - 500g,1
2022-03-04,Kampala Ginger - 500g,1
2022-03-05,Kampala Ginger - 500g,2
2022-03-06,Kampala Ginger - 500g,1
2022-03-07,Kampala Ginger - 500g,4
2022-03-08,Kampala Ginger - 500g,5
2022-03-09,Kampala Ginger - 500g,3
2022-03-10,Kampala Ginger - 500g,5
2022-03-11,Kampala Ginger - 500g,5
2022-03-12,Kampala Ginger - 500g,1
2022-03-13,Kampala Ginger - 500g,3
2022-03-14,Kampala Ginger - 500g,3
2022-03-15,Kampala Ginger - 500g,4
2022-03-16,Kampala Ginger - 500g,3
2022-03-17,Kampala Ginger - 500g,4
2022-03-18,Kampala Ginger - 500g,2
2022-03-19,Kampala Ginger - 500g,1
2022-03-20,Kampala Ginger - 500g,1
2022-03-21,Kampala Ginger - 500g,6
2022-03-22,Kampala Ginger - 500g,2
2022-03-24,Kampala Ginger - 500g,1
2022-03-25,Kampala Ginger - 500g,2
2022-03-26,Kampala Ginger - 500g,2
2022-03-27,Kampala Ginger - 500g,4
2022-03-28,Kampala Ginger - 500g,2
2022-03-29,Kampala Ginger - 500g,2
2022-03-30,Kampala Ginger - 500g,1
2022-03-31,Kampala Ginger - 500g,2
2022-04-01,Kampala Ginger - 500g,1
2022-04-02,Kampala Ginger - 500g,2
2022-04-03,Kampala Ginger - 500g,1
2022-04-04,Kampala Ginger - 500g,5
2022-04-06,Kampala Ginger - 500g,4
2022-04-07,Kampala Ginger - 500g,6
2022-04-08,Kampala Ginger - 500g,2
2022-04-09,Kampala Ginger - 500g,3
2022-04-10,Kampala Ginger - 500g,2
2022-04-11,Kampala Ginger - 500g,3
2022-04-12,Kampala Ginger - 500g,2
2022-04-14,Kampala Ginger - 500g,4
2022-04-15,Kampala Ginger - 500g,1
2022-04-16,Kampala Ginger - 500g,1
2022-04-18,Kampala Ginger - 500g,2
2022-04-19,Kampala Ginger - 500g,4
2022-04-20,Kampala Ginger - 500g,4
2022-04-21,Kampala Ginger - 500g,4
2022-04-22,Kampala Ginger - 500g,5
2022-04-23,Kampala Ginger - 500g,2
2022-04-24,Kampala Ginger - 500g,2
2022-04-25,Kampala Ginger - 500g,7
2022-04-26,Kampala Ginger - 500g,2
2022-04-27,Kampala Ginger - 500g,5
2022-04-28,Kampala Ginger - 500g,3
2022-04-29,Kampala Ginger - 500g,3
2022-05-01,Kampala Ginger - 500g,1
2022-05-03,Kampala Ginger - 500g,1
2022-05-04,Kampala Ginger - 500g,10
2022-05-05,Kampala Ginger - 500g,6
2022-05-06,Kampala Ginger - 500g,6
2022-05-07,Kampala Ginger - 500g,2
2022-05-08,Kampala Ginger - 500g,2
