Date,Product Name,Quantity
2021-11-21,Green Capsicum - 1Kg,1
2021-11-23,Green Capsicum - 1Kg,3
2021-11-24,Green Capsicum - 1Kg,3
2021-11-25,Green Capsicum - 1Kg,4
2021-11-27,Green Capsicum - 1Kg,3
2021-11-30,Green Capsicum - 1Kg,1
2021-12-03,Green Capsicum - 1Kg,1
2021-12-05,Green Capsicum - 1Kg,1
2021-12-07,Green Capsicum - 1Kg,3
2021-12-14,Green Capsicum (From Naivasha) - 1Kg,1
2021-12-15,Green Capsicum (From Naivasha) - 1Kg,3
2021-12-18,Naivasha Green Capsicum - 1Kg,1
2021-12-19,Naivasha Green Capsicum - 1Kg,1
2021-12-20,Naivasha Green Capsicum - 1Kg,1
2021-12-21,Naivasha Green Capsicum - 1Kg,1
2021-12-23,Naivasha Green Capsicum - 1Kg,2
2021-12-24,Naivasha Green Capsicum - 1Kg,1
2021-12-27,Naivasha Green Capsicum - 1Kg,2
2021-12-28,Naivasha Green Capsicum - 1Kg,2
2021-12-29,Naivasha Green Capsicum - 1Kg,1
2021-12-31,Naivasha Green Capsicum - 1Kg,1
2022-01-03,Naivasha Green Capsicum - 500g,1
2022-01-04,Naivasha Green Capsicum - 500g,1
2022-01-04,Naivasha Green Capsicum - 1Kg,1
2022-01-05,Naivasha Green Capsicum - 500g,1
2022-01-05,Naivasha Green Capsicum - 1Kg,1
2022-01-06,Naivasha Green Capsicum - 500g,2
2022-01-06,Naivasha Green Capsicum - 1Kg,2
2022-01-07,Naivasha Green Capsicum - 500g,1
2022-01-07,Naivasha Green Capsicum - 1Kg,1
2022-01-09,Naivasha Green Capsicum - 500g,1
2022-01-09,Naivasha Green Capsicum - 1Kg,1
2022-01-11,Naivasha Green Capsicum - 500g,10
2022-01-12,Naivasha Green Capsicum - 500g,2
2022-01-15,Naivasha Green Capsicum - 500g,6
2022-01-17,Naivasha Green Capsicum - 500g,6
2022-01-18,Naivasha Green Capsicum - 500g,9
2022-01-21,Naivasha Green Capsicum - 500g,2
2022-01-24,Naivasha Green Capsicum - 500g,6
2022-01-25,Naivasha Green Capsicum - 500g,2
2022-01-27,Naivasha Green Capsicum - 500g,4
2022-01-28,Naivasha Green Capsicum - 500g,4
2022-01-29,Naivasha Green Capsicum - 500g,2
2022-01-30,Naivasha Green Capsicum - 500g,4
2022-01-31,Naivasha Green Capsicum - 500g,2
2022-02-01,Naivasha Green Capsicum - 500g,2
2022-02-02,Naivasha Green Capsicum - 500g,4
2022-02-03,Naivasha Green Capsicum - 500g,6
2022-02-04,Naivasha Green Capsicum - 500g,4
2022-02-07,Naivasha Green Capsicum - 500g,6
2022-02-08,Naivasha Green Capsicum - 500g,6
2022-02-11,Naivasha Green Capsicum - 500g,4
2022-02-12,Naivasha Green Capsicum - 500g,2
2022-02-15,Naivasha Green Capsicum - 500g,4
2022-02-16,Naivasha Green Capsicum - 500g,2
2022-02-17,Naivasha Green Capsicum - 500g,2
2022-02-18,Naivasha Green Capsicum - 500g,2
2022-02-19,Naivasha Green Capsicum - 500g,2
2022-02-21,Naivasha Green Capsicum - 500g,10
2022-02-23,Naivasha Green Capsicum - 500g,4
