Date,Product Name,Quantity
2021-11-21,Tomatoes - 1Kg,3
2021-11-23,Tomatoes - 1Kg,8
2021-11-24,Tomatoes - 1Kg,3
2021-11-25,Tomatoes - 1Kg,2
2021-11-27,Tomatoes - 1Kg,5
2021-11-28,Tomatoes - 1Kg,1
2021-11-29,Tomatoes - 1Kg,7
2021-12-31,Gatanga Tomatoes - 1Kg,6
2022-01-03,Gatanga Tomatoes - 1kg,14
2022-01-03,Gatanga Tomatoes - 1Kg,9
2022-01-04,Gatanga Tomatoes - 1kg,8
2022-01-04,Gatanga Tomatoes - 1Kg,8
2022-01-05,Gatanga Tomatoes - 1kg,4
2022-01-05,Gatanga Tomatoes - 1Kg,4
2022-01-06,Gatanga Tomatoes - 1kg,8
2022-01-06,Gatanga Tomatoes - 1Kg,9
2022-01-07,Gatanga Tomatoes - 1kg,6
2022-01-07,Gatanga Tomatoes - 1Kg,6
2022-01-08,Gatanga Tomatoes - 1kg,2
2022-01-08,Gatanga Tomatoes - 1Kg,2
2022-01-09,Gatanga Tomatoes - 1kg,3
2022-01-09,Gatanga Tomatoes - 1Kg,3
2022-01-10,Gatanga Tomatoes - 1kg,7
2022-01-10,Gatanga Tomatoes - 1kgg,7
2022-01-11,Gatanga Tomatoes - 1kg,8
2022-01-11,Gatanga Tomatoes - 1kgg,8
2022-01-12,Gatanga Tomatoes - 1kg,3
2022-01-12,Gatanga Tomatoes - 1kgg,3
2022-01-13,Gatanga Tomatoes - 1kg,8
2022-01-13,Gatanga Tomatoes - 1kgg,8
2022-01-14,Gatanga Tomatoes - 1kg,9
2022-01-14,Gatanga Tomatoes - 1kgg,2
2022-01-15,Gatanga Tomatoes - 1kg,13
2022-01-15,Gatanga Tomatoes - 1kgg,1
2022-01-16,Gatanga Tomatoes - 1kg,6
2022-01-17,Gatanga Tomatoes - 1kg,30
2022-01-18,Gatanga Tomatoes - 1kg,12
2022-01-19,Gatanga Tomatoes - 1kg,2
2022-01-20,Gatanga Tomatoes - 1kg,12
2022-01-21,Gatanga Tomatoes - 1kg,4
2022-01-22,Gatanga Tomatoes - 1kg,10
2022-01-23,Gatanga Tomatoes - 1kg,4
2022-01-24,Gatanga Tomatoes - 1kg,14
2022-01-25,Gatanga Tomatoes - 1kg,18
2022-01-26,Gatanga Tomatoes - 1kg,16
2022-01-27,Gatanga Tomatoes - 1kg,24
2022-01-28,Gatanga Tomatoes - 1kg,16
2022-01-29,Gatanga Tomatoes - 1kg,2
2022-01-30,Gatanga Tomatoes - 1kg,8
2022-01-31,Gatanga Tomatoes - 1kg,20
2022-02-01,Gatanga Tomatoes - 1kg,12
2022-02-02,Gatanga Tomatoes - 1kg,10
2022-02-03,Gatanga Tomatoes - 1kg,22
2022-02-04,Gatanga Tomatoes - 1kg,16
2022-02-05,Gatanga Tomatoes - 1kg,6
2022-02-06,Gatanga Tomatoes - 1kg,2
2022-02-07,Gatanga Tomatoes - 1kg,18
2022-02-08,Gatanga Tomatoes - 1kg,20
