Date,Product Name,Quantity
2023-05-22,Farasi Lane Farm Organic Eggplant - 250g,5
2023-06-02,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-06-03,Farasi Lane Farm Organic Eggplant - Approx.150g,2
2023-06-04,Farasi Lane Farm Organic Eggplant - Approx.150g,2
2023-06-05,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-06-07,Farasi Lane Farm Organic Eggplant - Approx.150g,4
2023-06-08,Farasi Lane Farm Organic Eggplant - Approx.150g,3
2023-06-10,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-06-11,Farasi Lane Farm Organic Eggplant - Approx.150g,2
2023-06-12,Farasi Lane Farm Organic Eggplant - Approx.150g,8
2023-06-13,Farasi Lane Farm Organic Eggplant - Approx.150g,7
2023-06-14,Farasi Lane Farm Organic Eggplant - Approx.150g,7
2023-06-15,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-06-16,Farasi Lane Farm Organic Eggplant - Approx.150g,4
2023-06-17,Farasi Lane Farm Organic Eggplant - Approx.150g,2
2023-06-18,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-06-19,Farasi Lane Farm Organic Eggplant - Approx.150g,2
2023-06-21,Farasi Lane Farm Organic Eggplant - Approx.150g,4
2023-06-22,Farasi Lane Farm Organic Eggplant - Approx.150g,9
2023-06-24,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-06-25,Farasi Lane Farm Organic Eggplant - Approx.150g,4
2023-06-26,Farasi Lane Farm Organic Eggplant - Approx.150g,10
2023-06-27,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-07-01,Farasi Lane Farm Organic Eggplant - Approx.150g,4
2023-07-09,Farasi Lane Farm Organic Eggplant - Approx.150g,5
2023-07-10,Farasi Lane Farm Organic Eggplant - Approx.150g,10
2023-07-11,Farasi Lane Farm Organic Eggplant - Approx.150g,6
2023-07-13,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-07-14,Farasi Lane Farm Organic Eggplant - Approx.150g,5
2023-07-15,Farasi Lane Farm Organic Eggplant - Approx.150g,8
2023-07-16,Farasi Lane Farm Organic Eggplant - Approx.150g,5
2023-07-17,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-07-21,Farasi Lane Farm Organic Eggplant - Approx.150g,1
2023-07-22,Farasi Lane Farm Organic Eggplant - Approx. 150g,10
2023-07-22,Farasi Lane Farm Organic Eggplant - Approx.150g,3
2023-07-23,Farasi Lane Farm Organic Eggplant - Approx. 150g,3
2023-07-24,Farasi Lane Farm Organic Eggplant - Approx. 150g,8
2023-07-25,Farasi Lane Farm Organic Eggplant - Approx. 150g,7
2023-07-26,Farasi Lane Farm Organic Eggplant - Approx. 150g,3
2023-07-27,Farasi Lane Farm Organic Eggplant - Approx. 150g,1
2023-07-28,Farasi Lane Farm Organic Eggplant - Approx. 150g,9
2023-07-29,Farasi Lane Farm Organic Eggplant - Approx. 150g,8
2023-07-31,Farasi Lane Farm Organic Eggplant - Approx. 150g,11
2023-08-04,Farasi Lane Farm Organic Eggplant - Approx. 150g,6
2023-08-05,Farasi Lane Farm Organic Eggplant - Approx. 150g,3
2023-08-06,Farasi Lane Farm Organic Eggplant - Approx. 150g,7
2023-08-07,Farasi Lane Farm Organic Eggplant - Approx. 150g,12
2023-08-08,Farasi Lane Farm Organic Eggplant - Approx. 150g,3
2023-08-09,Farasi Lane Farm Organic Eggplant - Approx. 150g,2
2023-08-11,Farasi Lane Farm Organic Eggplant - Approx. 250g,3
2023-08-12,Farasi Lane Farm Organic Eggplant - Approx. 250g,5
2023-08-14,Farasi Lane Farm Organic Eggplant - Approx. 250g,8
2023-08-17,Farasi Lane Farm Organic Eggplant - Approx. 250g,9
2023-08-18,Farasi Lane Farm Organic Eggplant - Approx. 250g,4
2023-08-24,Farasi Lane Farm Organic Eggplant - Approx. 250g,8
2023-08-25,Farasi Lane Farm Organic Eggplant - Approx. 250g,6
2023-08-26,Farasi Lane Farm Organic Eggplant - Approx. 250g,1
2023-08-30,Farasi Lane Farm Organic Eggplant - Approx. 250g,9
2023-08-31,Farasi Lane Farm Organic Eggplant - Approx. 250g,3
2023-09-07,Farasi Lane Farm Organic Eggplant - Approx. 250g,5
2023-09-08,Farasi Lane Farm Organic Eggplant - Approx. 250g,11
2023-09-10,Farasi Lane Farm Organic Eggplant - Approx. 250g,7
2023-09-11,Farasi Lane Farm Organic Eggplant - Approx. 250g,18
2023-09-12,Farasi Lane Farm Organic Eggplant - Approx. 250g,9
2023-09-13,Farasi Lane Farm Organic Eggplant - Approx. 250g,2
2023-09-14,Farasi Lane Farm Organic Eggplant - Approx. 250g,5
2023-09-15,Farasi Lane Farm Organic Eggplant - Approx. 250g,12
2023-09-17,Farasi Lane Farm Organic Eggplant - Approx. 250g,2
2023-09-20,Farasi Lane Farm Organic Eggplant - Approx. 250g,6
2023-09-26,Farasi Lane Farm Organic Eggplant - Approx. 250g,2
2023-09-27,Farasi Lane Farm Organic Eggplant - Approx. 250g,3
2023-09-28,Farasi Lane Farm Organic Eggplant - Approx. 250g,10
2023-09-29,Farasi Lane Farm Organic Eggplant - Approx. 250g,2
2023-09-30,Farasi Lane Farm Organic Eggplant - Approx. 250g,1
2023-10-01,Farasi Lane Farm Organic Eggplant - Approx. 250g,1
2023-10-02,Farasi Lane Farm Organic Eggplant - Approx. 250g,26
2023-10-03,Farasi Lane Farm Organic Eggplant - Approx. 250g,3
2023-10-04,Farasi Lane Farm Organic Eggplant - Approx. 250g,3
2023-10-05,Farasi Lane Farm Organic Eggplant - Approx. 250g,4
