Date,Product Name,Quantity
2018-12-10,Farmer Max Pasture Raised Whole Chicken,1
2018-12-17,Farmer Max Pasture Raised Whole Chicken,1
2019-01-03,Farmer Max Pasture Raised Whole Chicken,2
2019-01-06,Farmer Max Pasture Raised Whole Chicken,1
2019-01-17,Farmer Max Pasture Raised Whole Chicken,1
2019-01-18,Farmer Max Pasture Raised Whole Chicken,4
2019-01-22,Farmer Max Pasture Raised Whole Chicken,2
2019-02-04,Farmer Max Pasture Raised Whole Chicken,2
2019-02-05,Farmer Max Pasture Raised Whole Chicken,2
2019-02-06,Farmer Max Pasture Raised Whole Chicken,1
2019-02-18,Farmer Max Pasture Raised Whole Chicken,1
2019-02-20,Farmer Max Pasture Raised Whole Chicken,1
2019-02-22,Farmer Max Pasture Raised Whole Chicken,2
2019-02-24,Farmer Max Pasture Raised Whole Chicken,2
2019-02-25,Farmer Max Pasture Raised Whole Chicken,2
2019-02-26,Farmer Max Pasture Raised Whole Chicken,1
2019-03-01,Farmer Max Pasture Raised Whole Chicken,2
2019-03-19,Farmer Max Pasture Raised Whole Chicken,1
2019-03-22,Farmer Max Pasture Raised Whole Chicken,1
2019-03-30,Farmer Max Pasture Raised Whole Chicken,2
2019-03-31,Farmer Max Pasture Raised Whole Chicken,1
2019-04-04,Farmer Max Pasture Raised Whole Chicken,2
2019-04-05,Farmer Max Pasture Raised Whole Chicken,1
2019-04-11,Farmer Max Pasture Raised Whole Chicken,1
2019-04-13,Farmer Max Pasture Raised Whole Chicken,1
2019-04-24,Farmer Max Pasture Raised Whole Chicken,2
2019-04-25,Farmer Max Pasture Raised Whole Chicken,1
2019-05-02,Farmer Max Pasture Raised Whole Chicken,1
2019-05-03,Farmer Max Pasture Raised Whole Chicken,1
2019-05-04,Farmer Max Pasture Raised Whole Chicken,1
2019-05-05,Farmer Max Pasture Raised Whole Chicken,4
2019-05-13,Farmer Max Pasture Raised Whole Chicken,1
2019-05-15,Farmer Max Pasture Raised Whole Chicken,1
2019-05-16,Farmer Max Pasture Raised Whole Chicken,1
2019-05-17,Farmer Max Pasture Raised Whole Chicken,2
2019-05-18,Farmer Max Pasture Raised Whole Chicken,2
2019-05-22,Farmer Max Pasture Raised Whole Chicken,2
2019-05-24,Farmer Max Pasture Raised Whole Chicken,1
2019-05-26,Farmer Max Pasture Raised Whole Chicken,1
2019-05-27,Farmer Max Pasture Raised Whole Chicken,2
2019-05-28,Farmer Max Pasture Raised Whole Chicken,3
2019-06-04,Farmer Max Pasture Raised Whole Chicken,1
2019-06-10,Farmer Max Pasture Raised Whole Chicken,1
2019-06-12,Farmer Max Pasture Raised Whole Chicken,1
2019-06-14,Farmer Max Pasture Raised Whole Chicken,2
2019-06-15,Farmer Max Pasture Raised Whole Chicken,1
2019-06-19,Farmer Max Pasture Raised Whole Chicken,3
2019-06-20,Farmer Max Pasture Raised Whole Chicken,2
2019-06-21,Farmer Max Pasture Raised Whole Chicken,2
2019-06-24,Farmer Max Pasture Raised Whole Chicken,2
2019-07-06,Farmer Max Pasture Raised Whole Chicken,2
2019-07-08,Farmer Max Pasture Raised Whole Chicken,1
2019-07-15,Farmer Max Pasture Raised Whole Chicken,2
2019-07-17,Farmer Max Pasture Raised Whole Chicken,1
2019-07-29,Farmer Max Pasture Raised Whole Chicken,1
2019-08-02,Farmer Max Pasture Raised Whole Chicken,1
2019-08-03,Farmer Max Pasture Raised Whole Chicken,1
2019-08-22,Farmer Max Pasture Raised Whole Chicken,1
2019-08-23,Farmer Max Pasture Raised Whole Chicken,1
2019-08-25,Farmer Max Pasture Raised Whole Chicken,2
2019-08-26,Farmer Max Pasture Raised Whole Chicken,2
2019-09-01,Farmer Max Pasture Raised Whole Chicken,1
2019-10-13,Farmer Max Pasture Raised Whole Chicken,1
2019-10-14,Farmer Max Pasture Raised Whole Chicken,1
2019-10-15,Farmer Max Pasture Raised Whole Chicken,1
2019-11-10,Farmer Max Pasture Raised Whole Chicken,1
2019-11-11,Farmer Max Pasture Raised Whole Chicken,1
2019-11-12,Farmer Max Pasture Raised Whole Chicken,2
2019-11-13,Farmer Max Pasture Raised Whole Chicken,2
2019-11-27,Farmer Max Pasture Raised Whole Chicken,1
2019-11-28,Farmer Max Pasture Raised Whole Chicken,6
2019-12-01,Farmer Max Pasture Raised Whole Chicken,1
2019-12-02,Farmer Max Pasture Raised Whole Chicken,1
2019-12-03,Farmer Max Pasture Raised Whole Chicken,2
2019-12-04,Farmer Max Pasture Raised Whole Chicken,1
2019-12-07,Farmer Max Pasture Raised Whole Chicken,2
2019-12-08,Farmer Max Pasture Raised Whole Chicken,2
2019-12-11,Farmer Max Pasture Raised Whole Chicken,3
2019-12-14,Farmer Max Pasture Raised Whole Chicken,1
2019-12-21,Farmer Max Pasture Raised Whole Chicken,1
2019-12-22,Farmer Max Pasture Raised Whole Chicken,1
2019-12-23,Farmer Max Pasture Raised Whole Chicken,2
2019-12-27,Farmer Max Pasture Raised Whole Chicken,1
2019-12-31,Farmer Max Pasture Raised Whole Chicken,1
2020-01-06,Farmer Max Whole Chicken - 2kg,2
2020-01-07,Farmer Max Whole Chicken - 2kg,1
2020-01-08,Farmer Max Whole Chicken - 2kg,1
2020-01-11,Farmer Max Whole Chicken - 2kg,1
2020-01-13,Farmer Max Whole Chicken - 2kg,3
2020-01-14,Farmer Max Whole Chicken - 2kg,1
2020-01-15,Farmer Max Whole Chicken - 2kg,1
2020-01-17,Farmer Max Whole Chicken - 2kg,1
2020-02-05,Farmer Max Whole Chicken - 2kg,1
2020-02-06,Farmer Max Whole Chicken - 2kg,5
2020-02-21,Farmer Max Whole Chicken - 2kg,1
2020-03-02,Farmer Max Whole Chicken - 2kg,1
2020-03-04,Farmer Max Whole Chicken - 2kg,1
2020-03-06,Farmer Max Whole Chicken - 2kg,1
2020-03-16,Farmer Max Whole Chicken - 2kg,3
2020-03-18,Farmer Max Whole Chicken - 2kg,2
2020-03-19,Farmer Max Whole Chicken - 2kg,1
2020-03-23,Farmer Max Whole Chicken - 2kg,2
2020-03-24,Farmer Max Whole Chicken - 2kg,3
2020-03-25,Farmer Max Whole Chicken - 2kg,6
2020-03-26,Farmer Max Whole Chicken - 2kg,3
2020-04-14,Farmer Max Whole Chicken - 2kg,5
2020-04-15,Farmer Max Whole Chicken - 2kg,1
2020-04-16,Farmer Max Whole Chicken - 2kg,4
2020-04-18,Farmer Max Whole Chicken - 2kg,1
2020-04-20,Farmer Max Whole Chicken - 2kg,1
2020-04-28,Farmer Max Whole Chicken - 2kg,3
2020-04-30,Farmer Max Whole Chicken - 2kg,2
2020-05-02,Farmer Max Whole Chicken - 2kg,3
2020-05-03,Farmer Max Whole Chicken - 2kg,1
2020-05-07,Farmer Max Whole Chicken - 2kg,1
2020-05-08,Farmer Max Whole Chicken - 2kg,2
2020-05-11,Farmer Max Whole Chicken - 2kg,6
2020-06-02,Farmer Max Whole Chicken - 2kg,4
2020-06-19,Farmer Max Pasture Raised Whole Chicken - 2kg,3
2020-06-22,Farmer Max Pasture Raised Whole Chicken - 2kg,1
2020-07-09,Farmer Max Pasture Raised Whole Chicken - 2kg,3
2020-07-10,Farmer Max Pasture Raised Whole Chicken - 2kg,5
2020-07-13,Farmer Max Pasture Raised Whole Chicken - 2kg,1
2020-07-14,Farmer Max Pasture Raised Whole Chicken - 2kg,2
