Date,Product Name,Quantity
2020-11-23,Farmer Max Pasture Raised Chicken Breast - 550g,1
2020-11-24,Farmer Max Pasture Raised Chicken Breast - 550g,18
2020-11-26,Farmer Max Pasture Raised Chicken Breast - 550g,1
2020-12-01,Farmer Max Pasture Raised Chicken Breast - 550g,15
2020-12-09,Farmer Max Pasture Raised Chicken Breast - 550g,27
2020-12-14,Farmer Max Pasture Raised Chicken Breast - 550g,7
2020-12-20,Farmer Max Pasture Raised Chicken Breast - 550g,1
2020-12-28,Farmer Max Pasture Raised Chicken Breast - 550g,8
2020-12-29,Farmer Max Pasture Raised Chicken Breast - 550g,2
2021-01-14,Farmer Max Pasture Raised Chicken Breast - 550g,2
2021-01-15,Farmer Max Pasture Raised Chicken Breast - 550g,12
2021-01-29,Farmer Max Pasture Raised Chicken Breast - 550g,3
2021-02-03,Farmer Max Pasture Raised Chicken Breast,1
2021-02-10,Farmer Max Pasture Raised Chicken Breast,1
2021-02-18,Farmer Max Pasture Raised Chicken Breast,9
2021-02-19,Farmer Max Pasture Raised Chicken Breast,6
2021-02-22,Farmer Max Pasture Raised Chicken Breast,6
2021-02-24,Farmer Max Pasture Raised Chicken Breast,14
2021-02-25,Farmer Max Pasture Raised Chicken Breast,10
2021-02-26,Farmer Max Pasture Raised Chicken Breast,7
2021-02-28,Farmer Max Pasture Raised Chicken Breast,7
2021-03-02,Farmer Max Pasture Raised Chicken Breast,2
2021-03-03,Farmer Max Pasture Raised Chicken Breast,2
2021-03-05,Farmer Max Pasture Raised Chicken Breast,1
2021-03-09,Farmer Max Pasture Raised Chicken Breast,4
2021-03-11,Farmer Max Pasture Raised Chicken Breast,6
2021-03-12,Farmer Max Pasture Raised Chicken Breast,4
2021-03-15,Farmer Max Pasture Raised Chicken Breast,2
2021-03-16,Farmer Max Pasture Raised Chicken Breast,20
2021-03-23,Farmer Max Pasture Raised Chicken Breast,1
2021-03-24,Farmer Max Pasture Raised Chicken Breast,4
2021-03-26,Farmer Max Pasture Raised Chicken Breast,21
2021-03-29,Farmer Max Pasture Raised Chicken Breast,4
2021-03-30,Farmer Max Pasture Raised Chicken Breast,1
2021-03-31,Farmer Max Pasture Raised Chicken Breast,1
2021-04-05,Farmer Max Pasture Raised Chicken Breast,4
2021-04-06,Farmer Max Pasture Raised Chicken Breast,6
2021-04-07,Farmer Max Pasture Raised Chicken Breast,10
2021-04-08,Farmer Max Pasture Raised Chicken Breast,2
2021-04-09,Farmer Max Pasture Raised Chicken Breast,4
2021-04-12,Farmer Max Pasture Raised Chicken Breast,2
2021-04-13,Farmer Max Pasture Raised Chicken Breast,8
2021-04-14,Farmer Max Pasture Raised Chicken Breast,2
2021-04-15,Farmer Max Pasture Raised Chicken Breast,4
2021-04-16,Farmer Max Pasture Raised Chicken Breast,17
2021-04-19,Farmer Max Pasture Raised Chicken Breast,3
2021-04-21,Farmer Max Pasture Raised Chicken Breast,4
2021-04-26,Farmer Max Pasture Raised Chicken Breast,1
2021-04-30,Farmer Max Pasture Raised Chicken Breast,13
2021-05-03,Farmer Max Pasture Raised Chicken Breast,3
2021-05-04,Farmer Max Pasture Raised Chicken Breast,20
2021-05-08,Farmer Max Pasture Raised Chicken Breast,15
2021-05-10,Farmer Max Pasture Raised Chicken Breast,10
2021-05-11,Farmer Max Pasture Raised Chicken Breast,3
2021-05-12,Farmer Max Pasture Raised Chicken Breast,5
2021-05-13,Farmer Max Pasture Raised Chicken Breast,1
2021-05-17,Farmer Max Pasture Raised Chicken Breast,2
2021-05-18,Farmer Max Pasture Raised Chicken Breast,22
2021-05-19,Farmer Max Pasture Raised Chicken Breast,3
2021-05-20,Farmer Max Pasture Raised Chicken Breast,10
2021-05-21,Farmer Max Pasture Raised Chicken Breast,6
2021-05-24,Farmer Max Pasture Raised Chicken Breast,3
2021-05-31,Farmer Max Pasture Raised Chicken Breast,5
2021-06-02,Farmer Max Pasture Raised Chicken Breast,3
2021-06-03,Farmer Max Pasture Raised Chicken Breast,2
2021-06-07,Farmer Max Pasture Raised Chicken Breast,3
2021-06-15,Farmer Max Pasture Raised Chicken Breast,1
2021-06-18,Farmer Max Pasture Raised Chicken Breast,9
2021-06-23,Farmer Max Pasture Raised Chicken Breast,4
2021-06-24,Farmer Max Pasture Raised Chicken Breast,20
2021-06-25,Farmer Max Pasture Raised Chicken Breast,4
2021-06-28,Farmer Max Pasture Raised Chicken Breast,6
2021-06-29,Farmer Max Pasture Raised Chicken Breast,2
2021-06-30,Farmer Max Pasture Raised Chicken Breast,3
2021-07-04,Farmer Max Pasture Raised Chicken Breast,10
2021-07-07,Farmer Max Pasture Raised Chicken Breast,5
2021-07-08,Farmer Max Pasture Raised Chicken Breast,7
2021-07-14,Farmer Max Pasture Raised Chicken Breast,1
2021-09-24,Farmer Max Pasture Raised Chicken Breast,2
2021-09-25,Farmer Max Pasture Raised Chicken Breast,4
2021-10-06,Farmer Max Pasture Raised Chicken Breast,1
2021-10-08,Farmer Max Pasture Raised Chicken Breast,5
2021-12-23,Farmer Max Pasture Raised Chicken Breast,2
2021-12-24,Farmer Max Pasture Raised Chicken Breast,5
2021-12-28,Farmer Max Pasture Raised Chicken Breast,1
2021-12-29,Farmer Max Pasture Raised Chicken Breast,4
2021-12-30,Farmer Max Pasture Raised Chicken Breast,1
2022-01-03,Farmer Max Pasture Raised Chicken Breast,3
2022-01-03,Unknown Product,2
2022-01-04,Cinnabar Green Bottle with Pump and Labels,1
2022-01-04,WHB Naked Burgers - 4 burgers / 500g (Frozen),1
2022-01-04,Mlango Farm Baby Carrots with Tops - approx 500g,1
2022-01-04,Unknown Product,4
2022-01-04,Kipipiri Soft Cheese - 100g,1
2022-01-04,Farmer Max Pasture Raised Chicken Breast,8
2022-01-05,Pasta Republic Fresh Frozen Pumpkin Ravioli - 400g,2
2022-01-05,Unknown Product,9
2022-01-05,Farmer Max Pasture Raised Chicken Breast,11
2022-01-06,Unknown Product,4
