Date,Product Name,Quantity
2020-05-26,Farmer Max Chicken Drumsticks - 500g,3
2020-05-28,Farmer Max Chicken Drumsticks - 500g,4
2020-06-02,Farmer Max Chicken Drumsticks - 500g,3
2020-06-04,Farmer Max Chicken Drumsticks - 500g,2
2020-06-08,Farmer Max Chicken Drumsticks - 500g,3
2020-06-10,Farmer Max Chicken Drumsticks - 500g,1
2020-06-19,Farmer Max Pasture Raised Chicken Drumsticks - 500g,2
2020-06-22,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-06-24,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2020-06-25,Farmer Max Pasture Raised Chicken Drumsticks - 500g,2
2020-06-26,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2020-06-29,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-06-30,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-07-06,Farmer Max Pasture Raised Chicken Drumsticks - 500g,5
2020-07-09,Farmer Max Pasture Raised Chicken Drumsticks - 500g,2
2020-07-10,Farmer Max Pasture Raised Chicken Drumsticks - 500g,10
2020-07-11,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-07-17,Farmer Max Chicken Drumsticks - 500g,2
2020-07-21,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-07-30,Farmer Max Pasture Raised Chicken Drumsticks - 500g,6
2020-08-04,Farmer Max Pasture Raised Chicken Drumsticks - 500g,7
2020-08-05,Farmer Max Pasture Raised Chicken Drumsticks - 500g,5
2020-08-06,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-08-07,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-08-10,Farmer Max Pasture Raised Chicken Drumsticks - 500g,2
2020-08-11,Farmer Max Pasture Raised Chicken Drumsticks - 500g,2
2020-08-12,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-08-13,Farmer Max Pasture Raised Chicken Drumsticks - 500g,9
2020-08-20,Farmer Max Pasture Raised Chicken Drumsticks - 500g,4
2020-09-07,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-09-09,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2020-09-11,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2020-09-16,Farmer Max Pasture Raised Chicken Drumsticks - 500g,6
2020-09-17,Farmer Max Pasture Raised Chicken Drumsticks - 500g,5
2020-10-02,Farmer Max Pasture Raised Chicken Drumsticks - 500g,4
2020-10-05,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-10-09,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2020-10-12,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-10-13,Farmer Max Chicken Drumsticks - 500g,1
2020-11-04,Farmer Max Pasture Raised Chicken Drumsticks - 500g,6
2020-11-06,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2020-11-11,Farmer Max Pasture Raised Chicken Drumsticks - 500g,14
2020-11-16,Farmer Max Pasture Raised Chicken Drumsticks - 500g,2
2020-11-20,Farmer Max Pasture Raised Chicken Drumsticks - 500g,4
2020-11-23,Farmer Max Pasture Raised Chicken Drumsticks - 500g,4
2020-11-24,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2020-11-26,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2020-12-01,Farmer Max Pasture Raised Chicken Drumsticks - 500g,8
2020-12-09,Farmer Max Pasture Raised Chicken Drumsticks - 500g,14
2020-12-14,Farmer Max Pasture Raised Chicken Drumsticks - 500g,6
2020-12-16,Farmer Max Pasture Raised Chicken Drumsticks - 500g,2
2020-12-20,Farmer Max Pasture Raised Chicken Drumsticks - 500g,8
2021-01-14,Farmer Max Pasture Raised Chicken Drumsticks - 500g,1
2021-01-21,Farmer Max Pasture Raised Chicken Drumsticks,8
2021-01-21,Farmer Max Pasture Raised Chicken Drumsticks - 500g,3
2021-01-28,Farmer Max Pasture Raised Chicken Drumsticks,2
2021-02-10,Farmer Max Pasture Raised Chicken Drumsticks,2
2021-02-15,Farmer Max Pasture Raised Chicken Drumsticks,2
2021-02-16,Farmer Max Pasture Raised Chicken Drumsticks,3
2021-02-17,Farmer Max Pasture Raised Chicken Drumsticks,3
2021-02-19,Farmer Max Pasture Raised Chicken Drumsticks,2
2021-03-22,Farmer Max Pasture Raised Chicken Drumsticks,2
2021-04-05,Farmer Max Pasture Raised Chicken Drumsticks,6
2021-04-06,Farmer Max Pasture Raised Chicken Drumsticks,1
2021-04-07,Farmer Max Pasture Raised Chicken Drumsticks,2
2021-04-08,Farmer Max Pasture Raised Chicken Drumsticks,1
2021-04-09,Farmer Max Pasture Raised Chicken Drumsticks,3
2021-04-21,Farmer Max Pasture Raised Chicken Drumsticks,1
2021-05-04,Farmer Max Pasture Raised Chicken Drumsticks,1
2021-05-08,Farmer Max Pasture Raised Chicken Drumsticks,1
2021-05-10,Farmer Max Pasture Raised Chicken Drumsticks,2
2021-05-12,Farmer Max Pasture Raised Chicken Drumsticks,1
