Date,Product Name,Quantity
2022-07-28,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-07-29,ForestFoods Cauliflower - 1 Head (approx. 500g),6
2022-07-30,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-07-31,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-08-01,ForestFoods Cauliflower - 1 Head (approx. 500g),9
2022-08-03,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-08-04,ForestFoods Cauliflower - 1 Head (approx. 500g),5
2022-08-05,ForestFoods Cauliflower - 1 Head (approx. 500g),7
2022-08-06,ForestFoods Cauliflower - 1 Head (approx. 500g),14
2022-08-07,ForestFoods Cauliflower - 1 Head (approx. 500g),8
2022-08-08,ForestFoods Cauliflower - 1 Head (approx. 500g),21
2022-08-09,ForestFoods Cauliflower - 1 Head (approx. 500g),10
2022-08-10,ForestFoods Cauliflower - 1 Head (approx. 500g),10
2022-08-11,ForestFoods Cauliflower - 1 Head (approx. 500g),10
2022-08-12,ForestFoods Cauliflower - 1 Head (approx. 500g),8
2022-08-13,ForestFoods Cauliflower - 1 Head (approx. 500g),7
2022-08-14,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-08-15,ForestFoods Cauliflower - 1 Head (approx. 500g),5
2022-08-16,ForestFoods Cauliflower - 1 Head (approx. 500g),11
2022-08-19,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-08-20,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-08-21,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-08-22,ForestFoods Cauliflower - 1 Head (approx. 500g),2
2022-08-23,ForestFoods Cauliflower - 1 Head (approx. 500g),2
2022-08-24,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-08-25,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-08-26,ForestFoods Cauliflower - 1 Head (approx. 500g),9
2022-08-27,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-08-28,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-08-29,ForestFoods Cauliflower - 1 Head (approx. 500g),15
2022-08-30,ForestFoods Cauliflower - 1 Head (approx. 500g),5
2022-08-31,ForestFoods Cauliflower - 1 Head (approx. 500g),7
2022-09-01,ForestFoods Cauliflower - 1 Head (approx. 500g),2
2022-09-02,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-09-03,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-09-04,ForestFoods Cauliflower - 1 Head (approx. 500g),8
2022-09-05,ForestFoods Cauliflower - 1 Head (approx. 500g),14
2022-09-06,ForestFoods Cauliflower - 1 Head (approx. 500g),7
2022-09-07,ForestFoods Cauliflower - 1 Head (approx. 500g),6
2022-09-08,ForestFoods Cauliflower - 1 Head (approx. 500g),9
2022-09-09,ForestFoods Cauliflower - 1 Head (approx. 500g),2
2022-09-10,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-09-11,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-09-12,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-09-13,ForestFoods Cauliflower - 1 Head (approx. 500g),8
2022-09-14,ForestFoods Cauliflower - 1 Head (approx. 500g),6
2022-09-15,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-09-16,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-09-17,ForestFoods Cauliflower - 1 Head (approx. 500g),2
2022-09-18,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-09-19,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-09-20,ForestFoods Cauliflower - 1 Head (approx. 500g),9
2022-09-21,ForestFoods Cauliflower - 1 Head (approx. 500g),5
2022-09-22,ForestFoods Cauliflower - 1 Head (approx. 500g),4
2022-09-23,ForestFoods Cauliflower - 1 Head (approx. 500g),7
2022-09-24,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-09-25,ForestFoods Cauliflower - 1 Head (approx. 500g),2
2022-09-26,ForestFoods Cauliflower - 1 Head (approx. 500g),10
2022-09-27,ForestFoods Cauliflower - 1 Head (approx. 500g),6
2022-09-28,ForestFoods Cauliflower - 1 Head (approx. 500g),9
2022-09-29,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-09-30,ForestFoods Cauliflower - 1 Head (approx. 500g),9
2022-10-01,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-10-02,ForestFoods Cauliflower - 1 Head (approx. 500g),5
2022-10-03,ForestFoods Cauliflower - 1 Head (approx. 500g),9
2022-10-04,ForestFoods Cauliflower - 1 Head (approx. 500g),11
2022-10-05,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-10-06,ForestFoods Cauliflower - 1 Head (approx. 500g),5
2022-10-07,ForestFoods Cauliflower - 1 Head (approx. 500g),6
2022-10-08,ForestFoods Cauliflower - 1 Head (approx. 500g),1
2022-10-09,ForestFoods Cauliflower - 1 Head (approx. 500g),3
2022-10-10,ForestFoods Cauliflower - 1 Head (approx. 500g),6
2022-10-11,ForestFoods Cauliflower - 1 Head (approx. 500g),11
2022-10-21,ForestFoods Cauliflower - Head / Approx. 500g,3
2022-10-22,ForestFoods Cauliflower - Head / Approx. 500g,4
2022-12-20,ForestFoods Cauliflower - Head / Approx. 500g,1
2022-12-21,ForestFoods Cauliflower - Head / Approx. 500g,4
2022-12-22,ForestFoods Cauliflower - Head / Approx. 500g,8
2022-12-27,ForestFoods Cauliflower - Head / Approx. 500g,4
2022-12-28,ForestFoods Cauliflower - Head / Approx. 500g,4
2022-12-29,ForestFoods Cauliflower - Head / Approx. 500g,5
2022-12-30,ForestFoods Cauliflower - Head / Approx. 500g,8
2022-12-31,ForestFoods Cauliflower - Head / Approx. 500g,2
2023-01-01,ForestFoods Cauliflower - Head / Approx. 500g,3
2023-01-02,ForestFoods Cauliflower - Head / Approx. 500g,7
2023-01-03,ForestFoods Cauliflower - Head / Approx. 500g,12
2023-01-04,ForestFoods Cauliflower - Head / Approx. 500g,15
2023-01-05,ForestFoods Cauliflower - Head / Approx. 500g,11
2023-01-06,ForestFoods Cauliflower - Head / Approx. 500g,5
2023-01-07,ForestFoods Cauliflower - Head / Approx. 500g,5
2023-01-08,ForestFoods Cauliflower - Head / Approx. 500g,12
2023-01-09,ForestFoods Cauliflower - Head / Approx. 500g,25
2023-01-10,ForestFoods Cauliflower - Head / Approx. 500g,1
2023-01-31,ForestFoods Cauliflower - Head / Approx. 500g,5
2023-02-01,ForestFoods Cauliflower - Head / Approx. 500g,1
2023-02-03,ForestFoods Cauliflower - Head / Approx. 500g,1
