Date,Product Name,Quantity
2022-06-21,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-06-30,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-04,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-07-09,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-14,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-07-18,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-19,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-21,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-23,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-27,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-28,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-08-01,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-08-04,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",6
2022-08-05,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-08-08,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-08-11,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-08-20,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-08-22,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-08-23,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-08-25,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2022-08-26,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-09-01,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-09-02,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-09-03,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",7
2022-09-05,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-09-07,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-09-08,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-09-09,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-09-12,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-09-22,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-09-26,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-09-27,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",8
2022-09-29,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-09-30,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-10-03,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-10-06,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-10-11,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-10-17,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-10-18,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-10-29,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-11-02,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-03,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2022-11-07,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-08,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-10,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",5
2022-11-11,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-19,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-24,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-28,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-30,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-12-01,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-05,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-08,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-10,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",8
2022-12-12,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-14,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-12-16,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-23,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-12-29,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-31,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-01-03,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2023-01-04,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-01-05,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-01-07,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-01-09,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-01-10,"The German Bakehouse Gluten-free Pretzel Roll - 3 Pieces (Order by 7 pm, Next day Delivery)",1
