Date,Product Name,Quantity
2022-06-18,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-06-21,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-06-23,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-06-27,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-07-06,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-07,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-07-09,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-12,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-14,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-07-15,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",6
2022-07-18,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2022-07-19,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",6
2022-07-21,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-25,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-07-26,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-27,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-28,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-07-29,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-07-30,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-08-01,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-08-02,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-08-03,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",5
2022-08-04,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-08-05,"The German Bakehouse Pita Bread - 3 Pieces (Order by 7 pm, Next day Delivery)",1
