Date,Product Name,Quantity
2022-10-24,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-10-29,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-11-02,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-11-05,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-11-07,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-09,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-11-14,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",6
2022-11-15,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-11-22,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2022-11-28,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-11-30,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-12-01,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-02,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-06,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-12,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-16,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-20,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2022-12-21,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2022-12-28,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2022-12-31,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-01-03,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",5
2023-01-11,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-01-12,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-01-14,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-01-16,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-01-19,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-01-20,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-01-23,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2023-01-31,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-02-04,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-02-07,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2023-02-08,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-02-13,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-02-14,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-02-17,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-02-21,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-02-24,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-02-27,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-02-28,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",6
2023-03-03,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-03-08,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-03-09,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2023-03-10,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-03-13,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-03-16,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-03-18,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-03-20,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-03-27,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",7
2023-03-28,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-03-30,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-04-03,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",6
2023-04-05,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-04-06,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-04-07,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-04-11,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",9
2023-04-12,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-04-13,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-04-17,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",5
2023-04-18,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-04-20,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-04-21,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2023-04-24,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2023-04-25,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-04-29,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-05-01,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",2
2023-05-02,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-05-03,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-05-06,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",10
2023-05-08,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-05-09,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
2023-05-13,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-05-17,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-05-24,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-06-01,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-06-02,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-06-05,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-06-08,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-06-09,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-06-12,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-06-19,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",4
2023-06-20,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",1
2023-06-22,"The German Bakehouse Tortilla Wraps - 3 Pieces (Order by 7 pm, Next day Delivery)",3
