Date,Product Name,Quantity
2021-11-04,Grounded Foaming Hand Soap,1
2021-11-09,Grounded Foaming Hand Soap,1
2021-11-16,Grounded Foaming Hand Soap,1
2021-11-25,Grounded Foaming Hand Soap,2
2021-11-28,Grounded Foaming Hand Soap,1
2021-12-09,Grounded Foaming Hand Soap,3
2021-12-13,Grounded Foaming Hand Soap,1
2021-12-15,Grounded Foaming Hand Soap,1
2021-12-16,Grounded Foaming Hand Soap,4
2021-12-23,Grounded Foaming Hand Soap,2
2021-12-31,Grounded Foaming Hand Soap,1
2022-01-04,Unknown Product,2
2022-01-04,Grounded Foaming Hand Soap,2
2022-01-08,Mlango Farm Flat Parsley - Bunch,1
2022-01-08,Mukutan Wild Honey - 300g,1
2022-01-08,Unknown Product,1
2022-01-08,Grounded Foaming Hand Soap,3
2022-01-10,Unknown Product,2
2022-01-10,Grounded Foaming Hand Soap,2
2022-01-14,Grounded Foaming Hand Soap,2
2022-01-19,Unknown Product,1
2022-01-19,Grounded Foaming Hand Soap,1
2022-01-20,Grounded Foaming Hand Soap,1
2022-01-25,Unknown Product,2
2022-01-25,Grounded Foaming Hand Soap,2
2022-01-30,Unknown Product,1
2022-01-30,Grounded Foaming Hand Soap,1
2022-02-02,Unknown Product,1
2022-02-02,Grounded Foaming Hand Soap,1
2022-02-04,Unknown Product,2
2022-02-04,Grounded Foaming Hand Soap,2
2022-02-09,Unknown Product,3
2022-02-09,Grounded Foaming Hand Soap,3
2022-02-11,Grounded Foaming Hand Soap,1
2022-02-22,Unknown Product,1
2022-02-22,Grounded Foaming Hand Soap,1
2022-02-26,Unknown Product,1
2022-02-26,Grounded Foaming Hand Soap,1
2022-03-07,Grounded Foaming Hand Soap,4
2022-03-08,Grounded Foaming Hand Soap,2
2022-03-10,Grounded Foaming Hand Soap,1
2022-03-25,Grounded Foaming Hand Soap,1
2022-03-28,Grounded Foaming Hand Soap,1
2022-03-30,Unknown Product,1
2022-03-30,Grounded Foaming Hand Soap,1
2022-03-31,Grounded Foaming Hand Soap,2
2022-04-01,Grounded Foaming Hand Soap,1
2022-04-03,Grounded Foaming Hand Soap,1
2022-04-10,Grounded Foaming Hand Soap,1
2022-04-16,Grounded Foaming Hand Soap - 500ml,1
2022-04-18,Grounded Foaming Hand Soap - 500ml,4
2022-04-19,Grounded Foaming Hand Soap - 500ml,4
2022-04-27,Grounded Foaming Hand Soap - 500ml,1
2022-04-28,Grounded Foaming Hand Soap - 500ml,2
2022-05-01,Grounded Foaming Hand Soap - 500ml,2
2022-05-02,Grounded Foaming Hand Soap - 500ml,3
2022-05-03,Grounded Foaming Hand Soap - 500ml,1
2022-05-05,Grounded Foaming Hand Soap - 500ml,1
2022-05-06,Grounded Foaming Hand Soap - 500ml,2
2022-05-09,Grounded Foaming Hand Soap - 500ml,2
2022-05-10,Grounded Foaming Hand Soap - 500ml,4
2022-05-11,Grounded Foaming Hand Soap - 500ml,2
2022-05-12,Grounded Foaming Hand Soap - 500ml,3
2022-05-13,Grounded Foaming Hand Soap - 500ml,1
2022-05-14,Grounded Foaming Hand Soap - 500ml,1
2022-05-17,Grounded Foaming Hand Soap - 500ml,4
2022-05-18,Grounded Foaming Hand Soap - 500ml,1
2022-05-19,Grounded Foaming Hand Soap - 500ml,3
2022-05-22,Grounded Foaming Hand Soap - 500ml,3
2022-05-25,Grounded Foaming Hand Soap - 500ml,3
2022-06-01,Grounded Foaming Hand Soap - 500ml,1
2022-06-02,Grounded Foaming Hand Soap - 500ml,1
2022-06-03,Grounded Foaming Hand Soap - 500ml,1
2022-06-06,Grounded Foaming Hand Soap - 500ml,1
2022-06-07,Grounded Foaming Hand Soap - 500ml,1
2022-06-09,Grounded Foaming Hand Soap - 500ml,3
2022-06-11,Grounded Foaming Hand Soap - 500ml,3
2022-06-12,Grounded Foaming Hand Soap - 500ml,1
2022-06-24,Grounded Foaming Hand Soap - 500ml,2
2022-07-04,Grounded Foaming Hand Soap - 500ml,1
2022-07-07,Grounded Foaming Hand Soap - 500ml,1
2022-07-13,Grounded Foaming Hand Soap - 500ml,1
2022-07-17,Grounded Foaming Hand Soap - 500ml,1
2022-07-18,Grounded Foaming Hand Soap - 500ml,2
2022-07-20,Grounded Foaming Hand Soap - 500ml,1
2022-07-21,Grounded Foaming Hand Soap - 500ml,1
2022-07-26,Grounded Foaming Hand Soap - 500ml,1
2022-07-27,Grounded Foaming Hand Soap - 500ml,1
2022-08-03,Grounded Foaming Hand Soap - 500ml,2
2022-08-05,Grounded Foaming Hand Soap - 500ml,1
2022-08-07,Grounded Foaming Hand Soap - 500ml,1
2022-08-20,Grounded Foaming Hand Soap - 500ml,1
2022-08-22,Grounded Foaming Hand Soap - 500ml,3
2022-08-23,Grounded Foaming Hand Soap - 500ml,1
2022-08-25,Grounded Foaming Hand Soap - 500ml,2
2022-08-31,Grounded Foaming Hand Soap - 500ml,2
2022-09-01,Grounded Foaming Hand Soap - 500ml,1
2022-09-02,Grounded Foaming Hand Soap - 500ml,1
2022-09-04,Grounded Foaming Hand Soap - 500ml,1
2022-09-07,Grounded Foaming Hand Soap - 500ml,1
2022-09-08,Grounded Foaming Hand Soap - 500ml,2
2022-09-13,Grounded Foaming Hand Soap - 500ml,1
2022-09-14,Grounded Foaming Hand Soap - 500ml,1
2022-09-15,Grounded Foaming Hand Soap - 500ml,1
2022-09-16,Grounded Foaming Hand Soap - 500ml,1
2022-09-21,Grounded Foaming Hand Soap - 500ml,3
2022-09-22,Grounded Foaming Hand Soap - 500ml,1
2022-09-23,Grounded Foaming Hand Soap - 500ml,1
2022-09-24,Grounded Foaming Hand Soap - 500ml,1
2022-09-25,Grounded Foaming Hand Soap - 500ml,1
2022-10-01,Grounded Foaming Hand Soap - 500ml,1
2022-10-04,Grounded Foaming Hand Soap - 500ml,1
2022-10-05,Grounded Foaming Hand Soap - 500ml,1
2022-10-09,Grounded Foaming Hand Soap - 500ml,1
