Date,Product Name,Quantity
2018-12-03,Grounded Laundry Bar Soap - 150g,1
2018-12-05,Grounded Laundry Bar Soap - 150g,1
2018-12-06,Grounded Laundry Bar Soap - 150g,1
2018-12-07,Grounded Laundry Bar Soap - 150g,1
2018-12-10,Grounded Laundry Bar Soap - 150g,1
2018-12-12,Grounded Laundry Bar Soap - 150g,1
2018-12-14,Grounded Laundry Bar Soap - 150g,1
2018-12-15,Grounded Laundry Bar Soap - 150g,1
2018-12-16,Grounded Laundry Bar Soap - 150g,1
2018-12-17,Grounded Laundry Bar Soap - 150g,2
2019-01-03,Grounded Laundry Bar Soap - 150g,1
2019-01-08,Grounded Laundry Bar Soap - 150g,1
2019-01-18,Grounded Laundry Bar Soap - 150g,1
2019-01-25,Grounded Laundry Bar Soap - 150g,1
2019-02-05,Grounded Laundry Bar Soap - 150g,1
2019-02-13,Grounded Laundry Bar Soap - 150g,1
2019-02-19,Grounded Laundry Bar Soap - 150g,1
2019-02-25,Grounded Laundry Bar Soap - 150g,2
2019-03-11,Grounded Laundry Bar Soap - 150g,1
2019-03-26,Grounded Laundry Bar Soap - 150g,1
2019-03-28,Grounded Laundry Bar Soap - 150g,1
2019-04-01,Grounded Laundry Bar Soap - 150g,4
2019-04-10,Grounded Laundry Bar Soap - 150g,1
2019-04-11,Grounded Laundry Bar Soap - 150g,4
2019-04-15,Grounded Laundry Bar Soap - 150g,1
2019-05-10,Grounded Laundry Bar Soap - 150g,2
2019-05-19,Grounded Laundry Bar Soap - 150g,1
2019-05-31,Grounded Laundry Bar Soap - 150g,1
2019-06-09,Grounded Laundry Bar Soap - 150g,5
2019-06-11,Grounded Laundry Bar Soap - 150g,1
2019-06-29,Grounded Laundry Bar Soap - 150g,1
2019-07-04,Grounded Laundry Bar Soap - 150g,2
2019-07-23,Grounded Laundry Bar Soap - 150g,1
2019-08-12,Grounded Laundry Bar Soap - 150g,2
2019-08-19,Grounded Laundry Bar Soap - 150g,1
2019-08-22,Grounded Laundry Bar Soap - 150g,3
2019-09-02,Grounded Laundry Bar Soap - 150g,1
2019-09-16,Grounded Laundry Bar Soap - 150g,8
2019-09-18,Grounded Laundry Bar Soap - 150g,1
2019-09-19,Grounded Laundry Bar Soap - 150g,4
2019-09-29,Grounded Laundry Bar Soap - 150g,1
2019-10-01,Grounded Laundry Bar Soap - 150g,4
2019-10-02,Grounded Laundry Bar Soap - 150g,1
2019-10-19,Grounded Laundry Bar Soap - 150g,1
2019-10-26,Grounded Laundry Bar Soap - 150g,1
2019-10-28,Grounded Laundry Bar Soap - 150g,3
2019-10-30,Grounded Laundry Bar Soap - 150g,1
2019-11-06,Grounded Laundry Bar Soap - 150g,1
2019-11-07,Grounded Laundry Bar Soap - 150g,3
2019-12-03,Grounded Laundry Bar Soap - 150g,1
2019-12-08,Grounded Laundry Bar Soap - 150g,2
2019-12-10,Grounded Laundry Bar Soap - 150g,4
2019-12-13,Grounded Laundry Bar Soap - 150g,1
2019-12-14,Grounded Laundry Bar Soap - 150g,2
2019-12-15,Grounded Laundry Bar Soap - 150g,2
2019-12-17,Grounded Laundry Bar Soap - 150g,1
2019-12-19,Grounded Laundry Bar Soap - 150g,1
2020-01-03,Grounded Laundry Bar Soap - 150g,5
2020-01-13,Grounded Laundry Bar Soap - 150g,1
2020-01-23,Grounded Laundry Bar Soap - 150g,3
2020-01-27,Grounded Laundry Bar Soap - 150g,2
2020-02-04,Grounded Laundry Bar Soap - 150g,6
2020-02-18,Grounded Laundry Bar Soap - 150g,5
2020-02-20,Grounded Laundry Bar Soap - 150g,2
2020-02-26,Grounded Laundry Bar Soap - 150g,2
2020-03-13,Grounded Laundry Bar Soap - 150g,5
2020-03-16,Grounded Laundry Bar Soap - 150g,1
2020-03-17,Grounded Laundry Bar Soap - 150g,1
2020-03-20,Grounded Laundry Bar Soap - 150g,2
2020-03-24,Grounded Laundry Bar Soap - 150g,5
2020-03-26,Grounded Laundry Bar Soap - 150g,1
2020-03-31,Grounded Laundry Bar Soap - 150g,1
2020-04-03,Grounded Laundry Bar Soap - 150g,1
2020-04-09,Grounded Laundry Bar Soap - 150g,1
