Date,Product Name,Quantity
2018-12-04,Grounded Windows &amp; Mirrors,1
2018-12-05,Grounded Windows &amp; Mirrors,1
2018-12-14,Grounded Windows &amp; Mirrors,1
2018-12-16,Grounded Windows &amp; Mirrors,1
2018-12-20,Grounded Windows &amp; Mirrors,1
2019-01-03,Grounded Windows &amp; Mirrors,1
2019-01-07,Grounded Windows &amp; Mirrors,1
2019-01-10,Grounded Windows &amp; Mirrors,4
2019-01-20,Grounded Windows &amp; Mirrors,1
2019-01-22,Grounded Windows &amp; Mirrors,1
2019-03-01,Grounded Windows &amp; Mirrors,1
2019-03-06,Grounded Windows &amp; Mirrors,1
2019-03-08,Grounded Windows &amp; Mirrors,3
2019-03-13,Grounded Windows &amp; Mirrors,1
2019-03-15,Grounded Windows &amp; Mirrors,6
2019-03-16,Grounded Windows &amp; Mirrors,1
2019-03-17,Grounded Windows &amp; Mirrors,1
2019-03-21,Grounded Windows &amp; Mirrors,1
2019-03-25,Grounded Windows &amp; Mirrors,1
2019-04-07,Grounded Windows &amp; Mirrors,1
2019-04-10,Grounded Windows &amp; Mirrors,1
2019-04-13,Grounded Windows &amp; Mirrors,1
2019-04-16,Grounded Windows &amp; Mirrors,2
2019-04-26,Grounded Windows &amp; Mirrors,1
2019-05-02,Grounded Windows &amp; Mirrors,1
2019-05-03,Grounded Windows &amp; Mirrors,1
2019-05-06,Grounded Windows &amp; Mirrors,2
2019-05-10,Grounded Windows &amp; Mirrors,3
2019-05-15,Grounded Windows &amp; Mirrors,1
2019-05-19,Grounded Windows &amp; Mirrors,1
2019-05-22,Grounded Windows &amp; Mirrors,2
2019-05-25,Grounded Windows &amp; Mirrors,1
2019-06-12,Grounded Windows &amp; Mirrors,1
2019-06-13,Grounded Windows &amp; Mirrors,1
2019-06-24,Grounded Windows &amp; Mirrors,2
2019-06-25,Grounded Windows &amp; Mirrors,1
2019-06-27,Grounded Windows &amp; Mirrors,2
2019-06-29,Grounded Windows &amp; Mirrors,1
2019-07-05,Grounded Windows &amp; Mirrors,1
2019-07-07,Grounded Windows &amp; Mirrors,1
2019-07-24,Grounded Windows &amp; Mirrors,1
2019-07-30,Grounded Windows &amp; Mirrors,1
2019-08-01,Grounded Windows &amp; Mirrors,1
2019-08-02,Grounded Windows &amp; Mirrors,1
2019-08-11,Grounded Windows &amp; Mirrors,1
2019-08-15,Grounded Windows &amp; Mirrors,1
2019-08-18,Grounded Windows &amp; Mirrors,2
2019-08-19,Grounded Windows &amp; Mirrors,1
2019-08-27,Grounded Windows &amp; Mirrors,2
2019-09-01,Grounded Windows &amp; Mirrors,1
2019-09-04,Grounded Windows &amp; Mirrors,1
2019-09-06,Grounded Windows &amp; Mirrors,1
2019-09-09,Grounded Windows &amp; Mirrors,1
2019-09-12,Grounded Windows &amp; Mirrors,5
2019-09-16,Grounded Windows &amp; Mirrors,3
2019-09-17,Grounded Windows &amp; Mirrors,1
2019-09-20,Grounded Windows &amp; Mirrors,1
2019-09-21,Grounded Windows &amp; Mirrors,1
2019-09-27,Grounded Windows &amp; Mirrors,1
2019-09-29,Grounded Windows &amp; Mirrors,1
2019-09-30,Grounded Windows &amp; Mirrors,2
2019-10-01,Grounded Windows &amp; Mirrors,1
2019-10-07,Grounded Windows &amp; Mirrors,1
2019-10-16,Grounded Windows &amp; Mirrors,1
2019-10-29,Grounded Windows &amp; Mirrors,1
2019-11-11,Grounded Windows &amp; Mirrors,1
2019-11-12,Grounded Windows &amp; Mirrors,1
2019-11-13,Grounded Windows &amp; Mirrors,2
2019-11-14,Grounded Windows &amp; Mirrors,2
2019-11-18,Grounded Windows &amp; Mirrors,1
2019-12-08,Grounded Windows &amp; Mirrors,1
2019-12-09,Grounded Windows &amp; Mirrors,2
2019-12-17,Grounded Windows &amp; Mirrors,2
2019-12-18,Grounded Windows &amp; Mirrors,3
2020-01-27,Grounded Windows &amp; Mirrors - 500ml,2
2020-02-03,Grounded Windows &amp; Mirrors - 500ml,5
2020-02-05,Grounded Windows &amp; Mirrors - 500ml,2
2020-02-18,Grounded Windows &amp; Mirrors - 500ml,2
2020-02-20,Grounded Windows &amp; Mirrors - 500ml,1
2020-02-26,Grounded Windows &amp; Mirrors - 500ml,2
2020-03-02,Grounded Windows &amp; Mirrors - 500ml,1
2020-03-12,Grounded Windows &amp; Mirrors - 500ml,1
2020-03-16,Grounded Windows &amp; Mirrors - 500ml,2
2020-03-17,Grounded Windows &amp; Mirrors - 500ml,1
2020-03-18,Grounded Windows &amp; Mirrors - 500ml,4
2020-03-20,Grounded Windows &amp; Mirrors - 500ml,1
2020-03-23,Grounded Windows &amp; Mirrors - 500ml,1
2020-03-26,Grounded Windows &amp; Mirrors - 500ml,5
2020-03-27,Grounded Windows &amp; Mirrors - 500ml,2
2020-04-01,Grounded Windows &amp; Mirrors - 500ml,1
2020-04-02,Grounded Windows &amp; Mirrors - 500ml,1
2020-04-03,Grounded Windows &amp; Mirrors - 500ml,1
2020-04-05,Grounded Windows &amp; Mirrors - 500ml,1
2020-04-09,Grounded Windows &amp; Mirrors - 500ml,2
2020-04-14,Grounded Windows &amp; Mirrors - 500ml,1
2020-04-24,Grounded Windows &amp; Mirrors - 500ml,1
2020-04-28,Grounded Windows &amp; Mirrors - 500ml,2
2020-05-05,Grounded Windows &amp; Mirrors - 500ml,1
2020-05-07,Grounded Windows &amp; Mirrors - 500ml,1
2020-05-08,Grounded Windows &amp; Mirrors - 500ml,1
2020-05-11,Grounded Windows &amp; Mirrors - 500ml,1
