Date,Product Name,Quantity
2023-07-08,GreenLands Oyster Mushroom - 250g,1
2023-07-09,GreenLands Oyster Mushroom - 250g,4
2023-07-10,GreenLands Oyster Mushroom - 250g,5
2023-07-11,GreenLands Oyster Mushroom - 250g,4
2023-07-12,GreenLands Oyster Mushroom - 250g,5
2023-07-13,GreenLands Oyster Mushroom - 250g,1
2023-07-14,GreenLands Oyster Mushroom - 250g,2
2023-07-15,GreenLands Oyster Mushroom - 250g,5
2023-07-17,GreenLands Oyster Mushroom - 250g,6
2023-07-18,GreenLands Oyster Mushroom - 250g,2
2023-07-19,GreenLands Oyster Mushroom - 250g,2
2023-07-20,GreenLands Oyster Mushroom - 250g,4
2023-07-21,GreenLands Oyster Mushroom - 250g,4
2023-07-22,GreenLands Oyster Mushroom - 250g,2
2023-07-23,GreenLands Oyster Mushroom - 250g,1
2023-07-24,GreenLands Oyster Mushroom - 250g,2
2023-07-27,GreenLands Oyster Mushroom - 250g,1
2023-07-28,GreenLands Oyster Mushroom - 250g,3
2023-07-29,GreenLands Oyster Mushroom - 250g,3
2023-07-31,GreenLands Oyster Mushroom - 250g,12
2023-08-01,GreenLands Oyster Mushroom - 250g,1
2023-08-02,GreenLands Oyster Mushroom - 250g,2
2023-08-03,GreenLands Oyster Mushroom - 250g,4
2023-08-04,GreenLands Oyster Mushroom - 250g,2
2023-08-05,GreenLands Oyster Mushroom - 250g,2
2023-08-07,GreenLands Oyster Mushroom - 250g,5
2023-08-08,GreenLands Oyster Mushroom - 250g,1
2023-08-10,GreenLands Oyster Mushroom - 250g,2
2023-08-11,GreenLands Oyster Mushroom - 250g,5
2023-08-12,GreenLands Oyster Mushroom - 250g,2
2023-08-13,GreenLands Oyster Mushroom - 250g,4
2023-08-14,GreenLands Oyster Mushroom - 250g,1
2023-08-16,GreenLands Oyster Mushroom - 250g,2
2023-08-17,GreenLands Oyster Mushroom - 250g,5
2023-08-18,GreenLands Oyster Mushroom - 250g,4
2023-08-19,GreenLands Oyster Mushroom - 250g,2
2023-08-20,GreenLands Oyster Mushroom - 250g,6
2023-08-21,GreenLands Oyster Mushroom - 250g,5
2023-08-22,GreenLands Oyster Mushroom - 250g,1
2023-08-25,GreenLands Oyster Mushroom - 250g,8
2023-08-26,GreenLands Oyster Mushroom - 250g,2
2023-08-27,GreenLands Oyster Mushroom - 250g,3
2023-08-28,GreenLands Oyster Mushroom - 250g,4
2023-08-29,GreenLands Oyster Mushroom - 250g,1
2023-09-01,GreenLands Oyster Mushroom - 250g,3
