Date,Product Name,Quantity
2022-01-12,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-01-16,Gelato Street Cappuccino Crunchie Gelato - 500ml,3
2022-01-17,Gelato Street Cappuccino Crunchie Gelato - 500ml,3
2022-02-03,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-02-04,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-02-07,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-03-03,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-03-08,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-03-09,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-05-28,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-06-12,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-06-18,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-06-30,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-07-17,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-07-30,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-08-06,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-08-19,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-08-21,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-09-02,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-09-06,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-09-16,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-09-24,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-10-16,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-10-17,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-10-30,Gelato Street Cappuccino Crunchie Gelato - 500ml,3
2022-11-10,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-11-18,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-11-19,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-11-28,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-12-04,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-12-17,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
2022-12-19,Gelato Street Cappuccino Crunchie Gelato - 500ml,2
2022-12-30,Gelato Street Cappuccino Crunchie Gelato - 500ml,1
