Date,Product Name,Quantity
2022-01-17,Gelato Street Coconut & Lime Gelato - 500ml,4
2022-01-17,Gelato Street Coconut &amp; Lime Gelato - 500ml,2
2022-01-18,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-01-18,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-01-31,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-01-31,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-02-11,Gelato Street Coconut & Lime Gelato - 500ml,2
2022-02-11,Gelato Street Coconut &amp; Lime Gelato - 500ml,2
2022-02-12,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-02-12,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-02-17,Gelato Street Coconut & Lime Gelato - 500ml,2
2022-02-17,Gelato Street Coconut &amp; Lime Gelato - 500ml,2
2022-02-22,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-02-22,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-02-24,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-02-24,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-02-27,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-02-27,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-05,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-06,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-08,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-10,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-03-10,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-11,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-15,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-03-15,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-19,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-22,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-03-24,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-04-05,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-04-08,Gelato Street Coconut &amp; Lime Gelato - 500ml,2
2022-04-09,Gelato Street Coconut &amp; Lime Gelato - 500ml,1
2022-04-14,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-05-11,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-05-20,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-05-24,Gelato Street Coconut & Lime Gelato - 500ml,2
2022-06-09,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-06-16,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-06-17,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-06-18,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-06-30,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-07-01,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-07-30,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-08-03,Gelato Street Coconut & Lime Gelato - 500ml,1
2022-08-08,Gelato Street Coconut & Lime Gelato - 500ml,2
2022-08-13,Gelato Street Coconut & Lime Gelato - 500ml,1
