Date,Product Name,Quantity
2018-12-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2018-12-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2018-12-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2018-12-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2018-12-12,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2018-12-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2018-12-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2018-12-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2018-12-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-04,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-01-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2019-01-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-01-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-01-22,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-25,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-01-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-01-31,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-02-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-04,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2019-02-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-02-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-02-18,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-02-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
