Date,Product Name,Quantity
2018-12-11,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),40
2018-12-12,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2018-12-13,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2018-12-17,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2018-12-23,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2018-12-31,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-01-07,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),5
2019-01-08,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-01-16,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-01-20,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-01-22,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-01-23,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-01-25,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-02-02,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-02-03,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-02-04,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-02-09,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-02-10,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-02-12,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-02-17,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-02-18,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-02-20,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-02-27,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-03-03,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-03-04,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-03-06,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-03-19,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-03-20,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-03-21,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-03-29,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),5
2019-04-06,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-04-09,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),4
2019-04-19,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-04-22,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-04-23,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-04-25,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-04-29,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),5
2019-05-13,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-05-15,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),5
2019-05-28,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-06-09,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-06-12,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-06-20,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-07-01,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-07-02,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-07-05,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-07-06,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-07-14,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-07-15,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-07-18,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-07-29,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-07-31,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-08-02,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-08-09,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-08-11,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),4
2019-08-12,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-08-14,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-08-20,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-08-26,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),6
2019-09-01,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-09-06,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
2019-09-20,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-09-22,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-09-25,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-09-30,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-10-03,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-10-05,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-10-07,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-10-13,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-10-15,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-10-21,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-10-27,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-10-29,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-11-03,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-11-04,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-11-07,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-11-11,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-11-18,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-11-20,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-11-24,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-11-26,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-11-30,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),1
2019-12-01,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),2
2019-12-02,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),4
2019-12-12,Healthy Kajuju Energy Bites Oat and Coconut  (90g / 3 balls),3
