Date,Product Name,Quantity
2020-11-16,Healthy Kajuju Classic Falafel (2 pieces),2
2020-11-20,Healthy Kajuju Classic Falafel (2 pieces),4
2020-11-23,Healthy Kajuju Classic Falafel (2 pieces),3
2020-11-24,Healthy Kajuju Classic Falafel (2 pieces),1
2020-12-09,Healthy Kajuju Classic Falafel (2 pieces),2
2020-12-14,Healthy Kajuju Classic Falafel (2 pieces),3
2020-12-15,Healthy Kajuju Classic Falafel (2 pieces),1
2020-12-20,Healthy Kajuju Classic Falafel (2 pieces),3
2021-01-06,Healthy Kajuju Classic Falafel (2 pieces),3
2021-01-08,Healthy Kajuju Classic Falafel (2 pieces),2
2021-01-14,Healthy Kajuju Classic Falafel (2 pieces),2
2021-01-21,Healthy Kajuju Classic Falafel (2 pieces),5
2021-01-28,Healthy Kajuju Classic Falafel (2 pieces),5
2021-01-29,Healthy Kajuju Classic Falafel (2 pieces),1
2021-02-03,Healthy Kajuju Classic Falafel (2 pieces),2
2021-02-04,Healthy Kajuju Classic Falafel (2 pieces),1
2021-02-15,Healthy Kajuju Classic Falafel (2 pieces),3
2021-02-16,Healthy Kajuju Classic Falafel (2 pieces),2
2021-02-18,Healthy Kajuju Classic Falafel (2 pieces),1
2021-02-19,Healthy Kajuju Classic Falafel (2 pieces),3
2021-02-24,Healthy Kajuju Classic Falafel (2 pieces),1
2021-02-28,Healthy Kajuju Classic Falafel (2 pieces),1
2021-03-05,Healthy Kajuju Classic Falafel (2 pieces),1
2021-03-09,Healthy Kajuju Classic Falafel (2 pieces),1
2021-03-19,Healthy Kajuju Classic Falafel (2 pieces),2
2021-03-30,Healthy Kajuju Classic Falafel (2 pieces),2
2021-04-09,Healthy Kajuju Classic Falafel (2 pieces),1
2021-04-12,Healthy Kajuju Classic Falafel (2 pieces),1
2021-04-19,Healthy Kajuju Classic Falafel (2 pieces),1
2021-04-21,Healthy Kajuju Classic Falafel (2 pieces),1
2021-04-22,Healthy Kajuju Classic Falafel (2 pieces),1
2021-04-30,Healthy Kajuju Classic Falafel (2 pieces),2
2021-05-08,Healthy Kajuju Classic Falafel (2 pieces),1
2021-05-11,Healthy Kajuju Classic Falafel (2 pieces),1
2021-05-15,Healthy Kajuju Classic Falafel (2 pieces),1
2021-06-02,Healthy Kajuju Classic Falafel (2 pieces),1
2021-06-04,Healthy Kajuju Classic Falafel (2 pieces),2
2021-06-09,Healthy Kajuju Classic Falafel (2 pieces),1
2021-06-12,Healthy Kajuju Classic Falafel (2 pieces),2
2021-06-24,Healthy Kajuju Classic Falafel (2 pieces),4
2021-07-04,Healthy Kajuju Classic Falafel (2 pieces),5
2021-07-29,Healthy Kajuju Classic Falafel (2 pieces),1
2021-09-01,Healthy Kajuju Classic Falafel (2 pieces),2
2021-09-07,Healthy Kajuju Classic Falafel (2 pieces),2
2021-09-09,Healthy Kajuju Classic Falafel - 250 g,1
2021-09-11,Healthy Kajuju Classic Falafel - 250 g,1
2021-09-15,Healthy Kajuju Classic Falafel - 250 g,1
2021-09-16,Healthy Kajuju Classic Falafel - 250 g,1
2021-09-17,Healthy Kajuju Classic Falafel - 250 g,3
2021-09-18,Healthy Kajuju Classic Falafel - 250 g,1
2021-09-25,Healthy Kajuju Classic Falafel - 250 g,3
2021-09-30,Healthy Kajuju Classic Falafel - 250 g,3
2021-10-04,Healthy Kajuju Classic Falafel - 250 g,2
2021-10-09,Healthy Kajuju Classic Falafel - 250 g,1
2021-10-10,Healthy Kajuju Classic Falafel - 250 g,1
2021-10-13,Healthy Kajuju Classic Falafel - 250 g,3
2021-10-15,Healthy Kajuju Classic Falafel - 250 g,2
2021-10-25,Healthy Kajuju Classic Falafel - 250 g,1
2021-10-27,Healthy Kajuju Classic Falafel - 250 g,1
2021-10-31,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-01,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-04,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-05,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-06,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-08,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-10,Healthy Kajuju Classic Falafel - 250 g,3
2021-11-14,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-17,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-18,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-23,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-24,Healthy Kajuju Classic Falafel - 250 g,2
2021-11-29,Healthy Kajuju Classic Falafel - 250 g,1
2021-11-30,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-01,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-06,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-07,Healthy Kajuju Classic Falafel - 250 g,2
2021-12-08,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-10,Healthy Kajuju Classic Falafel - 250 g,6
2021-12-11,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-12,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-14,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-16,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-17,Healthy Kajuju Classic Falafel - 250 g,3
2021-12-20,Healthy Kajuju Classic Falafel - 250 g,1
2021-12-23,Healthy Kajuju Classic Falafel - 250 g,3
2021-12-27,Healthy Kajuju Classic Falafel - 250 g,3
