Date,Product Name,Quantity
2021-11-06,Heineken 0.0% Non-Alcoholic Beer - 330ml,6
2021-11-10,Heineken 0.0% Non-Alcoholic Beer - 330ml,12
2021-11-11,Heineken 0.0% Non-Alcoholic Beer - 330ml,38
2021-11-13,Heineken 0.0% Non-Alcoholic Beer - 330ml,6
2021-11-15,Heineken 0.0% Non-Alcoholic Beer - 330ml,4
2021-11-17,Heineken 0.0% Non-Alcoholic Beer - 330ml,4
2021-11-18,Heineken 0.0% Non-Alcoholic Beer - 330ml,5
2021-11-19,Heineken 0.0% Non-Alcoholic Beer - 330ml,6
2021-11-23,Heineken 0.0% Non-Alcoholic Beer - 330ml,3
2021-11-24,Heineken 0.0% Non-Alcoholic Beer - 330ml,10
2021-11-25,Heineken 0.0% Non-Alcoholic Beer - 330ml,10
2021-11-27,Heineken 0.0% Non-Alcoholic Beer - 330ml,6
2021-11-29,Heineken 0.0% Non-Alcoholic Beer - 330ml,2
2021-12-02,Heineken 0.0% Non-Alcoholic Beer - 330ml,6
2021-12-09,Heineken 0.0% Non-Alcoholic Beer - 330ml,2
2021-12-12,Heineken 0.0% Non-Alcoholic Beer - 330ml,12
2021-12-16,Heineken 0.0% Non-Alcoholic Beer - 330ml,16
2021-12-20,Heineken 0.0% Non-Alcoholic Beer - 330ml,6
2021-12-22,Heineken 0.0% Non-Alcoholic Beer - 330ml,12
2021-12-28,Heineken 0.0% Non-Alcoholic Beer - 330ml,6
2021-12-29,Heineken 0.0% Non-Alcoholic Beer - 330ml,12
2021-12-31,Heineken 0.0% Non-Alcoholic Beer - 330ml,18
2022-01-06,Heineken 0.0% Non-Alcoholic Beer - 330ml,14
2022-01-07,Heineken 0.0% Non-Alcoholic Beer - 330ml,20
2022-01-08,Heineken 0.0% Non-Alcoholic Beer - 330ml,16
2022-01-09,Heineken 0.0% Non-Alcoholic Beer - 330ml,20
2022-01-10,Heineken 0.0% Non-Alcoholic Beer - 330ml,20
2022-01-11,Heineken 0.0% Non-Alcoholic Beer - 330ml,94
2022-01-12,Heineken 0.0% Non-Alcoholic Beer - 330ml,52
2022-01-13,Heineken 0.0% Non-Alcoholic Beer - 330ml,40
2022-01-15,Heineken 0.0% Non-Alcoholic Beer - 330ml,84
2022-01-17,Heineken 0.0% Non-Alcoholic Beer - 330ml,18
