Date,Product Name,Quantity
2022-09-30,Alpro Almond Barista Milk - 1L,1
2022-10-04,Alpro Almond Barista Milk - 1L,1
2022-10-05,Alpro Almond Barista Milk - 1L,1
2022-10-06,Alpro Almond Barista Milk - 1L,2
2022-10-08,Alpro Almond Barista Milk - 1L,1
2022-10-09,Alpro Almond Barista Milk - 1L,1
2022-10-11,Alpro Almond Barista Milk - 1L,1
2022-10-12,Alpro Almond Barista Milk - 1L,4
2022-10-13,Alpro Almond Barista Milk - 1L,13
2022-10-14,Alpro Almond Barista Milk - 1L,3
2022-10-15,Alpro Almond Barista Milk - 1L,2
2022-10-21,Alpro Almond Barista Milk - 1L,4
2022-10-25,Alpro Almond Barista Milk - 1L,2
2022-10-27,Alpro Almond Barista Milk - 1L,2
2022-10-28,Alpro Almond Barista Milk - 1L,2
2022-10-30,Alpro Almond Barista Milk - 1L,1
2022-10-31,Alpro Almond Barista Milk - 1L,3
2022-11-02,Alpro Almond Barista Milk - 1L,1
2022-11-03,Alpro Almond Barista Milk - 1L,5
2022-11-05,Alpro Almond Barista Milk - 1L,1
2022-11-08,Alpro Almond Barista Milk - 1L,1
2022-11-09,Alpro Almond Barista Milk - 1L,2
2022-11-12,Alpro Almond Barista Milk - 1L,1
2022-11-15,Alpro Almond Barista Milk - 1L,1
2022-11-21,Alpro Almond Barista Milk - 1L,3
2022-11-22,Alpro Almond Barista Milk - 1L,2
2022-11-23,Alpro Almond Barista Milk - 1L,1
2022-11-24,Alpro Almond Barista Milk - 1L,2
2022-11-25,Alpro Almond Barista Milk - 1L,2
2022-11-26,Alpro Almond Barista Milk - 1L,5
2022-11-28,Alpro Almond Barista Milk - 1L,5
2022-12-01,Alpro Almond Barista Milk - 1L,1
2022-12-04,Alpro Almond Barista Milk - 1L,3
2022-12-05,Alpro Almond Barista Milk - 1L,1
2022-12-09,Alpro Almond Barista Milk - 1L,1
2022-12-17,Alpro Almond Barista Milk - 1L,1
2022-12-20,Alpro Almond Barista Milk - 1L,1
2022-12-22,Alpro Almond Barista Milk - 1L,2
2022-12-23,Alpro Almond Barista Milk - 1L,2
2022-12-27,Alpro Almond Barista Milk - 1L,1
2022-12-29,Alpro Almond Barista Milk - 1L,3
2022-12-30,Alpro Almond Barista Milk - 1L,2
2023-01-01,Alpro Almond Barista Milk - 1L,1
2023-01-02,Alpro Almond Barista Milk - 1L,1
2023-01-03,Alpro Almond Barista Milk - 1L,1
2023-01-04,Alpro Almond Barista Milk - 1L,3
2023-01-06,Alpro Almond Barista Milk - 1L,1
2023-01-07,Alpro Almond Barista Milk - 1L,1
2023-01-08,Alpro Almond Barista Milk - 1L,1
2023-01-12,Alpro Almond Barista Milk - 1L,1
2023-01-13,Alpro Almond Barista Milk - 1L,1
2023-01-14,Alpro Almond Barista Milk - 1L,2
2023-01-15,Alpro Almond Barista Milk - 1L,2
2023-01-16,Alpro Almond Barista Milk - 1L,4
2023-01-18,Alpro Almond Barista Milk - 1L,1
2023-01-20,Alpro Almond Barista Milk - 1L,1
2023-01-23,Alpro Almond Barista Milk - 1L,1
2023-01-25,Alpro Almond Barista Milk - 1L,2
2023-01-27,Alpro Almond Barista Milk - 1L,3
2023-01-30,Alpro Almond Barista Milk - 1L,1
2023-02-01,Alpro Almond Barista Milk - 1L,5
2023-02-02,Alpro Almond Barista Milk - 1L,4
2023-02-04,Alpro Almond Barista Milk - 1L,1
2023-02-09,Alpro Almond Barista Milk - 1L,2
2023-02-11,Alpro Almond Barista Milk - 1L,2
2023-02-13,Alpro Almond Barista Milk - 1L,1
2023-02-17,Alpro Almond Barista Milk - 1L,3
2023-02-18,Alpro Almond Barista Milk - 1L,1
2023-02-20,Alpro Almond Barista Milk - 1L,1
2023-02-24,Alpro Almond Barista Milk - 1L,1
2023-02-27,Alpro Almond Barista Milk - 1L,2
2023-02-28,Alpro Almond Barista Milk - 1L,2
2023-03-01,Alpro Almond Barista Milk - 1L,1
2023-03-02,Alpro Almond Barista Milk - 1L,4
2023-03-03,Alpro Almond Barista Milk - 1L,2
2023-03-05,Alpro Almond Barista Milk - 1L,2
2023-03-06,Alpro Almond Barista Milk - 1L,1
2023-03-07,Alpro Almond Barista Milk - 1L,4
2023-03-09,Alpro Almond Barista Milk - 1L,9
2023-03-10,Alpro Almond Barista Milk - 1L,1
2023-03-15,Alpro Almond Barista Milk - 1L,3
2023-03-17,Alpro Almond Barista Milk - 1L,1
2023-03-20,Alpro Almond Barista Milk - 1L,2
2023-03-29,Alpro Almond Barista Milk - 1L,2
2023-04-02,Alpro Almond Barista Milk - 1L,1
2023-04-03,Alpro Almond Barista Milk - 1L,2
2023-04-05,Alpro Almond Barista Milk - 1L,6
2023-04-07,Alpro Almond Barista Milk - 1L,1
2023-04-10,Alpro Almond Barista Milk - 1L,1
2023-04-11,Alpro Almond Barista Milk - 1L,2
2023-04-14,Alpro Almond Barista Milk - 1L,12
2023-04-16,Alpro Almond Barista Milk - 1L,1
2023-04-17,Alpro Almond Barista Milk - 1L,3
2023-04-19,Alpro Almond Barista Milk - 1L,1
2023-04-20,Alpro Almond Barista Milk - 1L,1
2023-04-22,Alpro Almond Barista Milk - 1L,3
2023-04-27,Alpro Almond Barista Milk - 1L,2
2023-04-28,Alpro Almond Barista Milk - 1L,1
2023-06-20,Alpro Almond Barista Milk - 1L,1
2023-06-21,Alpro Almond Barista Milk - 1L,2
2023-06-23,Alpro Almond Barista Milk - 1L,1
2023-06-25,Alpro Almond Barista Milk - 1L,2
2023-06-26,Alpro Almond Barista Milk - 1L,1
2023-06-27,Alpro Almond Barista Milk - 1L,1
2023-06-29,Alpro Almond Barista Milk - 1L,1
2023-07-01,Alpro Almond Barista Milk - 1L,1
2023-07-02,Alpro Almond Barista Milk - 1L,1
2023-07-04,Alpro Almond Barista Milk - 1L,5
2023-07-07,Alpro Almond Barista Milk - 1L,1
2023-07-10,Alpro Almond Barista Milk - 1L,1
2023-07-11,Alpro Almond Barista Milk - 1L,2
2023-07-12,Alpro Almond Barista Milk - 1L,6
2023-07-14,Alpro Almond Barista Milk - 1L,2
2023-07-15,Alpro Almond Barista Milk - 1L,1
2023-07-17,Alpro Almond Barista Milk - 1L,1
2023-07-19,Alpro Almond Barista Milk - 1L,5
2023-07-22,Alpro Almond Barista Milk - 1L,4
2023-07-23,Alpro Almond Barista Milk - 1L,1
2023-08-19,Alpro Almond Barista Milk - 1L,1
2023-08-21,Alpro Almond Barista Milk - 1L,3
2023-08-22,Alpro Almond Barista Milk - 1L,7
2023-08-23,Alpro Almond Barista Milk - 1L,1
2023-09-02,Alpro Almond Barista Milk - 1L,1
2023-09-03,Alpro Almond Barista Milk - 1L,1
2023-09-04,Alpro Almond Barista Milk - 1L,12
2023-09-05,Alpro Almond Barista Milk - 1L,4
2023-09-10,Alpro Almond Barista Milk - 1L,3
2023-09-11,Alpro Almond Barista Milk - 1L,4
2023-09-12,Alpro Almond Barista Milk - 1L,6
2023-09-14,Alpro Almond Barista Milk - 1L,3
2023-09-16,Alpro Almond Barista Milk - 1L,3
2023-09-18,Alpro Almond Barista Milk - 1L,3
2023-09-19,Alpro Almond Barista Milk - 1L,4
2023-09-21,Alpro Almond Barista Milk - 1L,1
2023-09-22,Alpro Almond Barista Milk - 1L,2
2023-09-23,Alpro Almond Barista Milk - 1L,1
2023-09-24,Alpro Almond Barista Milk - 1L,2
2023-09-25,Alpro Almond Barista Milk - 1L,3
2023-09-29,Alpro Almond Barista Milk - 1L,1
2023-09-30,Alpro Almond Barista Milk - 1L,3
2023-10-02,Alpro Almond Barista Milk - 1L,4
2023-10-03,Alpro Almond Barista Milk - 1L,4
2023-10-06,Alpro Almond Barista Milk - 1L,1
2023-10-07,Alpro Almond Barista Milk - 1L,1
2023-10-09,Alpro Almond Barista Milk - 1L,3
2023-10-10,Alpro Almond Barista Milk - 1L,3
2023-10-11,Alpro Almond Barista Milk - 1L,4
2023-10-12,Alpro Almond Barista Milk - 1L,3
2023-10-13,Alpro Almond Barista Milk - 1L,1
2023-10-15,Alpro Almond Barista Milk - 1L,3
2023-10-16,Alpro Almond Barista Milk - 1L,2
2023-10-18,Alpro Almond Barista Milk - 1L,1
2023-10-19,Alpro Almond Barista Milk - 1L,1
2023-10-22,Alpro Almond Barista Milk - 1L,1
2023-10-23,Alpro Almond Barista Milk - 1L,2
2023-10-25,Alpro Almond Barista Milk - 1L,1
2023-10-30,Alpro Almond Barista Milk - 1L,2
2023-10-31,Alpro Almond Barista Milk - 1L,6
2023-11-01,Alpro Almond Barista Milk - 1L,7
2023-11-04,Alpro Almond Barista Milk - 1L,1
2023-11-05,Alpro Almond Barista Milk - 1L,5
2023-11-06,Alpro Almond Barista Milk - 1L,3
2023-11-07,Alpro Almond Barista Milk - 1L,6
2023-11-15,Alpro Almond Barista Milk - 1L,1
2023-11-17,Alpro Almond Barista Milk - 1L,4
2023-11-18,Alpro Almond Barista Milk - 1L,1
2023-11-19,Alpro Almond Barista Milk - 1L,1
2023-11-20,Alpro Almond Barista Milk - 1L,6
2023-11-22,Alpro Almond Barista Milk - 1L,1
2023-11-23,Alpro Almond Barista Milk - 1L,2
2023-11-24,Alpro Almond Barista Milk - 1L,1
2023-11-25,Alpro Almond Barista Milk - 1L,4
2023-11-26,Alpro Almond Barista Milk - 1L,1
2023-11-27,Alpro Almond Barista Milk - 1L,5
2023-11-28,Alpro Almond Barista Milk - 1L,5
2023-12-01,Alpro Almond Barista Milk - 1L,1
2023-12-02,Alpro Almond Barista Milk - 1L,4
2023-12-03,Alpro Almond Barista Milk - 1L,4
2023-12-04,Alpro Almond Barista Milk - 1L,3
2023-12-05,Alpro Almond Barista Milk - 1L,1
2023-12-06,Alpro Almond Barista Milk - 1L,4
2023-12-07,Alpro Almond Barista Milk - 1L,4
2023-12-11,Alpro Almond Barista Milk - 1L,1
2023-12-13,Alpro Almond Barista Milk - 1L,2
2023-12-14,Alpro Almond Barista Milk - 1L,5
2023-12-15,Alpro Almond Barista Milk - 1L,1
2023-12-16,Alpro Almond Barista Milk - 1L,5
2023-12-20,Alpro Almond Barista Milk - 1L,1
2023-12-21,Alpro Almond Barista Milk - 1L,2
2023-12-22,Alpro Almond Barista Milk - 1L,1
2023-12-24,Alpro Almond Barista Milk - 1L,1
2023-12-26,Alpro Almond Barista Milk - 1L,2
2023-12-28,Alpro Almond Barista Milk - 1L,3
2023-12-29,Alpro Almond Barista Milk - 1L,2
2023-12-31,Alpro Almond Barista Milk - 1L,1
2024-01-01,Alpro Almond Barista Milk - 1L,1
2024-01-02,Alpro Almond Barista Milk - 1L,2
2024-01-03,Alpro Almond Barista Milk - 1L,7
