Date,Product Name,Quantity
2022-10-27,Morning Harvest Corn Flakes - 500g Box,1
2022-11-02,Morning Harvest Corn Flakes - 500g Box,1
2022-11-06,Morning Harvest Corn Flakes - 500g Box,1
2022-11-07,Morning Harvest Corn Flakes - 500g Box,2
2022-11-08,Morning Harvest Corn Flakes - 500g Box,2
2022-11-21,Morning Harvest Corn Flakes - 500g Box,2
2022-11-24,Morning Harvest Corn Flakes - 500g Box,1
2022-12-05,Morning Harvest Corn Flakes - 500g Box,1
2022-12-06,Morning Harvest Corn Flakes - 500g Box,1
2022-12-07,Morning Harvest Corn Flakes - 500g Box,1
2022-12-16,Morning Harvest Corn Flakes - 500g Box,1
2022-12-17,Morning Harvest Corn Flakes - 500g Box,1
2022-12-22,Morning Harvest Corn Flakes - 500g Box,1
2022-12-23,Morning Harvest Corn Flakes - 500g Box,2
2022-12-29,Morning Harvest Corn Flakes - 500g Box,1
2022-12-30,Morning Harvest Corn Flakes - 500g Box,2
2023-01-02,Morning Harvest Corn Flakes - 500g Box,1
2023-01-04,Morning Harvest Corn Flakes - 500g Box,2
2023-01-07,Morning Harvest Corn Flakes - 500g Box,1
2023-01-10,Morning Harvest Corn Flakes - 500g Box,2
2023-01-12,Morning Harvest Corn Flakes - 500g Box,1
2023-01-17,Morning Harvest Corn Flakes - 500g Box,2
2023-01-20,Morning Harvest Corn Flakes - 500g Box,2
2023-01-22,Morning Harvest Corn Flakes - 500g Box,2
2023-01-23,Morning Harvest Corn Flakes - 500g Box,1
2023-01-31,Morning Harvest Corn Flakes - 500g Box,2
2023-02-01,Morning Harvest Corn Flakes - 500g Box,3
2023-02-03,Morning Harvest Corn Flakes - 500g Box,1
2023-02-07,Morning Harvest Corn Flakes - 500g Box,1
2023-03-29,Morning Harvest Corn Flakes - 500g Box,1
2023-03-30,Morning Harvest Corn Flakes - 500g Box,3
2023-04-02,Morning Harvest Corn Flakes - 500g Box,1
2023-04-03,Morning Harvest Corn Flakes - 500g Box,1
2023-04-04,Morning Harvest Corn Flakes - 500g Box,1
2023-04-09,Morning Harvest Corn Flakes - 500g Box,2
2023-04-17,Morning Harvest Corn Flakes - 500g Box,3
2023-04-20,Morning Harvest Corn Flakes - 500g Box,1
2023-04-22,Morning Harvest Corn Flakes - 500g Box,1
2023-04-23,Morning Harvest Corn Flakes - 500g Box,1
2023-04-25,Morning Harvest Corn Flakes - 500g Box,1
2023-04-26,Morning Harvest Corn Flakes - 500g Box,2
2023-04-28,Morning Harvest Corn Flakes - 500g Box,2
2023-05-01,Morning Harvest Corn Flakes - 500g Box,2
2023-05-02,Morning Harvest Corn Flakes - 500g Box,1
2023-05-03,Morning Harvest Corn Flakes - 500g Box,2
2023-05-07,Morning Harvest Corn Flakes - 500g Box,1
2023-05-08,Morning Harvest Corn Flakes - 500g Box,1
2023-05-09,Morning Harvest Corn Flakes - 500g Box,2
2023-05-10,Morning Harvest Corn Flakes - 500g Box,1
2023-05-14,Morning Harvest Corn Flakes - 500g Box,1
2023-05-15,Morning Harvest Corn Flakes - 500g Box,1
2023-05-18,Morning Harvest Corn Flakes - 500g Box,1
2023-05-23,Morning Harvest Corn Flakes - 500g Box,1
2023-05-24,Morning Harvest Corn Flakes - 500g Box,1
2023-05-25,Morning Harvest Corn Flakes - 500g Box,3
2023-05-27,Morning Harvest Corn Flakes - 500g Box,2
2023-05-28,Morning Harvest Corn Flakes - 500g Box,3
2023-05-31,Morning Harvest Corn Flakes - 500g Box,1
2023-06-03,Morning Harvest Corn Flakes - 500g Box,1
2023-06-04,Morning Harvest Corn Flakes - 500g Box,1
2023-06-07,Morning Harvest Corn Flakes - 500g Box,1
2023-06-10,Morning Harvest Corn Flakes - 500g Box,1
2023-06-12,Morning Harvest Corn Flakes - 500g Box,2
2023-06-14,Morning Harvest Corn Flakes - 500g Box,1
2023-06-16,Morning Harvest Corn Flakes - 500g Box,2
2023-06-21,Morning Harvest Corn Flakes - 500g Box,2
2023-06-29,Morning Harvest Corn Flakes - 500g Box,1
2023-07-02,Morning Harvest Corn Flakes - 500g Box,1
2023-07-03,Morning Harvest Corn Flakes - 500g Box,2
2023-07-04,Morning Harvest Corn Flakes - 500g Box,1
2023-07-10,Morning Harvest Corn Flakes - 500g Box,1
2023-07-13,Morning Harvest Corn Flakes - 500g Box,1
2023-07-14,Morning Harvest Corn Flakes - 500g Box,1
2023-07-16,Morning Harvest Corn Flakes - 500g Box,1
2023-07-19,Morning Harvest Corn Flakes - 500g Box,1
2023-07-22,Morning Harvest Corn Flakes - 500g Box,1
2023-07-28,Morning Harvest Corn Flakes - 500g Box,3
2023-07-30,Morning Harvest Corn Flakes - 500g Box,1
2023-07-31,Morning Harvest Corn Flakes - 500g Box,1
2023-08-01,Morning Harvest Corn Flakes - 500g Box,1
2023-08-04,Morning Harvest Corn Flakes - 500g Box,1
2023-08-10,Morning Harvest Corn Flakes - 500g Box,4
2023-08-16,Morning Harvest Corn Flakes - 500g Box,1
2023-08-17,Morning Harvest Corn Flakes - 500g Box,1
2023-08-25,Morning Harvest Corn Flakes - 500g Box,1
2023-08-26,Morning Harvest Corn Flakes - 500g Box,1
2023-08-27,Morning Harvest Corn Flakes - 500g Box,2
2023-08-28,Morning Harvest Corn Flakes - 500g Box,1
2023-09-01,Morning Harvest Corn Flakes - 500g Box,1
2023-09-04,Morning Harvest Corn Flakes - 500g Box,1
2023-09-06,Morning Harvest Corn Flakes - 500g Box,2
2023-09-08,Morning Harvest Corn Flakes - 500g Box,1
2023-09-09,Morning Harvest Corn Flakes - 500g Box,1
2023-09-11,Morning Harvest Corn Flakes - 500g Box,2
2023-09-13,Morning Harvest Corn Flakes - 500g Box,1
2023-09-14,Morning Harvest Corn Flakes - 500g Box,2
2023-09-17,Morning Harvest Corn Flakes - 500g Box,1
2023-09-22,Morning Harvest Corn Flakes - 500g Box,2
2023-09-25,Morning Harvest Corn Flakes - 500g Box,1
2023-09-26,Morning Harvest Corn Flakes - 500g Box,1
2023-10-02,Morning Harvest Corn Flakes - 500g Box,2
2023-10-04,Morning Harvest Corn Flakes - 500g Box,2
2023-10-05,Morning Harvest Corn Flakes - 500g Box,1
2023-10-08,Morning Harvest Corn Flakes - 500g Box,1
2023-10-10,Morning Harvest Corn Flakes - 500g Box,1
2023-10-12,Morning Harvest Corn Flakes - 500g Box,1
2023-10-13,Morning Harvest Corn Flakes - 500g Box,1
2023-10-15,Morning Harvest Corn Flakes - 500g Box,1
2023-10-16,Morning Harvest Corn Flakes - 500g Box,1
2023-10-18,Morning Harvest Corn Flakes - 500g Box,1
2023-10-23,Morning Harvest Corn Flakes - 500g Box,3
2023-10-24,Morning Harvest Corn Flakes - 500g Box,2
2023-10-26,Morning Harvest Corn Flakes - 500g Box,3
2023-10-27,Morning Harvest Corn Flakes - 500g Box,1
2023-11-15,Morning Harvest Corn Flakes - 500g Box,1
2023-11-16,Morning Harvest Corn Flakes - 500g Box,2
2023-11-20,Morning Harvest Corn Flakes - 500g Box,1
2023-11-26,Morning Harvest Corn Flakes - 500g Box,1
2023-11-29,Morning Harvest Corn Flakes - 500g Box,1
2023-11-30,Morning Harvest Corn Flakes - 500g Box,4
2023-12-02,Morning Harvest Corn Flakes - 500g Box,1
2023-12-06,Morning Harvest Corn Flakes - 500g Box,1
2023-12-07,Morning Harvest Corn Flakes - 500g Box,2
2023-12-08,Morning Harvest Corn Flakes - 500g Box,1
2023-12-20,Morning Harvest Corn Flakes - 500g Box,1
2023-12-21,Morning Harvest Corn Flakes - 500g Box,1
2023-12-28,Morning Harvest Corn Flakes - 500g Box,1
2024-01-03,Morning Harvest Corn Flakes - 500g Box,1
2024-01-05,Morning Harvest Corn Flakes - 500g Box,2
2024-01-08,Morning Harvest Corn Flakes - 500g Box,3
2024-01-10,Morning Harvest Corn Flakes - 500g Box,1
2024-01-15,Morning Harvest Corn Flakes - 500g Box,1
2024-01-16,Morning Harvest Corn Flakes - 500g Box,3
2024-01-19,Morning Harvest Corn Flakes - 500g Box,1
2024-01-22,Morning Harvest Corn Flakes - 500g Box,2
2024-01-24,Morning Harvest Corn Flakes - 500g Box,2
2024-01-25,Morning Harvest Corn Flakes - 500g Box,1
2024-01-26,Morning Harvest Corn Flakes - 500g Box,1
2024-01-29,Morning Harvest Corn Flakes - 500g Box,1
2024-01-30,Morning Harvest Corn Flakes - 500g Box,2
2024-01-31,Morning Harvest Corn Flakes - 500g Box,1
2024-02-02,Morning Harvest Corn Flakes - 500g Box,1
2024-02-05,Morning Harvest Corn Flakes - 500g Box,2
2024-02-06,Morning Harvest Corn Flakes - 500g Box,1
2024-02-07,Morning Harvest Corn Flakes - 500g Box,1
2024-02-18,Morning Harvest Corn Flakes - 500g Box,1
2024-02-19,Morning Harvest Corn Flakes - 500g Box,1
2024-02-20,Morning Harvest Corn Flakes - 500g Box,2
2024-02-21,Morning Harvest Corn Flakes - 500g Box,1
2024-02-23,Morning Harvest Corn Flakes - 500g Box,1
2024-02-26,Morning Harvest Corn Flakes - 500g Box,2
2024-02-27,Morning Harvest Corn Flakes - 500g Box,1
2024-02-28,Morning Harvest Corn Flakes - 500g Box,1
2024-02-29,Morning Harvest Corn Flakes - 500g Box,1
2024-03-04,Morning Harvest Corn Flakes - 500g Box,2
2024-03-10,Morning Harvest Corn Flakes - 500g Box,1
2024-03-11,Morning Harvest Corn Flakes - 500g Box,1
2024-03-12,Morning Harvest Corn Flakes - 500g Box,1
2024-03-13,Morning Harvest Corn Flakes - 500g Box,1
2024-03-15,Morning Harvest Corn Flakes - 500g Box,2
2024-03-17,Morning Harvest Corn Flakes - 500g Box,1
2024-03-18,Morning Harvest Corn Flakes - 500g Box,1
2024-03-20,Morning Harvest Corn Flakes - 500g Box,1
2024-03-22,Morning Harvest Corn Flakes - 500g Box,3
2024-03-23,Morning Harvest Corn Flakes - 500g Box,1
2024-03-25,Morning Harvest Corn Flakes - 500g Box,2
2024-03-27,Morning Harvest Corn Flakes - 500g Box,1
2024-03-28,Morning Harvest Corn Flakes - 500g Box,1
2024-04-01,Morning Harvest Corn Flakes - 500g Box,1
2024-04-02,Morning Harvest Corn Flakes - 500g Box,1
2024-04-04,Morning Harvest Corn Flakes - 500g Box,1
2024-04-07,Morning Harvest Corn Flakes - 500g Box,1
2024-04-08,Morning Harvest Corn Flakes - 500g Box,3
2024-04-10,Morning Harvest Corn Flakes - 500g Box,1
2024-04-11,Morning Harvest Corn Flakes - 500g Box,1
2024-04-12,Morning Harvest Corn Flakes - 500g Box,1
2024-04-13,Morning Harvest Corn Flakes - 500g Box,1
2024-04-15,Morning Harvest Corn Flakes - 500g Box,1
2024-04-17,Morning Harvest Corn Flakes - 500g Box,2
2024-04-20,Morning Harvest Corn Flakes - 500g Box,1
2024-04-25,Morning Harvest Corn Flakes - 500g Box,1
2024-04-29,Morning Harvest Corn Flakes - 500g Box,1
2024-04-30,Morning Harvest Corn Flakes - 500g Box,2
2024-05-01,Morning Harvest Corn Flakes - 500g Box,1
2024-05-03,Morning Harvest Corn Flakes - 500g Box,1
2024-05-04,Morning Harvest Corn Flakes - 500g Box,1
2024-05-06,Morning Harvest Corn Flakes - 500g Box,2
2024-05-08,Morning Harvest Corn Flakes - 500g Box,1
2024-05-09,Morning Harvest Corn Flakes - 500g Box,1
2024-05-10,Morning Harvest Corn Flakes - 500g Box,2
2024-05-12,Morning Harvest Corn Flakes - 500g Box,1
2024-05-13,Morning Harvest Corn Flakes - 500g Box,1
2024-05-14,Morning Harvest Corn Flakes - 500g Box,2
2024-05-18,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-19,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-20,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-21,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-22,Morning Harvest Corn Flakes - 500g (Box),2
2024-05-24,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-26,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-27,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-28,Morning Harvest Corn Flakes - 500g (Box),1
2024-05-29,Morning Harvest Corn Flakes - 500g (Box),2
2024-05-30,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-03,Morning Harvest Corn Flakes - 500g (Box),2
2024-06-05,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-08,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-09,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-10,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-14,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-15,Morning Harvest Corn Flakes - 500g (Box),2
2024-06-17,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-20,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-21,Morning Harvest Corn Flakes - 500g (Box),2
2024-06-23,Morning Harvest Corn Flakes - 500g (Box),1
2024-06-24,Morning Harvest Corn Flakes - 500g (Box),2
2024-06-26,Morning Harvest Corn Flakes - 500g (Box),3
2024-06-29,Morning Harvest Corn Flakes - 500g (Box),1
2024-07-01,Morning Harvest Corn Flakes - 500g (Box),1
2024-07-02,Morning Harvest Corn Flakes - 500g (Box),2
2024-07-04,Morning Harvest Corn Flakes - 500g (Box),1
2024-07-09,Morning Harvest Corn Flakes - 500g (Box),1
2024-07-11,Morning Harvest Corn Flakes - 500g (Box),1
2024-07-13,Morning Harvest Corn Flakes - 500g (Box),2
