Date,Product Name,Quantity
2018-12-04,Ithanji Chicken Thighs,1
2019-01-09,Ithanji Chicken Thighs,1
2019-01-10,Ithanji Chicken Thighs,2
2019-01-12,Ithanji Chicken Thighs,1
2019-01-13,Ithanji Chicken Thighs,2
2019-01-21,Ithanji Chicken Thighs,1
2019-01-23,Ithanji Chicken Thighs,2
2019-01-31,Ithanji Chicken Thighs,1
2019-02-05,Ithanji Chicken Thighs,4
2019-02-23,Ithanji Chicken Thighs,2
2019-03-15,Ithanji Chicken Thighs,1
2019-03-16,Ithanji Chicken Thighs,1
2019-04-10,Ithanji Chicken Thighs,5
2019-04-23,Ithanji Chicken Thighs,1
2019-04-24,Ithanji Chicken Thighs,2
2019-05-01,Ithanji Chicken Thighs,4
2019-05-07,Ithanji Chicken Thighs,1
2019-05-08,Ithanji Chicken Thighs,1
2019-05-09,Ithanji Chicken Thighs,1
2019-05-21,Ithanji Chicken Thighs,2
2019-05-22,Ithanji Chicken Thighs,5
2019-05-26,Ithanji Chicken Thighs,3
2019-05-28,Ithanji Chicken Thighs,2
2019-06-08,Ithanji Chicken Thighs,1
2019-06-09,Ithanji Chicken Thighs,1
2019-06-28,Ithanji Chicken Thighs,1
2019-06-30,Ithanji Chicken Thighs,2
2019-07-06,Ithanji Chicken Thighs,1
2019-07-07,Ithanji Chicken Thighs,1
2019-07-08,Ithanji Chicken Thighs,2
2019-07-15,Ithanji Chicken Thighs,1
2019-07-17,Ithanji Chicken Thighs,1
2019-07-18,Ithanji Chicken Thighs,3
2019-07-22,Ithanji Chicken Thighs,1
2019-07-25,Ithanji Chicken Thighs,2
2019-07-27,Ithanji Chicken Thighs,3
2019-07-28,Ithanji Chicken Thighs,1
2019-08-05,Ithanji Chicken Thighs,1
2019-08-06,Ithanji Chicken Thighs,1
2019-08-11,Ithanji Chicken Thighs,1
2019-08-15,Ithanji Chicken Thighs,1
2019-08-29,Ithanji Chicken Thighs,3
2019-08-30,Ithanji Chicken Thighs,4
2019-09-02,Ithanji Chicken Thighs,8
2019-09-06,Ithanji Chicken Thighs,2
2019-09-08,Ithanji Chicken Thighs,1
2019-09-11,Ithanji Chicken Thighs,1
2019-09-12,Ithanji Chicken Thighs,3
2019-09-13,Ithanji Chicken Thighs,1
2019-09-15,Ithanji Chicken Thighs,3
2019-09-25,Ithanji Chicken Thighs,8
2019-09-26,Ithanji Chicken Thighs,2
2019-09-28,Ithanji Chicken Thighs,2
2019-09-29,Ithanji Chicken Thighs,2
2019-09-30,Ithanji Chicken Thighs,2
2019-10-15,Ithanji Chicken Thighs,1
2019-10-16,Ithanji Chicken Thighs,1
2019-10-28,Ithanji Chicken Thighs,1
2019-10-29,Ithanji Chicken Thighs,2
2019-10-30,Ithanji Chicken Thighs,6
2019-10-31,Ithanji Chicken Thighs,2
2019-11-04,Ithanji Chicken Thighs,3
2019-11-07,Ithanji Chicken Thighs,1
2019-11-08,Ithanji Chicken Thighs,3
2019-11-26,Ithanji Chicken Thighs,2
2019-11-28,Ithanji Chicken Thighs,4
2019-11-30,Ithanji Chicken Thighs,2
2019-12-01,Ithanji Chicken Thighs,3
2019-12-02,Ithanji Chicken Thighs,3
2019-12-06,Ithanji Chicken Thighs,2
2019-12-09,Ithanji Chicken Thighs,2
2019-12-11,Ithanji Chicken Thighs,3
2019-12-18,Ithanji Chicken Thighs,2
2019-12-20,Ithanji Chicken Thighs,3
2019-12-27,Ithanji Chicken Thighs,1
2020-01-06,Ithanji Chicken Thighs - 850g,2
2020-01-07,Ithanji Chicken Thighs - 850g,3
2020-01-13,Ithanji Chicken Thighs - 850g,2
2020-01-14,Ithanji Chicken Thighs - 850g,1
2020-01-17,Ithanji Chicken Thighs - 850g,1
2020-01-22,Ithanji Chicken Thighs - 850g,2
2020-01-30,Ithanji Chicken Thighs - 850g,1
2020-02-03,Ithanji Chicken Thighs - 850g,4
2020-02-04,Ithanji Chicken Thighs - 850g,1
2020-02-06,Ithanji Chicken Thighs - 850g,1
2020-02-07,Ithanji Chicken Thighs - 850g,1
2020-02-08,Ithanji Chicken Thighs - 850g,1
2020-02-10,Ithanji Chicken Thighs - 850g,6
2020-02-14,Ithanji Chicken Thighs - 850g,2
2020-02-20,Ithanji Chicken Thighs - 850g,2
2020-02-24,Ithanji Chicken Thighs - 850g,1
2020-02-27,Ithanji Chicken Thighs - 850g,3
2020-02-28,Ithanji Chicken Thighs - 850g,2
2020-03-02,Ithanji Chicken Thighs - 850g,1
2020-03-04,Ithanji Chicken Thighs - 850g,3
2020-03-05,Ithanji Chicken Thighs - 850g,2
2020-03-06,Ithanji Chicken Thighs - 850g,3
2020-03-16,Ithanji Chicken Thighs - 850g,1
2020-03-19,Ithanji Chicken Thighs - 850g,2
2020-03-23,Ithanji Chicken Thighs - 850g,3
2020-03-30,Ithanji Chicken Thighs - 850g,2
2020-03-31,Ithanji Chicken Thighs - 850g,1
2020-04-01,Ithanji Chicken Thighs - 850g,2
2020-04-04,Ithanji Chicken Thighs - 850g,1
2020-04-09,Ithanji Chicken Thighs - 850g,9
2020-04-13,Ithanji Chicken Thighs - 850g,1
2020-04-15,Ithanji Chicken Thighs - 850g,1
2020-04-20,Ithanji Chicken Thighs - 850g,4
2020-04-21,Ithanji Chicken Thighs - 850g,3
