Date,Product Name,Quantity
2023-09-10,Kentaste Coconut Milk - 400ml,1
2023-09-11,Kentaste Coconut Milk - 400ml,32
2023-09-12,Kentaste Coconut Milk - 400ml,11
2023-09-13,Kentaste Coconut Milk - 400ml,5
2023-09-14,Kentaste Coconut Milk - 400ml,6
2023-09-15,Kentaste Coconut Milk - 400ml,8
2023-09-16,Kentaste Coconut Milk - 400ml,8
2023-09-17,Kentaste Coconut Milk - 400ml,5
2023-09-18,Kentaste Coconut Milk - 400ml,8
2023-09-19,Kentaste Coconut Milk - 400ml,6
2023-09-20,Kentaste Coconut Milk - 400ml,3
2023-09-21,Kentaste Coconut Milk - 400ml,8
2023-09-23,Kentaste Coconut Milk - 400ml,4
2023-09-24,Kentaste Coconut Milk - 400ml,3
2023-09-25,Kentaste Coconut Milk - 400ml,19
2023-09-26,Kentaste Coconut Milk - 400ml,8
2023-09-27,Kentaste Coconut Milk - 400ml,2
2023-09-28,Kentaste Coconut Milk - 400ml,6
2023-09-29,Kentaste Coconut Milk - 400ml,3
2023-09-30,Kentaste Coconut Milk - 400ml,4
2023-10-01,Kentaste Coconut Milk - 400ml,6
2023-10-02,Kentaste Coconut Milk - 400ml,7
2023-10-03,Kentaste Coconut Milk - 400ml,9
2023-10-04,Kentaste Coconut Milk - 400ml,1
2023-10-05,Kentaste Coconut Milk - 400ml,10
2023-10-07,Kentaste Coconut Milk - 400ml,2
2023-10-08,Kentaste Coconut Milk - 400ml,8
2023-10-09,Kentaste Coconut Milk - 400ml,10
2023-10-10,Kentaste Coconut Milk - 400ml,8
2023-10-11,Kentaste Coconut Milk - 400ml,8
2023-10-12,Kentaste Coconut Milk - 400ml,19
2023-10-13,Kentaste Coconut Milk - 400ml,12
2023-10-14,Kentaste Coconut Milk - 400ml,1
2023-10-16,Kentaste Coconut Milk - 400ml,3
2023-10-17,Kentaste Coconut Milk - 400ml,1
2023-10-18,Kentaste Coconut Milk - 400ml,1
2023-10-20,Kentaste Coconut Milk - 400ml,3
2023-10-22,Kentaste Coconut Milk - 400ml,6
2023-10-23,Kentaste Coconut Milk - 400ml,32
2023-10-24,Kentaste Coconut Milk - 400ml,10
2023-10-25,Kentaste Coconut Milk - 400ml,8
2023-10-26,Kentaste Coconut Milk - 400ml,6
2023-10-27,Kentaste Coconut Milk - 400ml,5
2023-10-28,Kentaste Coconut Milk - 400ml,6
2023-10-29,Kentaste Coconut Milk - 400ml,12
2023-10-30,Kentaste Coconut Milk - 400ml,11
2023-10-31,Kentaste Coconut Milk - 400ml,12
2023-11-01,Kentaste Coconut Milk - 400ml,8
2023-11-02,Kentaste Coconut Milk - 400ml,6
2023-11-03,Kentaste Coconut Milk - 400ml,13
2023-11-04,Kentaste Coconut Milk - 400ml,6
2023-11-05,Kentaste Coconut Milk - 400ml,7
2023-11-06,Kentaste Coconut Milk - 400ml,3
2023-11-07,Kentaste Coconut Milk - 400ml,9
2023-11-08,Kentaste Coconut Milk - 400ml,5
2023-11-09,Kentaste Coconut Milk - 400ml,7
2023-11-10,Kentaste Coconut Milk - 400ml,14
2023-11-11,Kentaste Coconut Milk - 400ml,5
2023-11-12,Kentaste Coconut Milk - 400ml,3
2023-11-13,Kentaste Coconut Milk - 400ml,8
2023-11-14,Kentaste Coconut Milk - 400ml,5
2023-11-15,Kentaste Coconut Milk - 400ml,7
2023-11-16,Kentaste Coconut Milk - 400ml,1
2023-11-17,Kentaste Coconut Milk - 400ml,7
2023-11-18,Kentaste Coconut Milk - 400ml,1
2023-11-19,Kentaste Coconut Milk - 400ml,2
2023-11-20,Kentaste Coconut Milk - 400ml,5
2023-11-21,Kentaste Coconut Milk - 400ml,7
2023-11-22,Kentaste Coconut Milk - 400ml,12
2023-11-23,Kentaste Coconut Milk - 400ml,5
2023-11-24,Kentaste Coconut Milk - 400ml,4
2023-11-25,Kentaste Coconut Milk - 400ml,4
2023-11-26,Kentaste Coconut Milk - 400ml,5
2023-11-27,Kentaste Coconut Milk - 400ml,9
2023-11-28,Kentaste Coconut Milk - 400ml,4
2023-11-29,Kentaste Coconut Milk - 400ml,7
2023-11-30,Kentaste Coconut Milk - 400ml,8
2023-12-01,Kentaste Coconut Milk - 400ml,5
2023-12-02,Kentaste Coconut Milk - 400ml,6
2023-12-03,Kentaste Coconut Milk - 400ml,7
2023-12-04,Kentaste Coconut Milk - 400ml,13
2023-12-05,Kentaste Coconut Milk - 400ml,15
2023-12-06,Kentaste Coconut Milk - 400ml,9
2023-12-07,Kentaste Coconut Milk - 400ml,9
2023-12-09,Kentaste Coconut Milk - 400ml,6
2023-12-10,Kentaste Coconut Milk - 400ml,6
2023-12-11,Kentaste Coconut Milk - 400ml,2
2023-12-12,Kentaste Coconut Milk - 400ml,2
2023-12-13,Kentaste Coconut Milk - 400ml,3
2023-12-15,Kentaste Coconut Milk - 400ml,9
2023-12-16,Kentaste Coconut Milk - 400ml,1
2023-12-18,Kentaste Coconut Milk - 400ml,8
2023-12-19,Kentaste Coconut Milk - 400ml,10
2023-12-20,Kentaste Coconut Milk - 400ml,4
2023-12-21,Kentaste Coconut Milk - 400ml,2
2023-12-22,Kentaste Coconut Milk - 400ml,6
2023-12-23,Kentaste Coconut Milk - 400ml,6
2023-12-27,Kentaste Coconut Milk - 400ml,2
2023-12-28,Kentaste Coconut Milk - 400ml,12
2023-12-30,Kentaste Coconut Milk - 400ml,9
2023-12-31,Kentaste Coconut Milk - 400ml,8
2024-01-01,Kentaste Coconut Milk - 400ml,3
2024-01-02,Kentaste Coconut Milk - 400ml,13
2024-01-03,Kentaste Coconut Milk - 400ml,8
2024-01-04,Kentaste Coconut Milk - 400ml,5
2024-01-05,Kentaste Coconut Milk - 400ml,8
2024-01-06,Kentaste Coconut Milk - 400ml,4
2024-01-07,Kentaste Coconut Milk - 400ml,10
2024-01-08,Kentaste Coconut Milk - 400ml,13
2024-01-09,Kentaste Coconut Milk - 400ml,7
2024-01-10,Kentaste Coconut Milk - 400ml,17
2024-01-11,Kentaste Coconut Milk - 400ml,19
2024-01-12,Kentaste Coconut Milk - 400ml,14
2024-01-13,Kentaste Coconut Milk - 400ml,3
2024-01-14,Kentaste Coconut Milk - 400ml,8
2024-01-15,Kentaste Coconut Milk - 400ml,3
2024-01-16,Kentaste Coconut Milk - 400ml,5
2024-01-20,Kentaste Coconut Milk - 400ml,1
2024-01-21,Kentaste Coconut Milk - 400ml,2
2024-01-22,Kentaste Coconut Milk - 400ml,19
2024-01-23,Kentaste Coconut Milk - 400ml,25
2024-01-24,Kentaste Coconut Milk - 400ml,14
2024-01-25,Kentaste Coconut Milk - 400ml,18
2024-01-26,Kentaste Coconut Milk - 400ml,8
2024-01-27,Kentaste Coconut Milk - 400ml,6
2024-01-28,Kentaste Coconut Milk - 400ml,8
2024-01-29,Kentaste Coconut Milk - 400ml,14
2024-01-30,Kentaste Coconut Milk - 400ml,4
2024-01-31,Kentaste Coconut Milk - 400ml,11
2024-02-01,Kentaste Coconut Milk - 400ml,9
2024-02-02,Kentaste Coconut Milk - 400ml,10
2024-02-03,Kentaste Coconut Milk - 400ml,3
2024-02-04,Kentaste Coconut Milk - 400ml,5
2024-02-05,Kentaste Coconut Milk - 400ml,25
2024-02-06,Kentaste Coconut Milk - 400ml,7
2024-02-07,Kentaste Coconut Milk - 400ml,8
2024-02-08,Kentaste Coconut Milk - 400ml,12
2024-02-09,Kentaste Coconut Milk - 400ml,20
2024-02-10,Kentaste Coconut Milk - 400ml,5
2024-02-11,Kentaste Coconut Milk - 400ml,7
2024-02-12,Kentaste Coconut Milk - 400ml,10
2024-02-13,Kentaste Coconut Milk - 400ml,8
2024-02-14,Kentaste Coconut Milk - 400ml,10
2024-02-15,Kentaste Coconut Milk - 400ml,3
2024-02-16,Kentaste Coconut Milk - 400ml,5
2024-02-17,Kentaste Coconut Milk - 400ml,9
2024-02-18,Kentaste Coconut Milk - 400ml,1
2024-02-19,Kentaste Coconut Milk - 400ml,32
2024-02-20,Kentaste Coconut Milk - 400ml,12
2024-02-21,Kentaste Coconut Milk - 400ml,15
2024-02-22,Kentaste Coconut Milk - 400ml,3
2024-02-23,Kentaste Coconut Milk - 400ml,7
2024-02-24,Kentaste Coconut Milk - 400ml,6
2024-02-26,Kentaste Coconut Milk - 400ml,18
2024-02-27,Kentaste Coconut Milk - 400ml,11
2024-02-28,Kentaste Coconut Milk - 400ml,4
2024-02-29,Kentaste Coconut Milk - 400ml,10
2024-03-01,Kentaste Coconut Milk - 400ml,11
2024-03-02,Kentaste Coconut Milk - 400ml,6
2024-03-03,Kentaste Coconut Milk - 400ml,10
2024-03-04,Kentaste Coconut Milk - 400ml,19
2024-03-05,Kentaste Coconut Milk - 400ml,10
2024-03-06,Kentaste Coconut Milk - 400ml,8
2024-03-07,Kentaste Coconut Milk - 400ml,4
2024-03-08,Kentaste Coconut Milk - 400ml,7
2024-03-09,Kentaste Coconut Milk - 400ml,7
2024-03-10,Kentaste Coconut Milk - 400ml,9
2024-03-11,Kentaste Coconut Milk - 400ml,7
2024-03-12,Kentaste Coconut Milk - 400ml,24
2024-03-13,Kentaste Coconut Milk - 400ml,10
2024-03-14,Kentaste Coconut Milk - 400ml,3
2024-03-15,Kentaste Coconut Milk - 400ml,12
2024-03-16,Kentaste Coconut Milk - 400ml,5
2024-03-17,Kentaste Coconut Milk - 400ml,14
2024-03-18,Kentaste Coconut Milk - 400ml,9
2024-03-19,Kentaste Coconut Milk - 400ml,18
2024-03-20,Kentaste Coconut Milk - 400ml,2
2024-03-21,Kentaste Coconut Milk - 400ml,10
2024-03-22,Kentaste Coconut Milk - 400ml,5
2024-03-26,Kentaste Coconut Milk - 400ml,6
2024-03-27,Kentaste Coconut Milk - 400ml,18
2024-03-29,Kentaste Coconut Milk - 400ml,2
2024-03-30,Kentaste Coconut Milk - 400ml,2
2024-03-31,Kentaste Coconut Milk - 400ml,4
2024-04-01,Kentaste Coconut Milk - 400ml,8
2024-04-02,Kentaste Coconut Milk - 400ml,20
2024-04-03,Kentaste Coconut Milk - 400ml,8
2024-04-04,Kentaste Coconut Milk - 400ml,5
2024-04-05,Kentaste Coconut Milk - 400ml,15
2024-04-06,Kentaste Coconut Milk - 400ml,5
2024-04-07,Kentaste Coconut Milk - 400ml,7
2024-04-08,Kentaste Coconut Milk - 400ml,14
2024-04-09,Kentaste Coconut Milk - 400ml,5
2024-04-10,Kentaste Coconut Milk - 400ml,9
2024-04-11,Kentaste Coconut Milk - 400ml,4
2024-04-12,Kentaste Coconut Milk - 400ml,13
2024-04-13,Kentaste Coconut Milk - 400ml,3
2024-04-14,Kentaste Coconut Milk - 400ml,2
2024-04-15,Kentaste Coconut Milk - 400ml,19
2024-04-16,Kentaste Coconut Milk - 400ml,2
2024-04-17,Kentaste Coconut Milk - 400ml,14
2024-04-18,Kentaste Coconut Milk - 400ml,3
2024-04-19,Kentaste Coconut Milk - 400ml,8
2024-04-20,Kentaste Coconut Milk - 400ml,4
2024-04-21,Kentaste Coconut Milk - 400ml,14
2024-04-22,Kentaste Coconut Milk - 400ml,22
2024-04-23,Kentaste Coconut Milk - 400ml,24
2024-04-24,Kentaste Coconut Milk - 400ml,28
2024-04-25,Kentaste Coconut Milk - 400ml,2
2024-04-26,Kentaste Coconut Milk - 400ml,12
2024-04-27,Kentaste Coconut Milk - 400ml,8
2024-04-28,Kentaste Coconut Milk - 400ml,9
2024-04-29,Kentaste Coconut Milk - 400ml,24
2024-04-30,Kentaste Coconut Milk - 400ml,19
2024-05-01,Kentaste Coconut Milk - 400ml,5
2024-05-02,Kentaste Coconut Milk - 400ml,17
2024-05-03,Kentaste Coconut Milk - 400ml,13
2024-05-04,Kentaste Coconut Milk - 400ml,16
2024-05-05,Kentaste Coconut Milk - 400ml,5
2024-05-06,Kentaste Coconut Milk - 400ml,14
2024-05-07,Kentaste Coconut Milk - 400ml,7
2024-05-08,Kentaste Coconut Milk - 400ml,17
2024-05-09,Kentaste Coconut Milk - 400ml,18
2024-05-10,Kentaste Coconut Milk - 400ml,16
2024-05-11,Kentaste Coconut Milk - 400ml,6
2024-05-12,Kentaste Coconut Milk - 400ml,7
2024-05-13,Kentaste Coconut Milk - 400ml,25
2024-05-14,Kentaste Coconut Milk - 400ml,8
2024-05-15,Kentaste Coconut Milk - 400ml,8
2024-05-16,Kentaste Coconut Milk - 400ml,8
2024-05-17,Kentaste Coconut Milk - 400ml,11
2024-05-18,Kentaste Coconut Milk - 400ml,10
2024-05-19,Kentaste Coconut Milk - 400ml,3
2024-05-20,Kentaste Coconut Milk - 400ml,13
2024-05-21,Kentaste Coconut Milk - 400ml,5
2024-05-22,Kentaste Coconut Milk - 400ml,8
2024-05-23,Kentaste Coconut Milk - 400ml,12
2024-05-24,Kentaste Coconut Milk - 400ml,8
2024-05-25,Kentaste Coconut Milk - 400ml,4
2024-05-27,Kentaste Coconut Milk - 400ml,21
2024-05-28,Kentaste Coconut Milk - 400ml,1
2024-05-29,Kentaste Coconut Milk - 400ml,6
2024-05-30,Kentaste Coconut Milk - 400ml,6
2024-05-31,Kentaste Coconut Milk - 400ml,2
2024-06-01,Kentaste Coconut Milk - 400ml,10
2024-06-02,Kentaste Coconut Milk - 400ml,3
2024-06-03,Kentaste Coconut Milk - 400ml,13
2024-06-04,Kentaste Coconut Milk - 400ml,7
2024-06-05,Kentaste Coconut Milk - 400ml,6
2024-06-06,Kentaste Coconut Milk - 400ml,8
2024-06-07,Kentaste Coconut Milk - 400ml,8
2024-06-08,Kentaste Coconut Milk - 400ml,11
2024-06-09,Kentaste Coconut Milk - 400ml,13
2024-06-10,Kentaste Coconut Milk - 400ml,11
2024-06-11,Kentaste Coconut Milk - 400ml,13
2024-06-12,Kentaste Coconut Milk - 400ml,16
2024-06-13,Kentaste Coconut Milk - 400ml,13
2024-06-14,Kentaste Coconut Milk - 400ml,9
2024-06-15,Kentaste Coconut Milk - 400ml,3
2024-06-16,Kentaste Coconut Milk - 400ml,6
2024-06-17,Kentaste Coconut Milk - 400ml,19
2024-06-18,Kentaste Coconut Milk - 400ml,9
2024-06-19,Kentaste Coconut Milk - 400ml,6
2024-06-20,Kentaste Coconut Milk - 400ml,3
2024-06-21,Kentaste Coconut Milk - 400ml,5
2024-06-22,Kentaste Coconut Milk - 400ml,6
2024-06-23,Kentaste Coconut Milk - 400ml,2
2024-06-24,Kentaste Coconut Milk - 400ml,16
2024-06-25,Kentaste Coconut Milk - 400ml,6
2024-06-26,Kentaste Coconut Milk - 400ml,15
2024-06-28,Kentaste Coconut Milk - 400ml,8
2024-06-29,Kentaste Coconut Milk - 400ml,1
2024-06-30,Kentaste Coconut Milk - 400ml,2
2024-07-01,Kentaste Coconut Milk - 400ml,8
2024-07-02,Kentaste Coconut Milk - 400ml,8
2024-07-03,Kentaste Coconut Milk - 400ml,3
2024-07-04,Kentaste Coconut Milk - 400ml,8
2024-07-05,Kentaste Coconut Milk - 400ml,2
2024-07-06,Kentaste Coconut Milk - 400ml,7
2024-07-07,Kentaste Coconut Milk - 400ml,7
2024-07-08,Kentaste Coconut Milk - 400ml,8
