Date,Product Name,Quantity
2020-04-23,Kentuna Dorado Fillet - 500g,3
2020-04-24,Kentuna Dorado Fillet - 500g,1
2020-04-25,Kentuna Dorado Fillet - 500g,2
2020-04-26,Kentuna Dorado Fillet - 500g,1
2020-04-27,Kentuna Dorado Fillet - 500g,2
2020-05-11,Kentuna Dorado Fillet - 500g,6
2020-05-14,Kentuna Dorado Fillet - 500g,1
2020-05-18,Kentuna Dorado Fillet - 500g,1
2020-05-19,Kentuna Dorado Fillet - 500g,1
2020-05-23,Kentuna Dorado Fillet - 500g,7
2020-05-25,Kentuna Dorado Fillet - 500g,2
2020-05-26,Kentuna Dorado Fillet - 500g,7
2020-05-29,Kentuna Dorado Fillet - 500g,1
2020-05-30,Kentuna Dorado Fillet - 500g,1
2020-06-02,Kentuna Dorado Fillet - 500g,4
2020-06-03,Kentuna Dorado Fillet - 500g,1
2020-06-04,Kentuna Dorado Fillet - 500g,2
2020-06-11,Kentuna Dorado Fillet - 500g,2
2020-06-26,Kentuna Dorado Fillet - 500g,2
2021-02-04,Kentuna Dorado Fillet - 500g,2
2021-02-05,Kentuna Dorado Fillet - 500g,4
2021-02-08,Kentuna Dorado Fillet - 500g,2
2021-02-12,Kentuna Dorado Fillet - 500g,2
2021-02-15,Kentuna Dorado Fillet - 500g,3
2021-02-22,Kentuna Dorado Fillet - 500g,2
2021-02-26,Kentuna Dorado Fillet - 500g,3
2021-02-28,Kentuna Dorado Fillet - 500g,2
2021-03-12,Kentuna Dorado Fillet - 500g,3
2021-03-16,Kentuna Dorado Fillet - 500g,1
2021-03-17,Kentuna Dorado Fillet - 500g,1
2021-03-19,Kentuna Dorado Fillet - 500g,3
2021-03-20,Kentuna Dorado Fillet - 500g,5
2021-03-22,Kentuna Dorado Fillet - 500g,1
2021-03-23,Kentuna Dorado Fillet - 500g,2
2021-03-24,Kentuna Dorado Fillet - 500g,1
2021-03-26,Kentuna Dorado Fillet - 500g,2
2021-03-29,Kentuna Dorado Fillet - 500g,1
2021-03-31,Kentuna Dorado Fillet - 500g,1
2021-04-09,Kentuna Dorado Fillet - 500g,1
