Date,Product Name,Quantity
2022-02-21,Freshly Cherry Tomatoes - 250g,24
2022-02-22,Freshly Cherry Tomatoes - 250g,2
2022-03-03,Freshly Cherry Tomatoes - 250g,9
2022-03-04,Freshly Cherry Tomatoes - 250g,1
2022-03-05,Freshly Cherry Tomatoes - 250g,14
2022-03-06,Freshly Cherry Tomatoes - 250g,6
2022-03-07,Freshly Cherry Tomatoes - 250g,15
2022-03-11,Freshly Cherry Tomatoes - 250g,1
2022-03-16,Freshly Cherry Tomatoes - 250g,1
2022-03-16,KHE Freshly Cherry Tomatoes - 250g,4
2022-03-17,Freshly Cherry Tomatoes - 250g,7
2022-03-17,KHE Freshly Cherry Tomatoes - 250g,4
2022-03-18,Freshly Cherry Tomatoes - 250g,7
2022-03-19,Freshly Cherry Tomatoes - 250g,10
2022-03-20,Freshly Cherry Tomatoes - 250g,1
2022-03-23,Freshly Cherry Tomatoes - 250g,2
2022-03-24,Freshly Cherry Tomatoes - 250g,4
2022-03-25,Freshly Cherry Tomatoes - 250g,9
2022-03-26,Freshly Cherry Tomatoes - 250g,6
2022-03-27,Freshly Cherry Tomatoes - 250g,3
2022-03-28,Freshly Cherry Tomatoes - 250g,4
2022-03-30,Freshly Cherry Tomatoes - 250g,1
2022-03-31,Freshly Cherry Tomatoes - 250g,4
2022-04-01,Freshly Cherry Tomatoes - 250g,12
2022-04-02,Freshly Cherry Tomatoes - 250g,2
2022-04-03,Freshly Cherry Tomatoes - 250g,5
2022-04-04,Freshly Cherry Tomatoes - 250g,11
2022-04-05,Freshly Cherry Tomatoes - 250g,1
2022-04-07,Freshly Cherry Tomatoes - 250g,11
2022-04-08,Freshly Cherry Tomatoes - 250g,7
2022-04-09,Freshly Cherry Tomatoes - 250g,10
2022-04-10,Freshly Cherry Tomatoes - 250g,2
2022-04-11,Freshly Cherry Tomatoes - 250g,6
2022-04-12,Freshly Cherry Tomatoes - 250g,3
2022-04-13,Freshly Cherry Tomatoes - 250g,1
2022-04-14,Freshly Cherry Tomatoes - 250g,6
2022-04-15,Freshly Cherry Tomatoes - 250g,10
2022-04-16,Freshly Cherry Tomatoes - 250g,9
2022-04-17,Freshly Cherry Tomatoes - 250g,2
2022-04-18,Freshly Cherry Tomatoes - 250g,5
2022-04-19,Freshly Cherry Tomatoes - 250g,12
2022-04-21,Freshly Cherry Tomatoes - 250g,4
2022-04-22,Freshly Cherry Tomatoes - 250g,6
2022-04-25,Freshly Cherry Tomatoes - 250g,5
2022-04-26,Freshly Cherry Tomatoes - 250g,5
2022-04-28,Freshly Cherry Tomatoes - 250g,10
2022-04-29,Freshly Cherry Tomatoes - 250g,11
2022-04-30,Freshly Cherry Tomatoes - 250g,2
2022-05-01,Freshly Cherry Tomatoes - 250g,1
2022-05-02,Freshly Cherry Tomatoes - 250g,3
2022-05-03,Freshly Cherry Tomatoes - 250g,3
2022-05-05,Freshly Cherry Tomatoes - 250g,1
2022-05-06,Freshly Cherry Tomatoes - 250g,5
2022-05-07,Freshly Cherry Tomatoes - 250g,4
2022-05-08,Freshly Cherry Tomatoes - 250g,3
2022-05-09,Freshly Cherry Tomatoes - 250g,7
2022-05-10,Freshly Cherry Tomatoes - 250g,4
2022-05-11,Freshly Cherry Tomatoes - 250g,11
2022-05-12,Freshly Cherry Tomatoes - 250g,5
2022-05-13,Freshly Cherry Tomatoes - 250g,9
2022-05-14,Freshly Cherry Tomatoes - 250g,8
2022-05-15,Freshly Cherry Tomatoes - 250g,1
2022-05-16,Freshly Cherry Tomatoes - 250g,9
2022-05-17,Freshly Cherry Tomatoes - 250g,12
2022-05-18,Freshly Cherry Tomatoes - 250g,1
2022-05-19,Freshly Cherry Tomatoes - 250g,2
2022-05-20,Freshly Cherry Tomatoes - 250g,15
2022-05-21,Freshly Cherry Tomatoes - 250g,4
2022-05-22,Freshly Cherry Tomatoes - 250g,4
2022-05-23,Freshly Cherry Tomatoes - 250g,4
2022-05-24,Freshly Cherry Tomatoes - 250g,1
2022-05-25,Freshly Cherry Tomatoes - 250g,5
2022-05-26,Freshly Cherry Tomatoes - 250g,7
2022-05-27,Freshly Cherry Tomatoes - 250g,7
2022-05-28,Freshly Cherry Tomatoes - 250g,6
2022-05-29,Freshly Cherry Tomatoes - 250g,2
2022-05-30,Freshly Cherry Tomatoes - 250g,3
2022-06-02,Freshly Cherry Tomatoes - 250g,6
2022-06-03,Freshly Cherry Tomatoes - 250g,6
2022-06-04,Freshly Cherry Tomatoes - 250g,6
2022-06-05,Freshly Cherry Tomatoes - 250g,1
2022-06-06,Freshly Cherry Tomatoes - 250g,9
2022-06-07,Freshly Cherry Tomatoes - 250g,2
2022-06-08,Freshly Cherry Tomatoes - 250g,4
2022-06-09,Freshly Cherry Tomatoes - 250g,4
2022-06-10,Freshly Cherry Tomatoes - 250g,7
2022-06-17,Freshly Cherry Tomatoes - 250g,10
2022-06-22,Freshly Cherry Tomatoes - 250g,1
2022-06-23,Freshly Cherry Tomatoes - 250g,4
2022-07-09,Freshly Cherry Tomatoes - 250g,8
2022-07-13,Freshly Cherry Tomatoes - 250g,1
2022-07-14,Freshly Cherry Tomatoes - 250g,3
2022-07-15,Freshly Cherry Tomatoes - 250g,11
2022-07-16,Freshly Cherry Tomatoes - 250g,1
2022-07-17,Freshly Cherry Tomatoes - 250g,5
2022-07-18,Freshly Cherry Tomatoes - 250g,6
2022-07-19,Freshly Cherry Tomatoes - 250g,3
2022-07-21,Freshly Cherry Tomatoes - 250g,5
2022-07-22,Freshly Cherry Tomatoes - 250g,4
2022-07-23,Freshly Cherry Tomatoes - 250g,8
2022-07-24,Freshly Cherry Tomatoes - 250g,6
2022-07-25,Freshly Cherry Tomatoes - 250g,8
2022-07-26,Freshly Cherry Tomatoes - 250g,1
2022-07-27,Freshly Cherry Tomatoes - 250g,5
2022-07-29,Freshly Cherry Tomatoes - 250g,12
2022-07-30,Freshly Cherry Tomatoes - 250g,9
2022-07-31,Freshly Cherry Tomatoes - 250g,8
2022-08-01,Freshly Cherry Tomatoes - 250g,7
2022-08-02,Freshly Cherry Tomatoes - 250g,3
2022-08-03,Freshly Cherry Tomatoes - 250g,5
2022-08-04,Freshly Cherry Tomatoes - 250g,3
2022-08-05,Freshly Cherry Tomatoes - 250g,5
2022-08-06,Freshly Cherry Tomatoes - 250g,6
2022-08-07,Freshly Cherry Tomatoes - 250g,5
2022-08-08,Freshly Cherry Tomatoes - 250g,7
2022-08-10,Freshly Cherry Tomatoes - 250g,1
2022-08-11,Freshly Cherry Tomatoes - 250g,3
2022-08-12,Freshly Cherry Tomatoes - 250g,6
