Date,Product Name,Quantity
2021-11-22,Freshly Box: 4.5 - 5kgs of export quality vegetables!,6
2021-11-29,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2021-12-03,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2021-12-04,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2021-12-06,Freshly Box: 4.5 - 5kgs of export quality vegetables!,4
2021-12-13,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2021-12-16,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2021-12-20,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2021-12-21,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-03,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-03,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-04,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-04,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-06,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-06,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-07,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-07,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-08,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-08,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-09,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-01-09,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2022-01-10,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),4
2022-01-10,Freshly Box: 4.5 - 5kgs of export quality vegetables!,4
2022-01-12,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-12,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-14,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-01-14,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2022-01-15,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),6
2022-01-15,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2022-01-17,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),6
2022-01-17,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2022-01-18,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-01-18,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-19,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-19,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-20,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-20,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-22,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-01-22,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2022-01-23,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-23,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-24,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),6
2022-01-24,Freshly Box: 4.5 - 5kgs of export quality vegetables!,6
2022-01-27,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-01-27,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-01-30,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-01-30,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2022-01-31,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),3
2022-01-31,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2022-02-01,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-02-01,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-02-03,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),3
2022-02-03,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2022-02-07,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),5
2022-02-07,Freshly Box: 4.5 - 5kgs of export quality vegetables!,5
2022-02-10,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-02-10,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-02-14,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),7
2022-02-14,Freshly Box: 4.5 - 5kgs of export quality vegetables!,7
2022-02-15,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-02-15,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-02-21,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),5
2022-02-21,Freshly Box: 4.5 - 5kgs of export quality vegetables!,5
2022-02-28,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),6
2022-02-28,Freshly Box: 4.5 - 5kgs of export quality vegetables!,6
2022-03-03,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-03-03,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2022-03-07,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),3
2022-03-07,Freshly Box: 4.5 - 5kgs of export quality vegetables!,5
2022-03-10,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-03-10,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-03-13,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-03-14,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),5
2022-03-14,Freshly Box: 4.5 - 5kgs of export quality vegetables!,5
2022-03-17,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-03-17,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-03-21,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-03-21,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2022-03-28,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-03-28,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2022-04-02,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-04-02,Freshly Box: 4.5 - 5kgs of export quality vegetables!,2
2022-04-04,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-04-04,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2022-04-07,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-04-07,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-04-11,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),3
2022-04-11,Freshly Box: 4.5 - 5kgs of export quality vegetables!,3
2022-04-18,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-04-21,Freshly Box: 4.5 - 5kgs of export quality vegetables!,1
2022-04-22,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-04-25,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),4
2022-05-02,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),4
2022-05-06,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-05-09,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),4
2022-05-12,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-05-16,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-05-19,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-05-23,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-05-26,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-05-28,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-05-30,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-06-04,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-06-06,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-06-11,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-06-13,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-06-16,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-06-20,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),3
2022-06-27,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-07-11,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),6
2022-07-14,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-07-18,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-07-21,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-07-25,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-07-29,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-08-01,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-08-08,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),3
2022-08-11,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-08-18,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),2
2022-08-19,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),1
2022-08-22,Freshly Box: 4.5 - 5kgs of export quality vegetables! - Monday (order by Saturday 10 am),5
