Date,Product Name,Quantity
2022-05-13,Freshly Fine Beans - 500g,2
2022-05-16,Freshly Fine Beans - 500g,3
2022-05-19,Freshly Fine Beans - 500g,2
2022-05-20,Freshly Fine Beans - 500g,2
2022-05-21,Freshly Fine Beans - 500g,1
2022-05-22,Freshly Fine Beans - 500g,1
2022-05-24,Freshly Fine Beans - 500g,1
2022-05-25,Freshly Fine Beans - 500g,1
2022-05-26,Freshly Fine Beans - 500g,2
2022-05-27,Freshly Fine Beans - 500g,2
2022-05-30,Freshly Fine Beans - 500g,3
2022-06-01,Freshly Fine Beans - 500g,2
2022-06-02,Freshly Fine Beans - 500g,1
2022-06-03,Freshly Fine Beans - 500g,2
2022-06-04,Freshly Fine Beans - 500g,1
2022-06-06,Freshly Fine Beans - 500g,2
2022-06-13,Freshly Fine Beans - 500g,4
2022-06-17,Freshly Fine Beans - 500g,1
2022-06-18,Freshly Fine Beans - 500g,1
2022-06-21,Freshly Fine Beans - 500g,1
2022-06-22,Freshly Fine Beans - 500g,1
2022-06-25,Freshly Fine Beans - 500g,1
2022-06-27,Freshly Fine Beans - 500g,2
2022-07-02,Freshly Fine Beans - 500g,1
2022-07-03,Freshly Fine Beans - 500g,1
2022-07-04,Freshly Fine Beans - 500g,1
2022-07-05,Freshly Fine Beans - 500g,3
2022-07-12,Freshly Fine Beans - 500g,1
2022-07-14,Freshly Fine Beans - 500g,1
2022-07-18,Freshly Fine Beans - 500g,3
2022-07-24,Freshly Fine Beans - 500g,1
2022-07-26,Freshly Fine Beans - 500g,2
2022-07-27,Freshly Fine Beans - 500g,1
2022-07-29,Freshly Fine Beans - 500g,1
2022-08-05,Freshly Fine Beans - 500g,1
2022-08-06,Freshly Fine Beans - 500g,2
2022-08-08,Freshly Fine Beans - 500g,1
2022-08-12,Freshly Fine Beans - 500g,1
2022-08-16,Freshly Fine Beans - 500g,2
2022-08-17,Freshly Fine Beans - 500g,1
2022-09-06,Freshly Fine Beans - 500g,2
2022-09-07,Freshly Fine Beans - 500g,1
2022-09-08,Freshly Fine Beans - 500g,2
2022-09-13,Freshly Fine Beans - 500g,2
2022-09-14,Freshly Fine Beans - 500g,1
2022-09-15,Freshly Fine Beans - 500g,1
2022-09-16,Freshly Fine Beans - 500g,1
2022-09-22,Freshly Fine Beans - 500g,1
2022-09-23,Freshly Fine Beans - 500g,1
2022-09-25,Freshly Fine Beans - 500g,1
2022-09-26,Freshly Fine Beans - 500g,2
2022-09-27,Freshly Fine Beans - 500g,1
2022-09-28,Freshly Fine Beans - 500g,2
2022-09-30,Freshly Fine Beans - 500g,1
2022-10-01,Freshly Fine Beans - 500g,1
2022-10-02,Freshly Fine Beans - 500g,1
2022-10-03,Freshly Fine Beans - 500g,1
2022-10-05,Freshly Fine Beans - 500g,1
2022-10-06,Freshly Fine Beans - 500g,1
2022-10-09,Freshly Fine Beans - 500g,2
2022-10-10,Freshly Fine Beans - 500g,2
2022-10-11,Freshly Fine Beans - 500g,1
2022-10-13,Freshly Fine Beans - 500g,3
2022-10-14,Freshly Fine Beans - 500g,3
2022-10-17,Freshly Fine Beans - 500g,1
2022-10-18,Freshly Fine Beans - 500g,1
2022-10-20,Freshly Fine Beans - 500g,1
2022-10-21,Freshly Fine Beans - 500g,1
2022-10-24,Freshly Fine Beans - 500g,5
2022-10-30,Freshly Fine Beans - 500g,1
2022-10-31,Freshly Fine Beans - 500g,1
2022-11-01,Freshly Fine Beans - 500g,1
2022-11-02,Freshly Fine Beans - 500g,1
2022-11-03,Freshly Fine Beans - 500g,4
2022-11-06,Freshly Fine Beans - 500g,1
2022-11-07,Freshly Fine Beans - 500g,2
2022-11-08,Freshly Fine Beans - 500g,2
2022-11-09,Freshly Fine Beans - 500g,1
2022-11-11,Freshly Fine Beans - 500g,1
2022-11-14,Freshly Fine Beans - 500g,1
2022-11-15,Freshly Fine Beans - 500g,1
2022-11-22,Freshly Fine Beans - 500g,3
2022-11-23,Freshly Fine Beans - 500g,3
2022-11-24,Freshly Fine Beans - 500g,1
2022-11-25,Freshly Fine Beans - 500g,3
2022-11-26,Freshly Fine Beans - 500g,3
2022-11-28,Freshly Fine Beans - 500g,6
2022-11-29,Freshly Fine Beans - 500g,2
2022-11-30,Freshly Fine Beans - 500g,6
2022-12-02,Freshly Fine Beans - 500g,2
2022-12-06,Freshly Fine Beans - 500g,1
2022-12-07,Freshly Fine Beans - 500g,1
2022-12-08,Freshly Fine Beans - 500g,2
2022-12-10,Freshly Fine Beans - 500g,1
2022-12-12,Freshly Fine Beans - 500g,3
2022-12-13,Freshly Fine Beans - 500g,3
2022-12-16,Freshly Fine Beans - 500g,4
2022-12-18,Freshly Fine Beans - 500g,1
2022-12-19,Freshly Fine Beans - 500g,3
2022-12-20,Freshly Fine Beans - 500g,2
2022-12-22,Freshly Fine Beans - 500g,5
2022-12-23,Freshly Fine Beans - 500g,8
2022-12-24,Freshly Fine Beans - 500g,2
2022-12-30,Freshly Fine Beans - 500g,1
2023-01-02,Freshly Fine Beans - 500g,1
2023-01-04,Freshly Fine Beans - 500g,1
2023-01-05,Freshly Fine Beans - 500g,2
2023-01-06,Freshly Fine Beans - 500g,3
2023-01-09,Freshly Fine Beans - 500g,4
2023-01-15,Freshly Fine Beans - 500g,1
2023-01-16,Freshly Fine Beans - 500g,2
2023-01-19,Freshly Fine Beans - 500g,1
2023-01-20,Freshly Fine Beans - 500g,1
2023-01-22,Freshly Fine Beans - 500g,1
2023-01-23,Freshly Fine Beans - 500g,2
2023-01-25,Freshly Fine Beans - 500g,1
2023-01-26,Freshly Fine Beans - 500g,2
2023-01-27,Freshly Fine Beans - 500g,2
2023-01-30,Freshly Fine Beans - 500g,1
2023-01-31,Freshly Fine Beans - 500g,4
2023-02-03,Freshly Fine Beans - 500g,1
2023-02-04,Freshly Fine Beans - 500g,1
2023-02-05,Freshly Fine Beans - 500g,4
2023-02-06,Freshly Fine Beans - 500g,4
2023-02-10,Freshly Fine Beans - 500g,3
2023-02-11,Freshly Fine Beans - 500g,2
2023-02-13,Freshly Fine Beans - 500g,1
2023-02-14,Freshly Fine Beans - 500g,5
2023-02-16,Freshly Fine Beans - 500g,1
2023-02-17,Freshly Fine Beans - 500g,3
2023-02-18,Freshly Fine Beans - 500g,1
2023-02-20,Freshly Fine Beans - 500g,2
2023-02-21,Freshly Fine Beans - 500g,1
2023-02-22,Freshly Fine Beans - 500g,2
2023-02-23,Freshly Fine Beans - 500g,1
2023-02-24,Freshly Fine Beans - 500g,1
2023-05-17,Freshly Fine Beans - 500g,1
2023-05-18,Freshly Fine Beans - 500g,1
2023-05-19,Freshly Fine Beans - 500g,2
2023-05-20,Freshly Fine Beans - 500g,1
2023-05-24,Freshly Fine Beans - 500g,1
2023-05-25,Freshly Fine Beans - 500g,5
2023-05-26,Freshly Fine Beans - 500g,3
2023-05-28,Freshly Fine Beans - 500g,5
2023-05-29,Freshly Fine Beans - 500g,2
2023-05-31,Freshly Fine Beans - 500g,2
2023-06-02,Freshly Fine Beans - 500g,3
2023-06-03,Freshly Fine Beans - 500g,3
2023-06-04,Freshly Fine Beans - 500g,1
2023-06-05,Freshly Fine Beans - 500g,4
2023-06-09,Freshly Fine Beans - 500g,4
2023-06-10,Freshly Fine Beans - 500g,1
2023-06-11,Freshly Fine Beans - 500g,1
2023-06-12,Freshly Fine Beans - 500g,3
2023-06-15,Freshly Fine Beans - 500g,2
2023-06-16,Freshly Fine Beans - 500g,2
2023-06-18,Freshly Fine Beans - 500g,2
2023-06-20,Freshly Fine Beans - 500g,4
2023-06-21,Freshly Fine Beans - 500g,2
2023-06-22,Freshly Fine Beans - 500g,4
2023-06-23,Freshly Fine Beans - 500g,1
2023-06-24,Freshly Fine Beans - 500g,3
2023-06-26,Freshly Fine Beans - 500g,2
2023-06-27,Freshly Fine Beans - 500g,1
2023-06-29,Freshly Fine Beans - 500g,2
2023-07-01,Freshly Fine Beans - 500g,2
2023-07-03,Freshly Fine Beans - 500g,1
2023-07-04,Freshly Fine Beans - 500g,1
2023-07-07,Freshly Fine Beans - 500g,3
2023-07-10,Freshly Fine Beans - 500g,4
2023-07-11,Freshly Fine Beans - 500g,3
2023-07-12,Freshly Fine Beans - 500g,1
2023-07-14,Freshly Fine Beans - 500g,2
2023-07-15,Freshly Fine Beans - 500g,1
2023-07-16,Freshly Fine Beans - 500g,2
2023-07-17,Freshly Fine Beans - 500g,2
2023-07-19,Freshly Fine Beans - 500g,1
2023-07-20,Freshly Fine Beans - 500g,1
2023-07-21,Freshly Fine Beans - 500g,3
2023-07-22,Freshly Fine Beans - 500g,3
2023-07-24,Freshly Fine Beans - 500g,2
2023-07-25,Freshly Fine Beans - 500g,1
2023-07-26,Freshly Fine Beans - 500g,1
2023-07-28,Freshly Fine Beans - 500g,1
2023-07-31,Freshly Fine Beans - 500g,9
2023-08-01,Freshly Fine Beans - 500g,1
2023-08-04,Freshly Fine Beans - 500g,4
2023-08-05,Freshly Fine Beans - 500g,2
2023-08-06,Freshly Fine Beans - 500g,2
2023-08-07,Freshly Fine Beans - 500g,1
2023-08-10,Freshly Fine Beans - 500g,2
2023-08-11,Freshly Fine Beans - 500g,2
2023-08-12,Freshly Fine Beans - 500g,1
2023-08-14,Freshly Fine Beans - 500g,11
2023-08-15,Freshly Fine Beans - 500g,2
2023-08-17,Freshly Fine Beans - 500g,1
2023-08-18,Freshly Fine Beans - 500g,2
2023-08-19,Freshly Fine Beans - 500g,3
2023-08-21,Freshly Fine Beans - 500g,3
