Date,Product Name,Quantity
2022-03-16,KHE Mixed Berries - 500g,1
2022-03-17,Freshly Mixed Berries - 500g,3
2022-03-17,KHE Mixed Berries - 500g,1
2022-03-18,Freshly Mixed Berries - 500g,2
2022-03-19,Freshly Mixed Berries - 500g,2
2022-03-20,Freshly Mixed Berries - 500g,1
2022-03-21,Freshly Mixed Berries - 500g,4
2022-03-22,Freshly Mixed Berries - 500g,3
2022-03-23,Freshly Mixed Berries - 500g,1
2022-03-24,Freshly Mixed Berries - 500g,8
2022-03-25,Freshly Mixed Berries - 500g,2
2022-03-26,Freshly Mixed Berries - 500g,4
2022-03-27,Freshly Mixed Berries - 500g,2
2022-03-28,Freshly Mixed Berries - 500g,6
2022-03-30,Freshly Mixed Berries - 500g,4
2022-03-31,Freshly Mixed Berries - 500g,1
2022-04-01,Freshly Mixed Berries - 500g,5
2022-04-02,Freshly Mixed Berries - 500g,2
2022-04-06,Freshly Mixed Berries - 500g,1
2022-04-07,Freshly Mixed Berries - 500g,2
2022-04-08,Freshly Mixed Berries - 500g,7
2022-04-09,Freshly Mixed Berries - 500g,1
2022-04-11,Freshly Mixed Berries - 500g,3
2022-04-12,Freshly Mixed Berries - 500g,4
2022-04-14,Freshly Mixed Berries - 500g,3
2022-04-15,Freshly Mixed Berries - 500g,1
2022-04-23,Freshly Mixed Berries - 500g,4
2022-04-29,Freshly Mixed Berries - 500g,3
2022-04-30,Freshly Mixed Berries - 500g,2
2022-05-01,Freshly Mixed Berries - 500g,2
2022-05-02,Freshly Mixed Berries - 500g,4
2022-05-03,Freshly Mixed Berries - 500g,3
2022-05-04,Freshly Mixed Berries - 500g,1
2022-05-05,Freshly Mixed Berries - 500g,6
2022-05-06,Freshly Mixed Berries - 500g,4
2022-05-09,Freshly Mixed Berries - 500g,2
2022-05-10,Freshly Mixed Berries - 500g,8
2022-05-11,Freshly Mixed Berries - 500g,4
2022-05-12,Freshly Mixed Berries - 500g,2
2022-05-13,Freshly Mixed Berries - 500g,9
2022-05-16,Freshly Mixed Berries - 500g,9
2022-05-17,Freshly Mixed Berries - 500g,6
2022-05-19,Freshly Mixed Berries - 500g,2
2022-05-20,Freshly Mixed Berries - 500g,11
2022-05-21,Freshly Mixed Berries - 500g,1
2022-05-25,Freshly Mixed Berries - 500g,6
2022-06-01,Freshly Mixed Berries - 500g,2
2022-06-02,Freshly Mixed Berries - 500g,3
