Date,Product Name,Quantity
2023-05-09,Freshly Pak Choi Leaves - 200g,3
2023-05-10,Freshly Pak Choi Leaves - 200g,2
2023-05-12,Freshly Pak Choi Leaves - 200g,2
2023-05-14,Freshly Pak Choi Leaves - 200g,1
2023-05-15,Freshly Pak Choi Leaves - 200g,4
2023-05-18,Freshly Pak Choi Leaves - 200g,2
2023-05-19,Freshly Pak Choi Leaves - 200g,1
2023-05-20,Freshly Pak Choi Leaves - 200g,4
2023-05-21,Freshly Pak Choi Leaves - 200g,2
2023-05-22,Freshly Pak Choi Leaves - 200g,4
2023-05-23,Freshly Pak Choi Leaves - 200g,4
2023-05-25,Freshly Pak Choi Leaves - 200g,1
2023-05-26,Freshly Pak Choi Leaves - 200g,2
2023-05-27,Freshly Pak Choi Leaves - 200g,6
2023-05-28,Freshly Pak Choi Leaves - 200g,3
2023-05-29,Freshly Pak Choi Leaves - 200g,2
2023-05-30,Freshly Pak Choi Leaves - 200g,1
2023-06-02,Freshly Pak Choi Leaves - 200g,1
2023-06-03,Freshly Pak Choi Leaves - 200g,5
2023-06-04,Freshly Pak Choi Leaves - 200g,1
2023-06-05,Freshly Pak Choi Leaves - 200g,2
2023-06-06,Freshly Pak Choi Leaves - 200g,3
2023-06-09,Freshly Pak Choi Leaves - 200g,5
2023-06-10,Freshly Pak Choi Leaves - 200g,1
2023-06-12,Freshly Pak Choi Leaves - 200g,1
2023-06-14,Freshly Pak Choi Leaves - 200g,2
2023-06-15,Freshly Pak Choi Leaves - 200g,2
2023-06-20,Freshly Pak Choi Leaves - 200g,1
2023-06-21,Freshly Pak Choi Leaves - 200g,1
2023-06-22,Freshly Pak Choi Leaves - 200g,1
2023-06-24,Freshly Pak Choi Leaves - 200g,1
2023-06-26,Freshly Pak Choi Leaves - 200g,1
2023-06-27,Freshly Pak Choi Leaves - 200g,2
2023-06-28,Freshly Pak Choi Leaves - 200g,2
2023-07-12,Freshly Pak Choi Leaves - 200g,1
2023-07-14,Freshly Pak Choi Leaves - 200g,1
2023-07-15,Freshly Pak Choi Leaves - 200g,1
2023-07-16,Freshly Pak Choi Leaves - 200g,2
2023-07-17,Freshly Pak Choi Leaves - 200g,1
2023-07-18,Freshly Pak Choi Leaves - 200g,4
2023-07-20,Freshly Pak Choi Leaves - 200g,4
2023-07-24,Freshly Pak Choi Leaves - 200g,3
2023-07-25,Freshly Pak Choi Leaves - 200g,3
2023-07-26,Freshly Pak Choi Leaves - 200g,2
2023-07-31,Freshly Pak Choi Leaves - 200g,2
2023-08-01,Freshly Pak Choi Leaves - 200g,1
2023-08-03,Freshly Pak Choi Leaves - 200g,2
2023-08-05,Freshly Pak Choi Leaves - 200g,1
2023-08-07,Freshly Pak Choi Leaves - 200g,1
2023-08-08,Freshly Pak Choi Leaves - 200g,2
2023-08-09,Freshly Pak Choi Leaves - 200g,1
2023-08-10,Freshly Pak Choi Leaves - 200g,1
2023-08-13,Freshly Pak Choi Leaves - 200g,2
2023-08-14,Freshly Pak Choi Leaves - 200g,2
2023-08-15,Freshly Pak Choi Leaves - 200g,2
2023-08-16,Freshly Pak Choi Leaves - 200g,1
2023-08-17,Freshly Pak Choi Leaves - 200g,4
2023-08-18,Freshly Pak Choi Leaves - 200g,1
2023-08-21,Freshly Pak Choi Leaves - 200g,1
2023-08-22,Freshly Pak Choi Leaves - 200g,5
2023-08-23,Freshly Pak Choi Leaves - 200g,2
2023-08-24,Freshly Pak Choi Leaves - 200g,2
2023-08-25,Freshly Pak Choi Leaves - 200g,3
2023-08-26,Freshly Pak Choi Leaves - 200g,3
2023-08-27,Freshly Pak Choi Leaves - 200g,1
2023-08-28,Freshly Pak Choi Leaves - 200g,2
2023-08-29,Freshly Pak Choi Leaves - 200g,1
2023-08-30,Freshly Pak Choi Leaves - 200g,1
2023-08-31,Freshly Pak Choi Leaves - 200g,3
2023-09-01,Freshly Pak Choi Leaves - 200g,4
2023-09-02,Freshly Pak Choi Leaves - 200g,1
2023-09-04,Freshly Pak Choi Leaves - 200g,2
2023-09-05,Freshly Pak Choi Leaves - 200g,3
2023-09-06,Freshly Pak Choi Leaves - 200g,1
2023-09-07,Freshly Pak Choi Leaves - 200g,1
2023-09-08,Freshly Pak Choi Leaves - 200g,3
2023-09-09,Freshly Pak Choi Leaves - 200g,1
2023-09-10,Freshly Pak Choi Leaves - 200g,3
2023-09-11,Freshly Pak Choi Leaves - 200g,2
2023-09-12,Freshly Pak Choi Leaves - 200g,3
2023-09-13,Freshly Pak Choi Leaves - 200g,4
2023-09-20,Freshly Pak Choi Leaves - 200g,1
2023-10-07,Freshly Pak Choi Leaves - 200g,2
2023-10-09,Freshly Pak Choi Leaves - 200g,6
2023-10-11,Freshly Pak Choi Leaves - 200g,2
2023-10-12,Freshly Pak Choi Leaves - 200g,2
2023-10-14,Freshly Pak Choi Leaves - 200g,2
2023-10-15,Freshly Pak Choi Leaves - 200g,1
2023-10-16,Freshly Pak Choi Leaves - 200g,2
2023-10-17,Freshly Pak Choi Leaves - 200g,1
2023-10-18,Freshly Pak Choi Leaves - 200g,3
2023-10-19,Freshly Pak Choi Leaves - 200g,1
2023-10-21,Freshly Pak Choi Leaves - 200g,3
2023-10-22,Freshly Pak Choi Leaves - 200g,2
2023-10-25,Freshly Pak Choi Leaves - 200g,1
2023-10-26,Freshly Pak Choi Leaves - 200g,1
2023-10-27,Freshly Pak Choi Leaves - 200g,1
2023-10-28,Freshly Pak Choi Leaves - 200g,1
2023-10-30,Freshly Pak Choi Leaves - 200g,4
2023-10-31,Freshly Pak Choi Leaves - 200g,2
2023-11-04,Freshly Pak Choi Leaves - 200g,1
2023-11-05,Freshly Pak Choi Leaves - 200g,9
2023-11-06,Freshly Pak Choi Leaves - 200g,1
2023-11-14,Freshly Pak Choi Leaves - 200g,2
2023-11-15,Freshly Pak Choi Leaves - 200g,1
2023-11-16,Freshly Pak Choi Leaves - 200g,3
2023-11-17,Freshly Pak Choi Leaves - 200g,2
2023-11-18,Freshly Pak Choi Leaves - 200g,1
2023-11-21,Freshly Pak Choi Leaves - 200g,2
2023-11-22,Freshly Pak Choi Leaves - 200g,2
2023-11-23,Freshly Pak Choi Leaves - 200g,2
2023-11-29,Freshly Pak Choi Leaves - 200g,1
2023-11-30,Freshly Pak Choi Leaves - 200g,2
2023-12-01,Freshly Pak Choi Leaves - 200g,2
2023-12-03,Freshly Pak Choi Leaves - 200g,1
2023-12-04,Freshly Pak Choi Leaves - 200g,6
2023-12-05,Freshly Pak Choi Leaves - 200g,4
2023-12-06,Freshly Pak Choi Leaves - 200g,1
2023-12-07,Freshly Pak Choi Leaves - 200g,1
2023-12-08,Freshly Pak Choi Leaves - 200g,1
2023-12-11,Freshly Pak Choi Leaves - 200g,1
2023-12-14,Freshly Pak Choi Leaves - 200g,2
2023-12-16,Freshly Pak Choi Leaves - 200g,1
2023-12-19,Freshly Pak Choi Leaves - 200g,2
2023-12-20,Freshly Pak Choi Leaves - 200g,1
2023-12-21,Freshly Pak Choi Leaves - 200g,1
2023-12-22,Freshly Pak Choi Leaves - 200g,1
2023-12-27,Freshly Pak Choi Leaves - 200g,3
2023-12-29,Freshly Pak Choi Leaves - 200g,2
2023-12-30,Freshly Pak Choi Leaves - 200g,1
2024-01-01,Freshly Pak Choi Leaves - 200g,2
2024-01-02,Freshly Pak Choi Leaves - 200g,1
2024-01-03,Freshly Pak Choi Leaves - 200g,6
2024-01-04,Freshly Pak Choi Leaves - 200g,5
2024-01-05,Freshly Pak Choi Leaves - 200g,5
2024-01-08,Freshly Pak Choi Leaves - 200g,2
2024-01-09,Freshly Pak Choi Leaves - 200g,4
2024-01-11,Freshly Pak Choi Leaves - 200g,1
2024-01-12,Freshly Pak Choi Leaves - 200g,4
2024-01-13,Freshly Pak Choi Leaves - 200g,1
2024-01-14,Freshly Pak Choi Leaves - 200g,4
2024-01-15,Freshly Pak Choi Leaves - 200g,3
2024-01-16,Freshly Pak Choi Leaves - 200g,2
2024-01-18,Freshly Pak Choi Leaves - 200g,1
2024-01-19,Freshly Pak Choi Leaves - 200g,2
2024-01-20,Freshly Pak Choi Leaves - 200g,1
2024-01-21,Freshly Pak Choi Leaves - 200g,1
2024-01-22,Freshly Pak Choi Leaves - 200g,8
2024-01-23,Freshly Pak Choi Leaves - 200g,2
2024-01-24,Freshly Pak Choi Leaves - 200g,3
2024-01-25,Freshly Pak Choi Leaves - 200g,6
2024-01-26,Freshly Pak Choi Leaves - 200g,5
2024-02-03,Freshly Pak Choi Leaves - 200g,1
2024-02-04,Freshly Pak Choi Leaves - 200g,1
2024-02-05,Freshly Pak Choi Leaves - 200g,2
2024-02-06,Freshly Pak Choi Leaves - 200g,3
2024-02-07,Freshly Pak Choi Leaves - 200g,2
2024-02-08,Freshly Pak Choi Leaves - 200g,1
2024-02-09,Freshly Pak Choi Leaves - 200g,6
2024-02-10,Freshly Pak Choi Leaves - 200g,1
2024-02-12,Freshly Pak Choi Leaves - 200g,1
2024-02-14,Freshly Pak Choi Leaves - 200g,1
2024-02-15,Freshly Pak Choi Leaves - 200g,7
2024-02-16,Freshly Pak Choi Leaves - 200g,2
2024-02-17,Freshly Pak Choi Leaves - 200g,2
2024-02-18,Freshly Pak Choi Leaves - 200g,4
2024-02-20,Freshly Pak Choi Leaves - 200g,2
2024-02-21,Freshly Pak Choi Leaves - 200g,1
2024-02-22,Freshly Pak Choi Leaves - 200g,1
2024-02-23,Freshly Pak Choi Leaves - 200g,2
2024-02-24,Freshly Pak Choi Leaves - 200g,1
2024-03-04,Freshly Pak Choi Leaves - 200g,5
2024-03-06,Freshly Pak Choi Leaves - 200g,3
2024-03-07,Freshly Pak Choi Leaves - 200g,2
2024-03-08,Freshly Pak Choi Leaves - 200g,2
2024-03-09,Freshly Pak Choi Leaves - 200g,6
2024-03-11,Freshly Pak Choi Leaves - 200g,2
2024-03-12,Freshly Pak Choi Leaves - 200g,5
2024-03-13,Freshly Pak Choi Leaves - 200g,1
2024-03-15,Freshly Pak Choi Leaves - 200g,3
2024-03-16,Freshly Pak Choi Leaves - 200g,4
2024-03-17,Freshly Pak Choi Leaves - 200g,2
2024-03-18,Freshly Pak Choi Leaves - 200g,2
2024-03-19,Freshly Pak Choi Leaves - 200g,4
2024-03-20,Freshly Pak Choi Leaves - 200g,1
2024-03-21,Freshly Pak Choi Leaves - 200g,3
2024-03-22,Freshly Pak Choi Leaves - 200g,1
2024-03-24,Freshly Pak Choi Leaves - 200g,1
2024-03-25,Freshly Pak Choi Leaves - 200g,3
2024-03-26,Freshly Pak Choi Leaves - 200g,5
2024-03-28,Freshly Pak Choi Leaves - 200g,1
2024-03-30,Freshly Pak Choi Leaves - 200g,1
2024-03-31,Freshly Pak Choi Leaves - 200g,1
2024-04-01,Freshly Pak Choi Leaves - 200g,6
2024-04-02,Freshly Pak Choi Leaves - 200g,4
2024-04-04,Freshly Pak Choi Leaves - 200g,1
2024-04-05,Freshly Pak Choi Leaves - 200g,2
2024-04-06,Freshly Pak Choi Leaves - 200g,3
2024-04-07,Freshly Pak Choi Leaves - 200g,6
2024-04-08,Freshly Pak Choi Leaves - 200g,5
2024-04-09,Freshly Pak Choi Leaves - 200g,2
2024-05-27,Freshly Pak Choi Leaves - 200g,5
2024-05-28,Freshly Pak Choi Leaves - 200g,1
2024-05-30,Freshly Pak Choi Leaves - 200g,5
2024-05-31,Freshly Pak Choi Leaves - 200g,1
2024-06-01,Freshly Pak Choi Leaves - 200g,2
2024-06-02,Freshly Pak Choi Leaves - 200g,10
2024-06-03,Freshly Pak Choi Leaves - 200g,2
2024-06-05,Freshly Pak Choi Leaves - 200g,2
2024-06-06,Freshly Pak Choi Leaves - 200g,1
2024-06-08,Freshly Pak Choi Leaves - 200g,2
2024-06-09,Freshly Pak Choi Leaves - 200g,5
2024-06-10,Freshly Pak Choi Leaves - 200g,12
2024-06-11,Freshly Pak Choi Leaves - 200g,3
2024-06-18,Freshly Pak Choi Leaves - 200g,2
2024-06-20,Freshly Pak Choi Leaves - 200g,3
2024-06-21,Freshly Pak Choi Leaves - 200g,4
2024-06-22,Freshly Pak Choi Leaves - 200g,4
2024-06-24,Freshly Pak Choi Leaves - 200g,2
2024-06-26,Freshly Pak Choi Leaves - 200g,4
2024-07-02,Freshly Pak Choi Leaves - 200g,2
2024-07-04,Freshly Pak Choi Leaves - 200g,1
2024-07-05,Freshly Pak Choi Leaves - 200g,1
2024-07-06,Freshly Pak Choi Leaves - 200g,3
2024-07-07,Freshly Pak Choi Leaves - 200g,3
