Date,Product Name,Quantity
2023-03-11,Kusev Heritage Turkey Burger Patties - 4 Pieces,4
2023-03-12,Kusev Heritage Turkey Burger Patties - 4 Pieces,4
2023-03-13,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-03-14,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-03-15,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-03-21,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-03-22,Kusev Heritage Turkey Burger Patties - 4 Pieces,8
2023-03-24,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-03-25,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-03-26,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-03-29,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-03-31,Kusev Heritage Turkey Burger Patties - 4 Pieces,3
2023-04-02,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-03,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-04,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-17,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-04-18,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-19,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-20,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-23,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-25,Kusev Heritage Turkey Burger Patties - 4 Pieces,3
2023-04-26,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-27,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-04-28,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-02,Kusev Heritage Turkey Burger Patties - 4 Pieces,5
2023-05-03,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-05-06,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-07,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-08,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-12,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-15,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-05-16,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-17,Kusev Heritage Turkey Burger Patties - 4 Pieces,3
2023-05-19,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-20,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-21,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-22,Kusev Heritage Turkey Burger Patties - 4 Pieces,3
2023-05-23,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-05-30,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-05-31,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-02,Kusev Heritage Turkey Burger Patties - 4 Pieces,3
2023-06-06,Kusev Heritage Turkey Burger Patties - 4 Pieces,3
2023-06-07,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-13,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-14,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-17,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-18,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-19,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-06-20,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-06-21,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-23,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-24,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-26,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-27,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-28,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-06-30,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-05,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-08,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-10,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-15,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-17,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-21,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-25,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-29,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-07-31,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-08-01,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-02,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-07,Kusev Heritage Turkey Burger Patties - 4 Pieces,3
2023-08-08,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-11,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-13,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-14,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-15,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-16,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-08-18,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-08-19,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-20,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-08-21,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-24,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-08-25,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-08-27,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-05,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-07,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-11,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-15,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-09-16,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-09-18,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-09-19,Kusev Heritage Turkey Burger Patties - 4 Pieces,2
2023-09-21,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-22,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-24,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-27,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
2023-09-28,Kusev Heritage Turkey Burger Patties - 4 Pieces,1
