Date,Product Name,Quantity
2020-09-23,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2020-09-24,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2020-10-02,Kenyan Originals Passion Fruit Ice Tea - 330ml,3
2020-10-06,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2020-10-17,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2020-11-04,Kenyan Originals Passion Fruit Ice Tea - 330ml,8
2020-11-16,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2020-11-24,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2020-11-26,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2020-12-09,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2020-12-14,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2020-12-20,Kenyan Originals Passion Fruit Ice Tea - 330ml,6
2021-01-03,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-01-14,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-01-15,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-01-28,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-02-03,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-02-06,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-02-08,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-02-12,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-02-15,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-02-19,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-03-08,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-03-09,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-03-15,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-03-20,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-03-24,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-03-29,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-03-30,Kenyan Originals Passion Fruit Ice Tea - 330ml,5
2021-04-30,Kenyan Originals Passion Fruit Ice Tea - 330ml,5
2021-05-08,Kenyan Originals Passion Fruit Ice Tea - 330ml,5
2021-05-12,Kenyan Originals Passion Fruit Ice Tea - 330ml,3
2021-05-21,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-05-26,Kenyan Originals Passion Fruit Ice Tea - 330ml,3
2021-06-02,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-06-25,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-07-08,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-07-11,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-07-17,Kenyan Originals Passion Fruit Ice Tea - 330ml,3
2021-07-28,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
2021-08-04,Kenyan Originals Passion Fruit Ice Tea - 330ml,3
2021-08-12,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-08-20,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-08-24,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-08-27,Kenyan Originals Passion Fruit Ice Tea - 330ml,4
2021-09-09,Kenyan Originals Passion Fruit Ice Tea - 330ml,1
2021-09-24,Kenyan Originals Passion Fruit Ice Tea - 330ml,2
