Date,Product Name,Quantity
2022-12-18,Kenyan Originals Light Tonic Water - 200ml Can,6
2022-12-19,Kenyan Originals Light Tonic Water - 200ml Can,8
2022-12-20,Kenyan Originals Light Tonic Water - 200ml Can,6
2022-12-21,Kenyan Originals Light Tonic Water - 200ml Can,4
2022-12-22,Kenyan Originals Light Tonic Water - 200ml Can,12
2022-12-23,Kenyan Originals Light Tonic Water - 200ml Can,8
2022-12-24,Kenyan Originals Light Tonic Water - 200ml Can,20
2022-12-27,Kenyan Originals Light Tonic Water - 200ml Can,2
2022-12-31,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-01-02,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-01-06,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-01-07,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-01-08,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-01-09,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-01-11,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-02-16,Kenyan Originals Light Tonic Water - 200ml Can,9
2023-02-18,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-02-21,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-02-22,Kenyan Originals Light Tonic Water - 200ml Can,3
2023-02-23,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-02-24,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-02-25,Kenyan Originals Light Tonic Water - 200ml Can,5
2023-02-26,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-03-02,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-03-03,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-03-05,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-03-06,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-03-07,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-03-09,Kenyan Originals Light Tonic Water - 200ml Can,17
2023-03-10,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-03-12,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-03-13,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-03-16,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-03-18,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-03-20,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-03-21,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-03-24,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-03-25,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-03-26,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-03-27,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-03-29,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-03-30,Kenyan Originals Light Tonic Water - 200ml Can,32
2023-03-31,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-04-03,Kenyan Originals Light Tonic Water - 200ml Can,16
2023-04-04,Kenyan Originals Light Tonic Water - 200ml Can,11
2023-04-05,Kenyan Originals Light Tonic Water - 200ml Can,33
2023-04-08,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-04-09,Kenyan Originals Light Tonic Water - 200ml Can,1
2023-04-10,Kenyan Originals Light Tonic Water - 200ml Can,3
2023-04-12,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-04-13,Kenyan Originals Light Tonic Water - 200ml Can,11
2023-04-15,Kenyan Originals Light Tonic Water - 200ml Can,18
2023-04-16,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-04-17,Kenyan Originals Light Tonic Water - 200ml Can,13
2023-04-21,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-04-22,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-04-23,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-04-24,Kenyan Originals Light Tonic Water - 200ml Can,18
2023-04-25,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-04-26,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-04-27,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-04-28,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-04-29,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-05-04,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-05-06,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-05-09,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-05-10,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-05-11,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-05-13,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-05-16,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-05-17,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-05-20,Kenyan Originals Light Tonic Water - 200ml Can,3
2023-05-23,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-05-24,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-05-31,Kenyan Originals Light Tonic Water - 200ml Can,5
2023-06-02,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-06-03,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-06-06,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-06-07,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-06-09,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-06-10,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-06-11,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-06-12,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-06-13,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-06-15,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-06-16,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-06-17,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-06-18,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-06-20,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-06-21,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-06-28,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-06-29,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-06-30,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-07-03,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-07-08,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-07-11,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-07-13,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-07-17,Kenyan Originals Light Tonic Water - 200ml Can,17
2023-07-19,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-07-20,Kenyan Originals Light Tonic Water - 200ml Can,9
2023-07-26,Kenyan Originals Light Tonic Water - 200ml Can,1
2023-07-30,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-08-01,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-08-09,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-08-11,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-08-14,Kenyan Originals Light Tonic Water - 200ml Can,3
2023-08-15,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-08-17,Kenyan Originals Light Tonic Water - 200ml Can,1
2023-08-21,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-08-24,Kenyan Originals Light Tonic Water - 200ml Can,8
2023-08-25,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-08-27,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-08-28,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-08-29,Kenyan Originals Light Tonic Water - 200ml Can,13
2023-08-31,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-09-01,Kenyan Originals Light Tonic Water - 200ml Can,11
2023-09-02,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-09-05,Kenyan Originals Light Tonic Water - 200ml Can,5
2023-09-06,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-09-07,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-09-08,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-09-09,Kenyan Originals Light Tonic Water - 200ml Can,11
2023-09-10,Kenyan Originals Light Tonic Water - 200ml Can,5
2023-09-11,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-09-12,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-09-13,Kenyan Originals Light Tonic Water - 200ml Can,13
2023-09-14,Kenyan Originals Light Tonic Water - 200ml Can,9
2023-09-18,Kenyan Originals Light Tonic Water - 200ml Can,3
2023-09-20,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-09-23,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-09-24,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-09-28,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-09-29,Kenyan Originals Light Tonic Water - 200ml Can,31
2023-09-30,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-10-03,Kenyan Originals Light Tonic Water - 200ml Can,4
2023-10-07,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-10-08,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-10-09,Kenyan Originals Light Tonic Water - 200ml Can,7
2023-10-10,Kenyan Originals Light Tonic Water - 200ml Can,1
2023-10-12,Kenyan Originals Light Tonic Water - 200ml Can,20
2023-10-15,Kenyan Originals Light Tonic Water - 200ml Can,20
2023-10-16,Kenyan Originals Light Tonic Water - 200ml Can,6
2023-10-18,Kenyan Originals Light Tonic Water - 200ml Can,2
2023-10-19,Kenyan Originals Light Tonic Water - 200ml Can,10
2023-10-23,Kenyan Originals Light Tonic Water - 200ml Can,17
2023-10-26,Kenyan Originals Light Tonic Water - 200ml Can,12
2023-10-27,Kenyan Originals Light Tonic Water - 200ml Can,2
