Date,Product Name,Quantity
2023-01-19,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-01-20,Kagira Ridge Farm Organic Red Cabbage - Piece,6
2023-01-21,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-01-22,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-01-23,Kagira Ridge Farm Organic Red Cabbage - Piece,4
2023-01-24,Kagira Ridge Farm Organic Red Cabbage - Piece,4
2023-01-25,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-01-26,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-01-27,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-01-28,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-01-29,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-01-30,Kagira Ridge Farm Organic Red Cabbage - Piece,5
2023-01-31,Kagira Ridge Farm Organic Red Cabbage - Piece,4
2023-02-02,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-02-03,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-02-04,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-02-05,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-02-06,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-02-07,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-02-08,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-02-10,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-02-12,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-02-13,Kagira Ridge Farm Organic Red Cabbage - Piece,8
2023-02-14,Kagira Ridge Farm Organic Red Cabbage - Piece,5
2023-02-15,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-02-16,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-02-17,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-02-18,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-02-19,Kagira Ridge Farm Organic Red Cabbage - Piece,6
2023-02-20,Kagira Ridge Farm Organic Red Cabbage - Piece,5
2023-02-22,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-02-23,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-02-24,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-02-25,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-02-26,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-02-27,Kagira Ridge Farm Organic Red Cabbage - Piece,10
2023-02-28,Kagira Ridge Farm Organic Red Cabbage - Piece,4
2023-03-01,Kagira Ridge Farm Organic Red Cabbage - Piece,5
2023-03-02,Kagira Ridge Farm Organic Red Cabbage - Piece,6
2023-03-03,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-03-04,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-03-05,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-03-06,Kagira Ridge Farm Organic Red Cabbage - Piece,6
2023-03-07,Kagira Ridge Farm Organic Red Cabbage - Piece,5
2023-03-08,Kagira Ridge Farm Organic Red Cabbage - Piece,6
2023-03-09,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-03-10,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-03-11,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-03-12,Kagira Ridge Farm Organic Red Cabbage - Piece,1
2023-03-13,Kagira Ridge Farm Organic Red Cabbage - Piece,5
2023-03-14,Kagira Ridge Farm Organic Red Cabbage - Piece,8
2023-03-15,Kagira Ridge Farm Organic Red Cabbage - Piece,2
2023-03-16,Kagira Ridge Farm Organic Red Cabbage - Piece,3
2023-03-17,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),2
2023-03-18,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),2
2023-03-19,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),4
2023-03-20,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),6
2023-03-21,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),11
2023-03-22,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),4
2023-03-23,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),2
2023-03-24,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),1
2023-03-25,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),4
2023-03-26,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),2
2023-03-27,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),5
2023-03-28,Kagira Ridge Farm Organic Red Cabbage - Piece(Small Sized),9
