Date,Product Name,Quantity
2022-05-29,KSL Caster Sugar - 500g,1
2022-05-30,KSL Caster Sugar - 500g,1
2022-06-10,KSL Caster Sugar - 500g,1
2022-06-13,KSL Caster Sugar - 500g,1
2022-06-15,KSL Caster Sugar - 500g,1
2022-06-18,KSL Caster Sugar - 500g,1
2022-06-25,KSL Caster Sugar - 500g,2
2022-06-30,KSL Caster Sugar - 500g,1
2022-07-01,KSL Caster Sugar - 500g,1
2022-07-04,KSL Caster Sugar - 500g,1
2022-07-05,KSL Caster Sugar - 500g,1
2022-07-06,KSL Caster Sugar - 500g,2
2022-07-12,KSL Caster Sugar - 500g,1
2022-07-15,KSL Caster Sugar - 500g,2
2022-07-18,KSL Caster Sugar - 500g,2
2022-07-22,KSL Caster Sugar - 500g,2
2022-07-26,KSL Caster Sugar - 500g,2
2022-08-01,KSL Caster Sugar - 500g,1
2022-08-02,KSL Caster Sugar - 500g,1
2022-09-02,KSL Caster Sugar - 500g,1
2022-09-03,KSL Caster Sugar - 500g,1
2022-09-05,KSL Caster Sugar - 500g,1
2022-09-08,KSL Caster Sugar - 500g,2
2022-09-09,KSL Caster Sugar - 500g,2
2022-09-10,KSL Caster Sugar - 500g,1
2022-09-12,KSL Caster Sugar - 500g,1
2022-09-16,KSL Caster Sugar - 500g,1
2022-09-19,KSL Caster Sugar - 500g,1
2022-09-20,KSL Caster Sugar - 500g,1
2022-09-21,KSL Caster Sugar - 500g,3
2022-09-22,KSL Caster Sugar - 500g,2
2022-09-23,KSL Caster Sugar - 500g,1
2022-09-25,KSL Caster Sugar - 500g,1
2022-09-26,KSL Caster Sugar - 500g,1
2022-09-30,KSL Caster Sugar - 500g,1
2022-10-01,KSL Caster Sugar - 500g,2
2022-10-03,KSL Caster Sugar - 500g,1
2022-10-07,KSL Caster Sugar - 500g,1
2022-10-11,KSL Caster Sugar - 500g,2
2022-10-12,KSL Caster Sugar - 500g,1
2022-10-13,KSL Caster Sugar - 500g,2
2022-10-14,KSL Caster Sugar - 500g,4
2022-10-19,KSL Caster Sugar - 500g,1
2022-10-21,KSL Caster Sugar - 500g,5
2022-10-22,KSL Caster Sugar - 500g,2
2022-10-26,KSL Caster Sugar - 500g,2
2022-10-27,KSL Caster Sugar - 500g,1
2022-10-30,KSL Caster Sugar - 500g,1
2022-11-02,KSL Caster Sugar - 500g,5
2022-11-03,KSL Caster Sugar - 500g,1
