Date,Product Name,Quantity
2022-07-29,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-07-30,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-08-03,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-08-05,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-08-06,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-08-07,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-08-08,Laki Laki Strawberry and Banana Smoothie - 250ml,3
2022-08-10,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-08-11,Laki Laki Strawberry and Banana Smoothie - 250ml,3
2022-08-12,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-08-13,Laki Laki Strawberry and Banana Smoothie - 250ml,6
2022-08-20,Laki Laki Strawberry and Banana Smoothie - 250ml,4
2022-08-22,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-08-26,Laki Laki Strawberry and Banana Smoothie - 250ml,4
2022-08-28,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-08-30,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-08-31,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-09-03,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-09-04,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-09-06,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-09-11,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-09-14,Laki Laki Strawberry and Banana Smoothie - 250ml,4
2022-09-17,Laki Laki Strawberry and Banana Smoothie - 250ml,4
2022-09-22,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-09-23,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-09-25,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-09-30,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-10-02,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-10-03,Laki Laki Strawberry and Banana Smoothie - 250ml,3
2022-10-27,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-10-28,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-10-31,Laki Laki Strawberry and Banana Smoothie - 250ml,8
2022-11-08,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-11-10,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-11-13,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-11-15,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-11-16,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-11-18,Laki Laki Strawberry and Banana Smoothie - 250ml,3
2022-11-21,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-11-24,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-11-25,Laki Laki Strawberry and Banana Smoothie - 250ml,8
2022-11-30,Laki Laki Strawberry and Banana Smoothie - 250ml,7
2022-12-02,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2022-12-06,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-12-07,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-12-13,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-12-17,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-12-23,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2022-12-30,Laki Laki Strawberry and Banana Smoothie - 250ml,3
2023-01-04,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2023-01-05,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2023-01-08,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2023-01-09,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2023-01-13,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2023-01-15,Laki Laki Strawberry and Banana Smoothie - 250ml,1
2023-01-18,Laki Laki Strawberry and Banana Smoothie - 250ml,2
2023-01-19,Laki Laki Strawberry and Banana Smoothie - 250ml,2
