Date,Product Name,Quantity
2020-01-06,Lekker Cumin Gouda - 250g,1
2020-01-17,Lekker Cumin Gouda - 500g,1
2020-01-30,Lekker Cumin Gouda - 250g,1
2020-02-03,Lekker Cumin Gouda - 250g,1
2020-02-04,Lekker Cumin Gouda - 250g,1
2020-02-13,Lekker Cumin Gouda - 250g,1
2020-02-25,Lekker Cumin Gouda - 250g,1
2020-02-28,Lekker Cumin Gouda - 500g,1
2020-03-16,Lekker Cumin Gouda - 500g,1
2020-03-16,Lekker Cumin Gouda - 250g,2
2020-03-17,Lekker Cumin Gouda - 500g,1
2020-03-19,Lekker Cumin Gouda - 250g,2
2020-03-24,Lekker Cumin Gouda - 500g,1
2020-03-25,Lekker Cumin Gouda - 250g,1
2020-03-25,Lekker Cumin Gouda - 500g,1
2020-03-31,Lekker Cumin Gouda - 250g,1
2020-04-01,Lekker Cumin Gouda - 500g,1
2020-04-03,Lekker Cumin Gouda - 250g,2
2020-04-05,Lekker Cumin Gouda - 250g,1
2020-04-06,Lekker Cumin Gouda - 500g,1
2020-04-09,Lekker Cumin Gouda - 250g,2
2020-04-09,Lekker Cumin Gouda - 500g,1
2020-04-14,Lekker Cumin Gouda - 500g,1
2020-04-16,Lekker Cumin Gouda - 250g,2
2020-04-18,Lekker Cumin Gouda - 250g,1
2020-04-20,Lekker Cumin Gouda - 250g,2
2020-04-20,Lekker Cumin Gouda - 500g,1
2020-04-21,Lekker Cumin Gouda - 250g,1
2020-04-22,Lekker Cumin Gouda - 250g,1
2020-04-22,Lekker Cumin Gouda - 500g,1
2020-04-23,Lekker Cumin Gouda - 250g,1
2020-04-25,Lekker Cumin Gouda - 250g,1
2020-04-27,Lekker Cumin Gouda - 500g,1
2020-04-28,Lekker Cumin Gouda - 500g,3
2020-04-28,Lekker Cumin Gouda - 250g,1
2020-04-30,Lekker Cumin Gouda - 250g,1
2020-05-02,Lekker Cumin Gouda - 250g,1
2020-05-04,Lekker Cumin Gouda - 500g,2
2020-05-08,Lekker Cumin Gouda - 250g,2
2020-05-08,Lekker Cumin Gouda - 500g,2
2020-05-11,Lekker Cumin Gouda - 250g,1
2020-05-12,Lekker Cumin Gouda - 250g,2
2020-05-12,Lekker Cumin Gouda - 500g,1
2020-05-13,Lekker Cumin Gouda - 500g,1
2020-05-15,Lekker Cumin Gouda - 250g,2
2020-05-19,Lekker Cumin Gouda - 250g,1
2020-05-21,Lekker Cumin Gouda - 250g,1
2020-05-22,Lekker Cumin Gouda - 500g,2
2020-05-23,Lekker Cumin Gouda - 250g,1
2020-05-23,Lekker Cumin Gouda - 500g,1
2020-05-26,Lekker Cumin Gouda - 250g,1
2020-05-27,Lekker Cumin Gouda - 500g,2
2020-05-27,Lekker Cumin Gouda - 250g,2
2020-05-28,Lekker Cumin Gouda - 250g,1
2020-05-29,Lekker Cumin Gouda - 500g,1
2020-05-30,Lekker Cumin Gouda - 500g,1
2020-06-01,Lekker Cumin Gouda - 250g,1
2020-06-02,Lekker Cumin Gouda - 250g,1
2020-06-04,Lekker Cumin Gouda - 250g,3
2020-06-06,Lekker Cumin Gouda - 250g,2
2020-06-10,Lekker Cumin Gouda - 250g,2
2020-06-11,Lekker Cumin Gouda - 500g,1
2020-06-14,Lekker Cumin Gouda - 250g,1
2020-06-15,Lekker Cumin Gouda - 250g,1
2020-06-16,Lekker Cumin Gouda - 250g,1
2020-06-18,Lekker Cumin Gouda - 250g,1
2020-06-22,Lekker Cumin Gouda - 250g,3
2020-06-23,Lekker Cumin Gouda - 250g,2
2020-06-24,Lekker Cumin Gouda - 500g,1
2020-06-26,Lekker Cumin Gouda - 500g,1
2020-06-29,Lekker Cumin Gouda - 250g,1
2020-07-01,Lekker Cumin Gouda - 250g,1
2020-07-03,Lekker Cumin Gouda - 500g,1
2020-07-07,Lekker Cumin Gouda - 250g,2
2020-07-09,Lekker Cumin Gouda - 500g,1
2020-07-09,Lekker Cumin Gouda - 250g,1
2020-07-14,Lekker Cumin Gouda - 250g,2
2020-07-21,Lekker Cumin Gouda - 500g,1
2020-07-23,Lekker Cumin Gouda - 250g,1
2020-07-23,Lekker Cumin Gouda - 500g,1
2020-07-24,Lekker Cumin Gouda - 250g,2
2020-07-24,Lekker Cumin Gouda - 500g,1
2020-07-30,Lekker Cumin Gouda - 250g,1
2020-08-01,Lekker Cumin Gouda - 250g,2
2020-08-08,Lekker Cumin Gouda - 500g,1
2020-08-10,Lekker Cumin Gouda - 250g,1
2020-08-14,Lekker Cumin Gouda - 500g,1
2020-08-18,Lekker Cumin Gouda - 500g,1
2020-08-24,Lekker Cumin Gouda - 250g,2
2020-08-24,Lekker Cumin Gouda - 500g,1
2020-09-01,Lekker Cumin Gouda - 500g,2
2020-09-03,Lekker Cumin Gouda - 500g,1
2020-09-07,Lekker Cumin Gouda - 250g,1
2020-09-14,Lekker Cumin Gouda - 500g,1
2020-09-15,Lekker Cumin Gouda - 250g,1
2020-09-16,Lekker Cumin Gouda - 250g,1
2020-09-17,Lekker Cumin Gouda - 250g,1
2020-10-05,Lekker Cumin Gouda - 250g,1
2020-10-06,Lekker Cumin Gouda - 250g,1
2020-10-09,Lekker Cumin Gouda - 250g,3
2020-10-12,Lekker Cumin Gouda - 250g,1
2020-10-13,Lekker Cumin Gouda - 250g,1
2020-10-15,Lekker Cumin Gouda - 250g,1
2020-10-16,Lekker Cumin Gouda - 250g,2
2020-10-21,Lekker Cumin Gouda - 250g,1
2020-10-26,Lekker Cumin Gouda - 250g,1
2020-10-27,Lekker Cumin Gouda - 250g,1
2020-10-30,Lekker Cumin Gouda - 250g,3
2020-11-04,Lekker Cumin Gouda - 250g,1
2020-11-05,Lekker Cumin Gouda - 250g,2
2020-11-11,Lekker Cumin Gouda - 250g,1
2020-11-12,Lekker Cumin Gouda - 250g,1
2020-11-16,Lekker Cumin Gouda - 250g,2
2020-11-20,Lekker Cumin Gouda - 250g,3
2020-12-01,Lekker Cumin Gouda - 250g,1
2020-12-09,Lekker Cumin Gouda - 250g,2
2020-12-14,Lekker Cumin Gouda - 250g,2
2020-12-20,Lekker Cumin Gouda - 250g,1
2020-12-28,Lekker Cumin Gouda - 250g,5
2020-12-29,Lekker Cumin Gouda - 250g,1
2021-01-14,Lekker Cumin Gouda - 250g,3
2021-01-28,Lekker Cumin Gouda - 250g,1
2021-02-15,Lekker Cumin Gouda - 250g,2
2021-02-25,Lekker Cumin Gouda - 250g,1
2021-02-26,Lekker Cumin Gouda - 250g,2
2021-02-28,Lekker Cumin Gouda - 250g,1
2021-03-05,Lekker Cumin Gouda - 250g,1
2021-03-12,Lekker Cumin Gouda - 250g,1
2021-03-17,Lekker Cumin Gouda - 250g,1
2021-03-20,Lekker Cumin Gouda - 250g,1
2021-03-23,Lekker Cumin Gouda - 250g,1
2021-03-26,Lekker Cumin Gouda - 250g,1
2021-03-30,Lekker Cumin Gouda - 250g,1
2021-03-31,Lekker Cumin Gouda - 250g,1
2021-04-01,Lekker Cumin Gouda - 250g,1
2021-04-08,Lekker Cumin Gouda - 250g,1
2021-04-14,Lekker Cumin Gouda - 250g,2
2021-04-16,Lekker Cumin Gouda - 250g,1
2021-05-03,Lekker Cumin Gouda - 250g,2
2021-05-14,Lekker Cumin Gouda - 250g,1
2021-05-19,Lekker Cumin Gouda - 250g,1
2021-05-21,Lekker Cumin Gouda - 250g,1
2021-05-24,Lekker Cumin Gouda - 250g,1
