Date,Product Name,Quantity
2021-12-23,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2021-12-24,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",5
2021-12-27,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",5
2021-12-28,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2021-12-29,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2021-12-30,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2021-12-31,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-01-03,Mlango Farm Coriander/ Dhania Bunch,3
2022-01-03,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-01-04,Mlango Farm Coriander/ Dhania Bunch,4
2022-01-04,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",4
2022-01-05,Mlango Farm Coriander/ Dhania Bunch,5
2022-01-05,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",5
2022-01-06,Mlango Farm Coriander/ Dhania Bunch,3
2022-01-06,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-01-07,Mlango Farm Coriander/ Dhania Bunch,2
2022-01-07,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-01-08,Mlango Farm Coriander/ Dhania Bunch,1
2022-01-08,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-01-09,Mlango Farm Coriander/ Dhania Bunch,4
2022-01-09,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",4
2022-01-10,Mlango Farm Coriander/ Dhania Bunch,10
2022-01-10,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",10
2022-01-11,Mlango Farm Coriander/ Dhania Bunch,5
2022-01-11,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",5
2022-01-12,Mlango Farm Coriander/ Dhania Bunch,1
2022-01-12,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-01-13,Mlango Farm Coriander/ Dhania Bunch,7
2022-01-13,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",7
2022-01-14,Mlango Farm Coriander/ Dhania Bunch,4
2022-01-14,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-01-15,Mlango Farm Coriander/ Dhania Bunch,14
2022-01-15,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",7
2022-01-16,Mlango Farm Coriander/ Dhania Bunch,6
2022-01-16,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-01-17,Mlango Farm Coriander/ Dhania Bunch,18
2022-01-17,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",9
2022-01-18,Mlango Farm Coriander/ Dhania Bunch,9
2022-01-18,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",7
2022-01-20,Mlango Farm Coriander/ Dhania Bunch,3
2022-01-20,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-01-21,Mlango Farm Coriander/ Dhania Bunch,6
2022-01-21,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",6
2022-01-22,Mlango Farm Coriander/ Dhania Bunch,2
2022-01-22,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-01-24,Mlango Farm Coriander/ Dhania Bunch,10
2022-01-24,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",10
2022-01-25,Mlango Farm Coriander/ Dhania Bunch,3
2022-01-25,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-01-26,Mlango Farm Coriander/ Dhania Bunch,5
2022-01-26,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",5
2022-01-27,Mlango Farm Coriander/ Dhania Bunch,1
2022-01-27,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-01-28,Mlango Farm Coriander/ Dhania Bunch,4
2022-01-28,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",4
2022-01-29,Mlango Farm Coriander/ Dhania Bunch,3
2022-01-29,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-01-31,Mlango Farm Coriander/ Dhania Bunch,4
2022-01-31,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",4
2022-02-01,Mlango Farm Coriander/ Dhania Bunch,1
2022-02-01,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-02-02,Mlango Farm Coriander/ Dhania Bunch,2
2022-02-02,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-02-03,Mlango Farm Coriander/ Dhania Bunch,2
2022-02-03,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-02-04,Mlango Farm Coriander/ Dhania Bunch,2
2022-02-04,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-02-05,Mlango Farm Coriander/ Dhania Bunch,1
2022-02-05,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-02-07,Mlango Farm Coriander/ Dhania Bunch,6
2022-02-07,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",6
2022-02-11,Mlango Farm Coriander/ Dhania Bunch,3
2022-02-11,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-02-14,Mlango Farm Coriander/ Dhania Bunch,2
2022-02-14,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-02-15,Mlango Farm Coriander/ Dhania Bunch,7
2022-02-15,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",7
2022-02-16,Mlango Farm Coriander/ Dhania Bunch,2
2022-02-16,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-02-18,Mlango Farm Coriander/ Dhania Bunch,1
2022-02-18,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-02-21,Mlango Farm Coriander/ Dhania Bunch,10
2022-02-21,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",10
2022-02-22,Mlango Farm Coriander/ Dhania Bunch,3
2022-02-22,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-02-23,Mlango Farm Coriander/ Dhania Bunch,2
2022-02-23,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",2
2022-02-24,Mlango Farm Coriander/ Dhania Bunch,1
2022-02-24,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-02-25,Mlango Farm Coriander/ Dhania Bunch,4
2022-02-25,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",4
2022-02-26,Mlango Farm Coriander/ Dhania Bunch,1
2022-02-26,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",1
2022-02-28,Mlango Farm Coriander/ Dhania Bunch,5
2022-02-28,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",5
2022-03-01,Mlango Farm Coriander/ Dhania Bunch,3
2022-03-01,"Mlango Farm Coriander/ Dhania Bunch (Order by 9pm, next day delivery)",3
2022-03-02,Mlango Farm Coriander/ Dhania Bunch,5
2022-03-04,Mlango Farm Coriander/ Dhania Bunch,3
2022-03-05,Mlango Farm Coriander/ Dhania Bunch,2
2022-03-06,Mlango Farm Coriander/ Dhania Bunch,4
2022-03-07,Mlango Farm Coriander/ Dhania Bunch,2
2022-03-08,Mlango Farm Coriander/ Dhania Bunch,5
2022-03-09,Mlango Farm Coriander/ Dhania Bunch,8
2022-03-10,Mlango Farm Coriander/ Dhania Bunch,2
2022-03-11,Mlango Farm Coriander/ Dhania Bunch,4
2022-03-12,Mlango Farm Coriander/ Dhania Bunch,1
2022-03-14,Mlango Farm Coriander/ Dhania Bunch,4
2022-03-15,Mlango Farm Coriander/ Dhania Bunch,1
2022-03-16,Mlango Farm Coriander/ Dhania Bunch,9
2022-03-17,Mlango Farm Coriander/ Dhania Bunch,4
2022-03-18,Mlango Farm Coriander/ Dhania Bunch,4
2022-03-21,Mlango Farm Coriander/ Dhania Bunch,10
2022-03-22,Mlango Farm Coriander/ Dhania Bunch,6
2022-03-23,Mlango Farm Coriander/ Dhania Bunch,4
2022-03-24,Mlango Farm Coriander/ Dhania Bunch,7
2022-03-26,Mlango Farm Coriander/ Dhania Bunch,1
2022-03-28,Mlango Farm Coriander/ Dhania Bunch,10
2022-03-29,Mlango Farm Coriander/ Dhania Bunch,9
2022-03-30,Mlango Farm Coriander/ Dhania Bunch,2
2022-03-31,Mlango Farm Coriander/ Dhania Bunch,1
2022-04-01,Mlango Farm Coriander/ Dhania Bunch,1
2022-04-02,Mlango Farm Coriander/ Dhania Bunch,11
2022-04-03,Mlango Farm Coriander/ Dhania Bunch,1
2022-04-04,Mlango Farm Coriander/ Dhania Bunch,10
2022-04-05,Mlango Farm Coriander/ Dhania Bunch,8
2022-04-06,Mlango Farm Coriander/ Dhania Bunch,3
2022-04-07,Mlango Farm Coriander/ Dhania Bunch,7
2022-04-09,Mlango Farm Coriander/ Dhania Bunch,4
2022-04-10,Mlango Farm Coriander/ Dhania Bunch,1
2022-05-10,Mlango Farm Coriander/ Dhania Bunch,1
2022-05-11,Mlango Farm Coriander/ Dhania Bunch,3
