Date,Product Name,Quantity
2022-05-13,Mlango Farm Oregano - Bunch,1
2022-05-18,Mlango Farm Oregano - Bunch,1
2022-05-23,Mlango Farm Oregano - Bunch,1
2022-05-24,Mlango Farm Oregano - Bunch,1
2022-05-27,Mlango Farm Oregano - Bunch,1
2022-06-01,Mlango Farm Oregano - Bunch,1
2022-06-02,Mlango Farm Oregano - Bunch,1
2022-06-03,Mlango Farm Oregano - Bunch,1
2022-06-04,Mlango Farm Oregano - Bunch,1
2022-06-06,Mlango Farm Oregano - Bunch,1
2022-06-07,Mlango Farm Oregano - Bunch,1
2022-06-14,Mlango Farm Oregano - Bunch,1
2022-06-16,Mlango Farm Oregano - Bunch,1
2022-06-18,Mlango Farm Oregano - Bunch,1
2022-06-21,Mlango Farm Oregano - Bunch,1
2022-06-24,Mlango Farm Oregano - Bunch,1
2022-06-25,Mlango Farm Oregano - Bunch,2
2022-06-29,Mlango Farm Oregano - Bunch,3
2022-06-30,Mlango Farm Oregano - Bunch,2
2022-07-04,Mlango Farm Oregano - Bunch,1
2022-07-05,Mlango Farm Oregano - Bunch,1
2022-09-16,Mlango Farm Oregano - Bunch,2
2022-09-19,Mlango Farm Oregano - Bunch,3
2022-09-20,Mlango Farm Oregano - Bunch,2
2022-09-22,Mlango Farm Oregano - Bunch,1
2022-09-23,Mlango Farm Oregano - Bunch,2
2022-09-25,Mlango Farm Oregano - Bunch,1
2022-09-30,Mlango Farm Oregano - Bunch,1
2022-10-01,Mlango Farm Oregano - Bunch,2
2022-10-04,Mlango Farm Oregano - Bunch,4
2022-10-05,Mlango Farm Oregano - Bunch,1
2022-10-06,Mlango Farm Oregano - Bunch,1
2022-10-08,Mlango Farm Oregano - Bunch,2
2022-10-13,Mlango Farm Oregano - Bunch,2
2022-10-14,Mlango Farm Oregano - Bunch,1
2022-10-15,Mlango Farm Oregano - Bunch,1
2022-10-17,Mlango Farm Oregano - Bunch,1
2022-10-18,Mlango Farm Oregano - Bunch,2
2022-10-20,Mlango Farm Oregano - Bunch,2
2022-10-23,Mlango Farm Oregano - Bunch,1
2022-10-26,Mlango Farm Oregano - Bunch,2
2022-10-27,Mlango Farm Oregano - Bunch,1
2022-10-28,Mlango Farm Oregano - Bunch,1
2022-10-29,Mlango Farm Oregano - Bunch,4
2022-11-01,Mlango Farm Oregano - Bunch,1
2022-11-04,Mlango Farm Oregano - Bunch,1
2022-11-05,Mlango Farm Oregano - Bunch,1
2022-11-08,Mlango Farm Oregano - Bunch,5
2022-11-09,Mlango Farm Oregano - Bunch,1
2022-11-10,Mlango Farm Oregano - Bunch,1
2022-11-11,Mlango Farm Oregano - Bunch,1
2022-11-13,Mlango Farm Oregano - Bunch,1
2022-11-14,Mlango Farm Oregano - Bunch,2
