Date,Product Name,Quantity
2022-06-09,Maisha Whole Meal Bakers Flour - 2kg,1
2022-06-13,Maisha Whole Meal Bakers Flour - 2kg,1
2022-06-17,Maisha Whole Meal Bakers Flour - 2kg,1
2022-06-22,Maisha Whole Meal Bakers Flour - 2kg,1
2022-07-01,Maisha Whole Meal Bakers Flour - 2kg,1
2022-07-05,Maisha Whole Meal Bakers Flour - 2kg,1
2022-07-11,Maisha Whole Meal Bakers Flour - 2kg,1
2022-07-12,Maisha Whole Meal Bakers Flour - 2kg,2
2022-07-14,Maisha Whole Meal Bakers Flour - 2kg,1
2022-08-04,Maisha Whole Meal Bakers Flour - 2kg,1
2022-08-08,Maisha Whole Meal Bakers Flour - 2kg,1
2022-08-12,Maisha Whole Meal Bakers Flour - 2kg,1
2022-08-15,Maisha Whole Meal Bakers Flour - 2kg,11
2022-08-24,Maisha Whole Meal Bakers Flour - 2kg,2
2022-08-27,Maisha Whole Meal Bakers Flour - 2kg,1
2022-08-29,Maisha Whole Meal Bakers Flour - 2kg,1
2022-09-02,Maisha Whole Meal Bakers Flour - 2kg,2
2022-09-05,Maisha Whole Meal Bakers Flour - 2kg,3
2022-09-07,Maisha Whole Meal Bakers Flour - 2kg,1
2022-09-08,Maisha Whole Meal Bakers Flour - 2kg,1
2022-09-13,Maisha Whole Meal Bakers Flour - 2kg,2
2022-09-21,Maisha Whole Meal Bakers Flour - 2kg,1
2022-09-24,Maisha Whole Meal Bakers Flour - 2kg,1
2022-09-26,Maisha Whole Meal Bakers Flour - 2kg,1
2022-09-28,Maisha Whole Meal Bakers Flour - 2kg,1
2022-09-29,Maisha Whole Meal Bakers Flour - 2kg,2
2022-10-06,Maisha Whole Meal Bakers Flour - 2kg,8
2022-10-12,Maisha Whole Meal Bakers Flour - 2kg,1
2022-10-14,Maisha Whole Meal Bakers Flour - 2kg,4
2022-10-16,Maisha Whole Meal Bakers Flour - 2kg,1
2022-10-18,Maisha Whole Meal Bakers Flour - 2kg,1
2022-10-20,Maisha Whole Meal Bakers Flour - 2kg,1
2022-10-21,Maisha Whole Meal Bakers Flour - 2kg,1
2022-11-02,Maisha Whole Meal Bakers Flour - 2kg,1
2022-11-03,Maisha Whole Meal Bakers Flour - 2kg,2
2022-11-04,Maisha Whole Meal Bakers Flour - 2kg,1
2022-11-07,Maisha Whole Meal Bakers Flour - 2kg,2
2022-11-09,Maisha Whole Meal Bakers Flour - 2kg,6
2022-11-16,Maisha Whole Meal Bakers Flour - 2kg,1
2022-11-17,Maisha Whole Meal Bakers Flour - 2kg,2
2022-11-25,Maisha Whole Meal Bakers Flour - 2kg,1
2022-11-26,Maisha Whole Meal Bakers Flour - 2kg,1
2022-11-28,Maisha Whole Meal Bakers Flour - 2kg,1
2022-11-30,Maisha Whole Meal Bakers Flour - 2kg,1
2022-12-08,Maisha Whole Meal Bakers Flour - 2kg,1
2022-12-10,Maisha Whole Meal Bakers Flour - 2kg,1
2022-12-15,Maisha Whole Meal Bakers Flour - 2Kg,2
2022-12-16,Maisha Whole Meal Bakers Flour - 2Kg,2
2022-12-16,Maisha Whole Meal Bakers Flour - 2kg,2
2022-12-19,Maisha Whole Meal Bakers Flour - 2Kg,1
2022-12-21,Maisha Whole Meal Bakers Flour - 2Kg,1
2022-12-30,Maisha Whole Meal Bakers Flour - 2Kg,7
2023-01-03,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-01-05,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-01-09,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-01-11,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-01-14,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-01-16,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-01-17,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-01-19,Maisha Whole Meal Bakers Flour - 2Kg,12
2023-01-23,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-01-26,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-01-27,Maisha Whole Meal Bakers Flour - 2Kg,8
2023-02-01,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-02-03,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-02-04,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-02-07,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-02-09,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-02-10,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-02-14,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-02-15,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-02-16,Maisha Whole Meal Bakers Flour - 2Kg,5
2023-02-17,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-02-18,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-02-19,Maisha Whole Meal Bakers Flour - 2Kg,1
2023-02-22,Maisha Whole Meal Bakers Flour - 2Kg,10
2023-02-24,Maisha Whole Meal Bakers Flour - 2Kg,2
2023-02-25,Maisha Whole Meal Bakers Flour - 2Kg,3
2023-02-27,Maisha Whole Meal Bakers Flour - 2Kg,4
