Date,Product Name,Quantity
2022-11-27,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-11-28,Mijini Fresh Red Radish Microgreens - 50g Punnet,4
2022-12-01,Mijini Fresh Red Radish Microgreens - 50g Punnet,3
2022-12-02,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-03,Mijini Fresh Red Radish Microgreens - 50g Punnet,3
2022-12-05,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-10,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-13,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-15,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-16,Mijini Fresh Red Radish Microgreens - 50g Punnet,5
2022-12-20,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-22,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-24,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2022-12-28,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2022-12-29,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-01-09,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-01-11,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-01-13,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-01-14,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-01-15,Mijini Fresh Red Radish Microgreens - 50g Punnet,3
2023-01-20,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-01-21,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-01-24,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-01-27,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-01-30,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-02-02,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-12,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-13,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-14,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-16,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-17,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-19,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-20,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-02-24,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-27,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-02-28,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-03-01,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-03-03,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-03-07,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-03-09,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-03-13,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-03-17,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-03-19,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-03-25,Mijini Fresh Red Radish Microgreens - 50g Punnet,4
2023-03-28,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-03-30,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-04-04,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-04-09,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-04-15,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-04-18,Mijini Fresh Red Radish Microgreens - 50g Punnet,2
2023-04-20,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-04-25,Mijini Fresh Red Radish Microgreens - 50g Punnet,1
2023-04-27,Mijini Fresh Red Radish Microgreens - 50g Punnet,4
