Date,Product Name,Quantity
2022-03-02,Pears - Pack of 7,4
2022-03-03,South Africa Pears - Pack of 7,1
2022-03-03,Pears - Pack of 7,5
2022-03-04,South Africa Pears - Pack of 7,1
2022-03-05,South Africa Pears - Pack of 7,2
2022-03-06,South Africa Pears - Pack of 7,1
2022-03-07,South Africa Pears - Pack of 7,3
2022-03-08,South Africa Pears - Pack of 7,3
2022-04-10,South Africa Pears - Pack of 7,3
2022-04-11,South Africa Pears - Pack of 7,4
2022-04-12,South Africa Pears - Pack of 7,2
2022-04-13,South Africa Pears - Pack of 7,1
2022-04-20,South Africa  Blush Pears - Pack of 6,1
2022-04-21,South Africa  Blush Pears - Pack of 6,2
2022-04-22,South Africa  Blush Pears - Pack of 6,2
2022-04-27,South Africa  Blush Pears - Pack of 6,1
2022-04-28,South Africa  Blush Pears - Pack of 6,1
2022-04-29,South Africa  Blush Pears - Pack of 6,1
2022-05-01,South Africa  Blush Pears - Pack of 6,1
2022-05-03,South Africa  Blush Pears - Pack of 6,2
2022-05-04,South Africa  Blush Pears - Pack of 6,2
2022-05-06,South Africa  Blush Pears - Pack of 6,2
2022-05-07,South Africa  Blush Pears - Pack of 6,1
2022-05-08,South Africa  Blush Pears - Pack of 6,2
2022-05-09,South Africa  Blush Pears - Pack of 6,4
2022-05-10,South Africa  Blush Pears - Pack of 6,1
2022-05-11,South Africa  Blush Pears - Pack of 6,1
2022-05-13,South Africa  Blush Pears - Pack of 6,3
2022-05-14,South Africa  Blush Pears - Pack of 6,2
2022-05-15,South Africa  Blush Pears - Pack of 6,1
2022-05-16,South Africa  Blush Pears - Pack of 6,2
2022-05-17,South Africa  Blush Pears - Pack of 6,3
2022-05-18,South Africa  Blush Pears - Pack of 6,4
2022-05-19,South Africa  Blush Pears - Pack of 6,2
2022-05-20,South Africa  Blush Pears - Pack of 6,2
2022-05-21,South Africa  Blush Pears - Pack of 6,3
2022-05-22,South Africa  Blush Pears - Pack of 6,2
2022-05-23,South Africa  Blush Pears - Pack of 6,1
2022-05-24,South Africa  Blush Pears - Pack of 6,1
2022-05-25,South Africa  Blush Pears - Pack of 6,1
2022-05-26,South Africa  Blush Pears - Pack of 6,1
2022-05-28,South Africa  Blush Pears - Pack of 6,1
2022-05-29,South Africa  Blush Pears - Pack of 6,1
2022-05-30,South Africa  Blush Pears - Pack of 6,3
2022-05-31,South Africa  Blush Pears - Pack of 6,1
2022-06-01,South Africa Blush Pears - Pack of 6,1
2022-06-02,South Africa Blush Pears - Pack of 6,2
2022-06-03,South Africa Blush Pears - Pack of 6,3
2022-06-04,South Africa Blush Pears - Pack of 6,3
2022-06-06,South Africa Blush Pears - Pack of 6,2
2022-06-07,South Africa Blush Pears - Pack of 6,2
2022-06-08,South Africa Blush Pears - Pack of 6,1
2022-06-09,South Africa Blush Pears - Pack of 6,3
2022-06-10,South Africa Blush Pears - Pack of 6,3
2022-06-13,South Africa Blush Pears - Pack of 6,1
2022-06-14,South Africa Blush Pears - Pack of 6,5
2022-06-15,South Africa Blush Pears - Pack of 6,3
2022-06-18,South Africa Blush Pears - Pack of 6,3
2022-06-19,South Africa Blush Pears - Pack of 6,2
2022-06-20,South Africa Blush Pears - Pack of 6,3
2022-06-21,South Africa Blush Pears - Pack of 6,5
2022-06-22,South Africa Blush Pears - Pack of 6,3
2022-06-23,South Africa Blush Pears - Pack of 6,2
2022-06-24,South Africa Blush Pears - Pack of 6,2
2022-06-27,South Africa Blush Pears - Pack of 6,5
2022-06-28,South Africa Blush Pears - Pack of 6,2
2022-06-29,South Africa Blush Pears - Pack of 6,1
2022-06-30,South Africa Blush Pears - Pack of 6,2
2022-07-01,South Africa Blush Pears - Pack of 6,1
2022-07-02,South Africa Blush Pears - Pack of 6,3
2022-07-03,South Africa Blush Pears - Pack of 6,1
2022-07-04,South Africa Blush Pears - Pack of 6,5
2022-07-05,South Africa Blush Pears - Pack of 6,3
2022-07-06,South Africa Blush Pears - Pack of 6,1
2022-07-07,South Africa Blush Pears - Pack of 6,1
2022-07-09,South Africa Blush Pears - Pack of 6,1
2022-07-10,South Africa Blush Pears - Pack of 6,2
2022-07-11,South Africa Blush Pears - Pack of 6,3
2022-07-12,South Africa Blush Pears - Pack of 6,3
2022-07-13,South Africa Blush Pears - Pack of 6,1
2022-07-15,South Africa Blush Pears - Pack of 6,3
2022-07-16,South Africa Blush Pears - Pack of 6,2
2022-07-17,South Africa Blush Pears - Pack of 6,2
2022-07-18,South Africa Blush Pears - Pack of 6,13
2022-07-19,South Africa Blush Pears - Pack of 6,2
2022-07-20,South Africa Blush Pears - Pack of 6,2
2022-07-21,South Africa Blush Pears - Pack of 6,1
2022-07-22,South Africa Blush Pears - Pack of 6,1
2022-07-23,South Africa Blush Pears - Pack of 6,3
2022-07-24,South Africa Blush Pears - Pack of 6,1
2022-07-25,South Africa Blush Pears - Pack of 6,2
2022-07-26,South Africa Blush Pears - Pack of 6,1
2022-07-27,South Africa Blush Pears - Pack of 6,1
2022-07-30,South Africa Blush Pears - Pack of 6,3
2022-08-01,South Africa Blush Pears - Pack of 6,4
2022-08-02,South Africa Blush Pears - Pack of 6,2
2022-08-04,South Africa Blush Pears - Pack of 6,1
2022-08-05,South Africa Blush Pears - Pack of 6,1
2022-08-06,South Africa Blush Pears - Pack of 6,1
2022-08-07,South Africa Blush Pears - Pack of 6,2
2022-08-08,South Africa Blush Pears - Pack of 6,4
2022-08-09,South Africa Blush Pears - Pack of 6,1
