Date,Product Name,Quantity
2023-04-10,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-04-11,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-04-12,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-04-13,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-04-14,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-04-15,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-04-16,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-04-28,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-04-29,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-04-30,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-05-01,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,7
2023-05-02,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,4
2023-05-03,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-05-04,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-06,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-07,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-05-08,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-05-09,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-10,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-05-12,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,5
2023-05-13,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-14,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-05-16,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-05-17,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-18,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-05-19,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-20,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-05-21,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-05-22,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-23,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-24,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-05-26,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-01,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-02,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-03,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-04,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-06-05,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,4
2023-06-06,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,5
2023-06-08,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-09,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,4
2023-06-10,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-11,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-12,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-06-20,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,4
2023-06-22,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-25,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-27,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-06-29,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-07-01,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-07-03,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-07-04,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-07-05,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-07-07,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-07-11,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-07-13,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-07-17,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-07-18,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-07-21,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-07-24,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-07-25,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-07-29,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-07-31,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-08-01,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-08-05,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-08-07,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-08-09,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-08-10,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-08-14,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-08-16,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-08-17,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-08-19,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-08-20,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-08-21,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,5
2023-08-23,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-02,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-09-04,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-05,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-09-06,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-08,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-09-09,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-09-11,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-12,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-13,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,3
2023-09-14,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-15,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-16,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-18,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-09-28,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-09-30,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-10-01,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-10-02,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-10-03,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-10-04,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-10-05,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
2023-10-06,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-10-07,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,2
2023-10-08,Nautic Delights Breaded Fish Fingers - 250g (Frozen) - Plain,1
