Date,Product Name,Quantity
2021-11-10,Golfera Salame Milano- 80g,1
2021-11-11,Golfera Salame Milano- 80g,1
2021-11-13,Golfera Salame Milano- 80g,1
2021-11-29,Golfera Salame Milano- 80g,1
2021-12-11,Golfera Salame Milano- 80g,1
2021-12-13,Golfera Salame Milano- 80g,1
2021-12-14,Golfera Salame Milano- 80g,1
2021-12-17,Golfera Salame Milano- 80g,3
2021-12-21,Golfera Salame Milano- 80g,3
2021-12-22,Golfera Salame Milano- 80g,1
2021-12-23,Golfera Salame Milano- 80g,2
2021-12-24,Golfera Salame Milano- 80g,1
2021-12-30,Golfera Salame Milano- 80g,1
2022-01-05,Golfera Salame Milano- 80g,2
2022-01-11,Golfera Salame Milano- 80g,2
2022-01-15,Golfera Salame Milano- 80g,6
2022-01-17,Golfera Salame Milano- 80g,3
2022-01-25,Golfera Salame Milano- 80g,2
2022-01-26,Golfera Salame Milano- 80g,2
2022-01-27,Golfera Salame Milano- 80g,4
2022-02-03,Golfera Salame Milano- 80g,2
2022-03-10,Golfera Salame Milano- 80g,1
2022-03-15,Golfera Salame Milano- 80g,1
2022-03-16,Golfera Salame Milano- 80g,1
2022-03-18,Golfera Salame Milano- 80g,2
2022-03-22,Golfera Salame Milano- 80g,1
2022-03-26,Golfera Salame Milano- 80g,1
2022-03-31,Golfera Salame Milano- 80g,2
2022-04-02,Golfera Salame Milano- 80g,1
2022-04-12,Golfera Salame Milano- 80g,1
2022-04-13,Golfera Salame Milano- 80g,2
2022-04-20,Golfera Salame Milano- 80g,2
2022-04-27,Golfera Salame Milano- 80g,1
2022-04-30,Golfera Salame Milano- 80g,1
2022-05-04,Golfera Salame Milano- 80g,3
2022-05-11,Golfera Salame Milano- 80g,4
2022-05-12,Golfera Salame Milano- 80g,1
2022-05-16,Golfera Salame Milano- 80g,3
2022-05-21,Golfera Salame Milano- 80g,1
2022-05-23,Golfera Salame Milano- 80g,1
2022-06-23,Golfera Salame Milano- 80g,1
2022-06-30,Golfera Salame Milano- 80g,2
2022-07-01,Golfera Salame Milano- 80g,1
2022-07-13,Golfera Salame Milano- 80g,2
2022-07-14,Golfera Salame Milano- 80g,1
2022-07-15,Golfera Salame Milano- 80g,1
2022-07-18,Golfera Salame Milano- 80g,2
2022-08-08,Golfera Salame Milano- 80g,2
2022-08-13,Golfera Salame Milano- 80g,1
2022-08-16,Golfera Salame Milano- 80g,4
2022-08-28,Golfera Salame Milano- 80g,2
2022-09-17,Golfera Salame Milano- 80g,1
2022-09-24,Golfera Salame Milano- 80g,1
2022-09-27,Golfera Salame Milano- 80g,1
2022-09-28,Golfera Salame Milano- 80g,1
2022-10-07,Golfera Salame Milano- 80g,1
2022-10-11,Golfera Salame Milano- 80g,1
2022-10-19,Golfera Salame Milano- 80g,1
2022-10-22,Golfera Salame Milano- 80g,1
2022-11-23,Simonini Salame Milano- 80g,2
2022-11-25,Golfera Salame Milano- 80g,2
2022-11-28,Simonini Salame Milano- 80g,2
2022-12-02,Simonini Salame Milano- 80g,1
2022-12-03,Simonini Salame Milano- 80g,2
2022-12-08,Golfera Salame Milano- 80g,1
2022-12-10,Golfera Salame Milano- 80g,1
2022-12-11,Golfera Salame Milano- 80g,3
2022-12-13,Golfera Salame Milano- 80g,1
2022-12-16,Golfera Salame Milano- 80g,1
2022-12-18,Golfera Salame Milano- 80g,1
2022-12-20,Golfera Salame Milano- 80g,1
2022-12-29,Golfera Salame Milano- 80g,2
2023-01-05,Golfera Salame Milano- 80g,1
