Date,Product Name,Quantity
2022-07-05,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-07-06,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-07-10,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-07-13,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-07-18,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-07-21,Homechef Gluten-Free All-Purpose Flour - 750g,4
2022-07-29,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-07-31,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-08-01,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-08-02,Homechef Gluten-Free All-Purpose Flour - 750g,3
2022-08-11,Homechef Gluten-Free All-Purpose Flour - 750g,3
2022-08-12,Homechef Gluten-Free All-Purpose Flour - 750g,3
2022-08-15,Homechef Gluten-Free All-Purpose Flour - 750g,6
2022-08-16,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-08-22,Homechef Gluten-Free All-Purpose Flour - 750g,4
2022-08-30,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-08-31,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-09-01,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-09-07,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-09-09,Homechef Gluten-Free All-Purpose Flour - 750g,4
2022-09-13,Homechef Gluten-Free All-Purpose Flour - 750g,3
2022-09-14,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-09-15,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-09-21,Homechef Gluten-Free All-Purpose Flour - 750g,3
2022-09-23,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-09-25,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-09-29,Homechef Gluten-Free All-Purpose Flour - 750g,5
2022-10-01,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-10-04,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-10-12,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-10-13,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-10-20,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-10-21,Homechef Gluten-Free All-Purpose Flour - 750g,5
2022-10-29,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-10-31,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-11-03,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-11-07,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-11-08,Homechef Gluten-Free All-Purpose Flour - 750g,3
2022-11-12,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-11-13,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-11-17,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-11-19,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-11-22,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-11-24,Homechef Gluten-Free All-Purpose Flour - 750g,4
2022-11-25,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-11-29,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-11-30,Homechef Gluten-Free All-Purpose Flour - 750g,3
2022-12-08,Homechef Gluten-Free All-Purpose Flour - 750g,4
2022-12-14,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-12-15,Homechef Gluten-Free All-Purpose Flour - 750g,7
2022-12-17,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-12-19,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-12-20,Homechef Gluten-Free All-Purpose Flour - 750g,2
2022-12-23,Homechef Gluten-Free All-Purpose Flour - 750g,1
2022-12-24,Homechef Gluten-Free All-Purpose Flour - 750g,1
