Date,Product Name,Quantity
2023-10-05,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,6
2023-10-06,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,11
2023-10-07,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,8
2023-10-08,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,3
2023-10-09,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,23
2023-10-10,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,4
2023-10-11,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,29
2023-10-12,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,8
2023-10-13,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,12
2023-10-14,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,1
2023-10-15,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,4
2023-10-16,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,5
2023-10-17,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,5
2023-10-18,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,5
2023-10-19,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,8
2023-10-20,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,6
2023-10-21,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,5
2023-10-22,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,19
2023-10-23,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,16
2023-10-24,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,7
2023-10-25,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,8
2023-10-26,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,13
2023-10-27,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,13
2023-10-28,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,13
2023-10-29,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,6
2023-10-30,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,29
2023-10-31,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,11
2023-11-01,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,20
2023-11-02,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,7
2023-11-03,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,6
2023-11-03,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,11
2023-11-04,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,6
2023-11-05,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,9
2023-11-06,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,22
2023-11-06,Nor Supplies Salmon Portion (Sashimi Grade) - 200g - With Skin,1
2023-11-07,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,10
2023-11-08,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,5
2023-11-10,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,3
2023-11-11,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,11
2023-11-12,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,8
2023-11-13,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,17
2023-11-14,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,10
2023-11-15,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,12
2023-11-16,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,4
2023-11-18,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,1
2023-11-19,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,13
2023-11-20,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,23
2023-11-21,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,13
2023-11-22,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,8
2023-11-23,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,12
2023-11-24,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,10
2023-11-25,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,11
2023-11-26,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,7
2023-11-27,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,1
2023-11-28,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,1
2023-11-29,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,10
2023-11-30,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,30
2023-12-01,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,12
2023-12-02,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,9
2023-12-03,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,7
2023-12-04,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,31
2023-12-05,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,22
2023-12-06,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,4
2023-12-07,Nor Supplies Salmon Portion (Sashimi Grade) - Approx. 175g - With Skin,4
