Date,Product Name,Quantity
2020-06-14,Ololo Organic Chicken Drumsticks - 800g,3
2020-06-15,Ololo Organic Chicken Drumsticks - 800g,4
2020-06-17,Ololo Organic Chicken Drumsticks - 800g,2
2020-06-18,Ololo Organic Chicken Drumsticks - 800g,4
2020-07-14,Ololo Organic Chicken Drumsticks - 800g,1
2020-07-15,Ololo Organic Chicken Drumsticks - 800g,8
2020-07-17,Ololo Organic Chicken Drumsticks - 800g,1
2020-07-21,Ololo Organic Chicken Drumsticks - 800g,1
2020-08-28,Ololo Organic Chicken Drumsticks - 800g,1
2020-09-01,Ololo Organic Chicken Drumsticks - 800g,2
2020-09-26,Ololo Organic Chicken Drumsticks - 800g,1
2020-10-05,Ololo Organic Chicken Drumsticks - 800g,2
2020-10-08,Ololo Organic Chicken Drumsticks - 800g,2
2020-10-12,Ololo Organic Chicken Drumsticks - 800g,3
2020-10-17,Ololo Organic Chicken Drumsticks - 800g,1
2020-10-20,Ololo Organic Chicken Drumsticks - 800g,1
2020-10-27,Ololo Organic Chicken Drumsticks - 800g,1
2020-10-30,Ololo Organic Chicken Drumsticks - 800g,5
2020-10-31,Ololo Organic Chicken Drumsticks - 800g,3
2020-11-05,Ololo Organic Chicken Drumsticks - 800g,1
2020-11-20,Ololo Organic Chicken Drumsticks - 800g,1
2020-11-23,Ololo Organic Chicken Drumsticks - 800g,1
2020-11-24,Ololo Organic Chicken Drumsticks - 800g,3
2020-12-09,Ololo Organic Chicken Drumsticks - 800g,1
2020-12-14,Ololo Organic Chicken Drumsticks - 800g,2
2020-12-20,Ololo Organic Chicken Drumsticks - 800g,2
2020-12-28,Ololo Organic Chicken Drumsticks - 800g,2
2021-01-03,Ololo Organic Chicken Drumsticks - 800g,1
2021-01-06,Ololo Organic Chicken Drumsticks - 800g,4
2021-01-08,Ololo Organic Chicken Drumsticks - 800g,8
2021-01-20,Ololo Organic Chicken Drumsticks,1
2021-01-21,Ololo Organic Chicken Drumsticks - 800g,1
2021-01-28,Ololo Organic Chicken Drumsticks,3
2021-02-08,Ololo Organic Chicken Drumsticks,1
2021-02-15,Ololo Organic Chicken Drumsticks,1
2021-02-16,Ololo Organic Chicken Drumsticks,1
2021-02-22,Ololo Organic Chicken Drumsticks,1
2021-02-24,Ololo Organic Chicken Drumsticks,1
2021-02-26,Ololo Organic Chicken Drumsticks,2
2021-02-28,Ololo Organic Chicken Drumsticks,1
2021-03-03,Ololo Organic Chicken Drumsticks,2
2021-03-26,Ololo Organic Chicken Drumsticks,2
2021-03-30,Ololo Organic Chicken Drumsticks,2
2021-04-05,Ololo Organic Chicken Drumsticks,1
2021-04-07,Ololo Organic Chicken Drumsticks,1
2021-05-08,Ololo Organic Chicken Drumsticks,2
2021-05-28,Ololo Organic Chicken Drumsticks,1
2021-06-02,Ololo Organic Chicken Drumsticks,4
2021-06-04,Ololo Organic Chicken Drumsticks,4
2021-06-09,Ololo Organic Chicken Drumsticks,3
2021-06-12,Ololo Organic Chicken Drumsticks,2
2021-06-16,Ololo Organic Chicken Drumsticks,2
2021-06-18,Ololo Organic Chicken Drumsticks,1
2021-06-24,Ololo Organic Chicken Drumsticks,3
2021-06-25,Ololo Organic Chicken Drumsticks,2
2021-08-14,Ololo Organic Chicken Drumsticks,2
2021-08-20,Ololo Organic Chicken Drumsticks,4
2021-08-24,Ololo Organic Chicken Drumsticks,2
2021-08-27,Ololo Organic Chicken Drumsticks,1
2021-09-03,Ololo Organic Chicken Drumsticks,3
2021-09-07,Ololo Organic Chicken Drumsticks,2
2021-09-10,Ololo Organic Chicken Drumsticks,1
2021-09-16,Ololo Organic Chicken Drumsticks,4
2021-10-22,Ololo Organic Chicken Drumsticks,1
2022-01-26,Ololo Pasture Raised Chicken Drumsticks - 800g,2
2022-01-26,Ololo Organic Chicken Drumsticks,2
2022-01-27,Ololo Pasture Raised Chicken Drumsticks - 800g,3
2022-01-27,Ololo Organic Chicken Drumsticks,3
2022-01-29,Ololo Pasture Raised Chicken Drumsticks - 800g,1
2022-01-29,Ololo Organic Chicken Drumsticks,1
2022-01-31,Ololo Pasture Raised Chicken Drumsticks - 800g,3
