Date,Product Name,Quantity
2022-01-25,Ololo Farm Eggs - Tray of 30,2
2022-01-26,Ololo Farm Eggs - Tray of 30,12
2022-01-27,Ololo Farm Eggs - Tray of 30,12
2022-01-28,Ololo Farm Eggs - Tray of 30,10
2022-01-29,Ololo Farm Eggs - Tray of 30,2
2022-02-02,Ololo Farm Eggs - Tray of 30,10
2022-02-03,Ololo Farm Eggs - Tray of 30,17
2022-02-04,Ololo Farm Eggs - Tray of 30,14
2022-02-05,Ololo Farm Eggs - Tray of 30,10
2022-02-06,Ololo Farm Eggs - Tray of 30,4
2022-02-07,Ololo Farm Eggs - Tray of 30,10
2022-02-10,Ololo Farm Eggs - Tray of 30,6
2022-02-11,Ololo Farm Eggs - Tray of 30,16
2022-02-12,Ololo Farm Eggs - Tray of 30,6
2022-02-13,Ololo Farm Eggs - Tray of 30,4
2022-02-14,Ololo Farm Eggs - Tray of 30,22
2022-02-15,Ololo Farm Eggs - Tray of 30,10
2022-02-16,Ololo Farm Eggs - Tray of 30,4
2022-02-17,Ololo Farm Eggs - Tray of 30,10
2022-02-18,Ololo Farm Eggs - Tray of 30,6
2022-02-19,Ololo Farm Eggs - Tray of 30,4
2022-02-20,Ololo Farm Eggs - Tray of 30,4
2022-02-21,Ololo Farm Eggs - Tray of 30,12
2022-02-22,Ololo Farm Eggs - Tray of 30,12
2022-02-23,Ololo Farm Eggs - Tray of 30,6
2022-02-24,Ololo Farm Eggs - Tray of 30,8
2022-02-25,Ololo Farm Eggs - Tray of 30,16
2022-02-26,Ololo Farm Eggs - Tray of 30,8
2022-02-27,Ololo Farm Eggs - Tray of 30,8
2022-02-28,Ololo Farm Eggs - Tray of 30,16
2022-03-01,Ololo Farm Eggs - Tray of 30,14
2022-03-02,Ololo Farm Eggs - Tray of 30,9
2022-03-03,Ololo Farm Eggs - Tray of 30,4
2022-03-04,Ololo Farm Eggs - Tray of 30,7
2022-03-05,Ololo Farm Eggs - Tray of 30,6
2022-03-06,Ololo Farm Eggs - Tray of 30,2
2022-03-07,Ololo Farm Eggs - Tray of 30,15
2022-03-08,Ololo Farm Eggs - Tray of 30,8
2022-03-09,Ololo Farm Eggs - Tray of 30,3
2022-03-10,Ololo Farm Eggs - Tray of 30,8
2022-03-11,Ololo Farm Eggs - Tray of 30,10
