Date,Product Name,Quantity
2021-10-28,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),5
2021-10-29,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-10-31,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),5
2021-11-02,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-11-04,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),3
2021-11-05,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-11-08,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-11-11,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-11-12,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-11-15,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-11-16,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-11-17,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-11-18,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-11-19,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-11-24,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),9
2021-11-25,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-11-27,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-11-29,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),3
2021-12-03,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),4
2021-12-06,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-12-09,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-12-11,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),4
2021-12-16,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-12-17,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-12-18,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2021-12-20,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
2021-12-21,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),4
2021-12-29,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),1
2022-01-08,Pomona Cold Press Fresh Fruit Juice Classic Cleanse Flavour - 330ml (Returnable Glass Bottle),2
