Date,Product Name,Quantity
2022-07-30,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1000ml,1
2022-08-06,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-08-08,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-08-11,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-08-13,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-08-20,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-08-22,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-08-29,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-08-30,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-09-01,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-09-06,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,4
2022-09-10,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-09-12,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-09-16,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-09-17,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-09-19,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-09-21,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-09-24,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-09-27,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-10-01,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-10-02,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-10-03,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-10-04,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,5
2022-10-05,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-10-06,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-10-08,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-10-11,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-10-13,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,5
2022-10-14,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-10-15,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-10-17,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-10-18,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-10-21,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,4
2022-10-24,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,4
2022-10-26,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-10-27,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-10-31,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,4
2022-11-01,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-11-02,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-11-03,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-11-07,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-11-08,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-11-09,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-11-11,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-11-16,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-11-17,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-11-19,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-11-21,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,2
2022-11-25,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-11-28,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-11-29,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-12-03,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-12-05,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
2022-12-07,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,1
2022-12-08,Pomona Fresh Fruit Juice Orange Flavour - Returnable PET Bottle - 1L,3
