Date,Product Name,Quantity
2021-04-08,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-04-14,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-04-16,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-04-17,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-04-19,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-04-20,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-04-21,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-04-24,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-04-26,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-04-30,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),8
2021-05-05,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-05-08,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),5
2021-05-10,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-05-18,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-05-20,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-05-21,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-05-22,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-05-25,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-05-27,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-05-28,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-05-31,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-06-02,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-06-04,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-06-09,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),3
2021-06-10,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-06-24,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-06-28,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-06-30,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),3
2021-07-01,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-07-04,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-07-08,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),2
2021-07-09,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-07-14,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),3
2021-07-15,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
2021-07-16,Pasta Republic Fresh Frozen Pumpkin Ravioli (2 sizes),1
