Date,Product Name,Quantity
2022-11-02,Petite Kitchen Kimchi - 200g,4
2022-11-03,Petite Kitchen Kimchi - 200g,2
2022-11-04,Petite Kitchen Kimchi - 200g,2
2022-11-05,Petite Kitchen Kimchi - 200g,1
2022-11-06,Petite Kitchen Kimchi - 200g,1
2022-11-07,Petite Chef Kimchi - 330g,1
2022-11-07,Petite Kitchen Kimchi - 200g,2
2022-11-08,Petite Kitchen Kimchi - 200g,2
2022-11-09,Petite Chef Kimchi - 330g,3
2022-11-10,Petite Chef Kimchi - 330g,1
2022-11-11,Petite Chef Kimchi - 330g,1
2022-11-13,Petite Chef Kimchi - 330g,3
2022-11-16,Petite Chef Kimchi - 330g,2
2022-11-17,Petite Chef Kimchi - 330g,2
2022-11-18,Petite Chef Kimchi - 330g,1
2022-11-19,Petite Chef Kimchi - 330g,1
2022-11-21,Petite Chef Kimchi - 330g,1
2022-11-22,Petite Chef Kimchi - 330g,2
2022-11-23,Petite Chef Kimchi - 330g,3
2022-11-25,Petite Chef Kimchi - 330g,1
2022-11-27,Petite Chef Kimchi - 330g,4
2022-11-29,Petite Chef Kimchi - 330g,1
2022-12-03,Petite Chef Kimchi - 330g,3
2022-12-06,Petite Chef Kimchi - 330g,1
2022-12-09,Petite Chef Kimchi - 330g,3
2022-12-12,Petite Chef Kimchi - 330g,2
2022-12-13,Petite Chef Kimchi - 330g,1
2022-12-14,Petite Chef Kimchi - 330g,3
2022-12-15,Petite Chef Kimchi - 330g,1
2022-12-16,Petite Chef Kimchi - 330g,2
2022-12-20,Petite Chef Kimchi - 330g,2
2022-12-21,Petite Chef Kimchi - 330g,1
2022-12-23,Petite Chef Kimchi - 330g,1
2022-12-24,Petite Chef Kimchi - 330g,1
2022-12-25,Petite Chef Kimchi - 330g,1
2022-12-27,Petite Chef Kimchi - 330g,1
2022-12-30,Petite Chef Kimchi - 330g,4
2022-12-31,Petite Chef Kimchi - 330g,1
2023-01-01,Petite Chef Kimchi - 330g,2
2023-01-02,Petite Chef Kimchi - 330g,1
2023-01-03,Petite Chef Kimchi - 330g,1
2023-01-05,Petite Chef Kimchi - 330g,3
2023-01-06,Petite Chef Kimchi - 330g,3
2023-01-08,Petite Chef Kimchi - 330g,1
2023-01-09,Petite Chef Kimchi - 330g,3
2023-01-11,Petite Chef Kimchi - 330g,4
2023-01-12,Petite Chef Kimchi - 330g,1
2023-01-13,Petite Chef Kimchi - 330g,7
2023-01-14,Petite Chef Kimchi - 330g,1
2023-01-16,Petite Chef Kimchi - 330g,1
2023-01-17,Petite Chef Kimchi - 330g,1
2023-01-20,Petite Chef Kimchi - 330g,3
2023-01-22,Petite Chef Kimchi - 330g,1
2023-01-23,Petite Chef Kimchi - 330g,1
2023-01-24,Petite Chef Kimchi - 330g,3
2023-01-26,Petite Chef Kimchi - 330g,1
2023-01-30,Petite Chef Kimchi - 330g,5
2023-01-31,Petite Chef Kimchi - 330g,2
2023-02-01,Petite Chef Kimchi - 330g,6
2023-02-03,Petite Chef Kimchi - 330g,1
2023-02-05,Petite Chef Kimchi - 330g,3
2023-02-06,Petite Chef Kimchi - 330g,9
2023-02-08,Petite Chef Kimchi - 330g,1
2023-02-09,Petite Chef Kimchi - 330g,3
2023-02-10,Petite Chef Kimchi - 330g,3
2023-02-11,Petite Chef Kimchi - 330g,1
2023-02-12,Petite Chef Kimchi - 330g,4
2023-02-13,Petite Chef Kimchi - 330g,1
2023-02-16,Petite Chef Kimchi - 330g,2
2023-02-17,Petite Chef Kimchi - 330g,4
2023-02-18,Petite Chef Kimchi - 330g,10
2023-02-20,Petite Chef Kimchi - 330g,2
2023-02-23,Petite Chef Kimchi - 330g,2
2023-02-25,Petite Chef Kimchi - 330g,2
2023-02-26,Petite Chef Kimchi - 330g,3
2023-03-01,Petite Chef Kimchi - 330g,1
2023-03-02,Petite Chef Kimchi - 330g,2
2023-03-03,Petite Chef Kimchi - 330g,2
2023-03-04,Petite Chef Kimchi - 330g,2
2023-03-05,Petite Chef Kimchi - 330g,1
2023-03-06,Petite Chef Kimchi - 330g,1
2023-03-07,Petite Chef Kimchi - 330g,4
2023-03-09,Petite Chef Kimchi - 330g,2
2023-03-10,Petite Chef Kimchi - 330g,2
2023-03-13,Petite Chef Kimchi - 330g,1
2023-03-15,Petite Chef Kimchi - 330g,6
2023-03-16,Petite Chef Kimchi - 330g,1
2023-03-17,Petite Chef Kimchi - 330g,1
2023-03-18,Petite Chef Kimchi - 330g,2
2023-03-19,Petite Chef Kimchi - 330g,2
2023-03-20,Petite Chef Kimchi - 330g,1
2023-03-21,Petite Chef Kimchi - 330g,1
2023-03-23,Petite Chef Kimchi - 330g,2
2023-03-25,Petite Chef Kimchi - 330g,5
2023-03-26,Petite Chef Kimchi - 330g,1
2023-03-27,Petite Chef Kimchi - 330g,22
2023-03-28,Petite Chef Kimchi - 330g,2
2023-03-29,Petite Chef Kimchi - 330g,3
2023-03-30,Petite Chef Kimchi - 330g,2
2023-04-03,Petite Chef Kimchi - 330g,1
2023-04-05,Petite Chef Kimchi - 330g,3
2023-04-07,Petite Chef Kimchi - 330g,2
2023-04-08,Petite Chef Kimchi - 330g,1
2023-04-12,Petite Chef Kimchi - 330g,1
2023-04-13,Petite Chef Kimchi - 330g,3
2023-04-14,Petite Chef Kimchi - 330g,1
2023-04-16,Petite Chef Kimchi - 330g,1
2023-04-18,Petite Chef Kimchi - 330g,4
2023-04-19,Petite Chef Kimchi - 330g,1
2023-04-20,Petite Chef Kimchi - 330g,2
2023-04-21,Petite Chef Kimchi - 330g,4
2023-04-25,Petite Chef Kimchi - 330g,5
2023-04-26,Petite Chef Kimchi - 330g,2
2023-04-27,Petite Chef Kimchi - 330g,1
2023-04-28,Petite Chef Kimchi - 330g,3
2023-04-29,Petite Chef Kimchi - 330g,2
2023-04-30,Petite Chef Kimchi - 330g,1
2023-05-01,Petite Chef Kimchi - 330g,5
2023-05-02,Petite Chef Kimchi - 330g,3
2023-05-05,Petite Chef Kimchi - 330g,3
2023-05-06,Petite Chef Kimchi - 330g,1
2023-05-07,Petite Chef Kimchi - 330g,1
2023-05-08,Petite Chef Kimchi - 330g,1
2023-05-09,Petite Chef Kimchi - 330g,9
2023-05-11,Petite Chef Kimchi - 330g,1
2023-05-16,Petite Chef Kimchi - 330g,4
2023-05-17,Petite Chef Kimchi - 330g,2
2023-05-19,Petite Chef Kimchi - 330g,1
2023-05-20,Petite Chef Kimchi - 330g,1
