Date,Product Name,Quantity
2018-12-01,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-03,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-07,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-09,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-13,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-18,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-20,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-23,La Borgata Montepulciano d'Abruzzo DOC,1
2018-12-27,La Borgata Montepulciano d'Abruzzo DOC,1
2019-01-11,La Borgata Montepulciano d'Abruzzo DOC,1
2019-01-12,La Borgata Montepulciano d'Abruzzo DOC,1
2019-01-18,La Borgata Montepulciano d'Abruzzo DOC,1
2019-01-19,La Borgata Montepulciano d'Abruzzo DOC,1
2019-01-21,La Borgata Montepulciano d'Abruzzo DOC,1
2019-01-22,La Borgata Montepulciano d'Abruzzo DOC,3
2019-01-23,La Borgata Montepulciano d'Abruzzo DOC,1
2019-02-04,La Borgata Montepulciano d'Abruzzo DOC,1
2019-02-05,La Borgata Montepulciano d'Abruzzo DOC,1
2019-02-13,La Borgata Montepulciano d'Abruzzo DOC,3
2019-02-14,La Borgata Montepulciano d'Abruzzo DOC,2
2019-02-21,La Borgata Montepulciano d'Abruzzo DOC,1
2019-02-26,La Borgata Montepulciano d'Abruzzo DOC,5
2019-03-05,La Borgata Montepulciano d'Abruzzo DOC,1
2019-03-07,La Borgata Montepulciano d'Abruzzo DOC,1
2019-03-08,La Borgata Montepulciano d'Abruzzo DOC,1
2019-03-11,La Borgata Montepulciano d'Abruzzo DOC,1
2019-03-15,La Borgata Montepulciano d'Abruzzo DOC,2
2019-03-16,La Borgata Montepulciano d'Abruzzo DOC,2
2019-03-25,La Borgata Montepulciano d'Abruzzo DOC,1
2019-03-28,La Borgata Montepulciano d'Abruzzo DOC,1
2019-03-31,La Borgata Montepulciano d'Abruzzo DOC,1
