Date,Product Name,Quantity
2018-12-02,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2018-12-13,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2018-12-18,Organic Lamura Nero D’Avola - Terre Siciliane DOC,6
2019-01-04,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-01-08,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-01-19,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-01-23,Organic Lamura Nero D’Avola - Terre Siciliane DOC,3
2019-01-29,Organic Lamura Nero D’Avola - Terre Siciliane DOC,4
2019-02-01,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-02-04,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-02-05,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-02-10,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-02-12,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-02-13,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-03-04,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-03-05,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-03-19,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-03-25,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-04-06,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-04-08,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-04-16,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-04-17,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-04-21,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-05-05,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-05-10,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-05-14,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-05-19,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-06-28,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-07-05,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-07-23,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-08-02,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-08-06,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-08-11,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-09-02,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-09-03,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-09-07,Organic Lamura Nero D’Avola - Terre Siciliane DOC,4
2019-09-16,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-09-17,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-09-21,Organic Lamura Nero D’Avola - Terre Siciliane DOC,4
2019-09-23,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-10-02,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-10-13,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-10-16,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-11-06,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-11-17,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-11-18,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2019-11-24,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2019-12-19,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-01-20,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-01-23,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-02-04,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2020-02-18,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-03-02,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-03-09,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2020-03-14,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-03-17,Organic Lamura Nero D’Avola - Terre Siciliane DOC,6
2020-03-18,Organic Lamura Nero D’Avola - Terre Siciliane DOC,4
2020-03-25,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2020-03-26,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-03-27,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2020-03-30,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-04-01,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
2020-04-06,Organic Lamura Nero D’Avola - Terre Siciliane DOC,2
2020-04-09,Organic Lamura Nero D’Avola - Terre Siciliane DOC,9
2020-04-14,Organic Lamura Nero D’Avola - Terre Siciliane DOC,4
2020-04-18,Organic Lamura Nero D’Avola - Terre Siciliane DOC,3
2020-04-20,Organic Lamura Nero D’Avola - Terre Siciliane DOC,1
