Date,Product Name,Quantity
2021-03-12,Virtuoso Primitivo,3
2021-03-30,Virtuoso Primitivo,2
2021-03-31,Virtuoso Primitivo,3
2021-04-05,Virtuoso Primitivo,2
2021-04-06,Virtuoso Primitivo,1
2021-04-13,Virtuoso Primitivo,2
2021-04-14,Virtuoso Primitivo,1
2021-04-19,Virtuoso Primitivo,1
2021-05-08,Virtuoso Primitivo,1
2021-05-12,Virtuoso Primitivo,3
2021-05-17,Virtuoso Primitivo,5
2021-05-18,Virtuoso Primitivo,1
2021-06-07,Virtuoso Primitivo,1
2021-06-16,Virtuoso Primitivo,1
2021-07-04,Virtuoso Primitivo,2
2021-07-08,Virtuoso Primitivo,1
2021-09-02,Virtuoso Primitivo,1
2021-09-25,Virtuoso Primitivo,1
2021-10-01,Virtuoso Primitivo,1
2021-10-02,Virtuoso Primitivo,1
2021-10-18,Virtuoso Primitivo,2
2021-10-25,Virtuoso Primitivo,3
2021-11-02,Virtuoso Primitivo,1
2021-11-12,Virtuoso Primitivo,1
2021-11-26,Virtuoso Primitivo,1
2021-11-27,Virtuoso Primitivo,1
2021-12-03,Virtuoso Primitivo,1
2021-12-14,Virtuoso Primitivo,2
2021-12-21,Virtuoso Primitivo,2
2021-12-24,Virtuoso Primitivo,2
2022-01-01,Virtuoso Primitivo,1
2022-01-04,"Virtuoso Primitivo, 2019",1
2022-01-04,Virtuoso Primitivo,1
2022-01-07,"Virtuoso Primitivo, 2019",1
2022-01-07,Virtuoso Primitivo,1
2022-01-14,"Virtuoso Primitivo, 2019",4
2022-01-14,Virtuoso Primitivo,2
2022-01-16,"Virtuoso Primitivo, 2019",4
2022-01-16,Virtuoso Primitivo,2
2022-01-19,"Virtuoso Primitivo, 2019",16
2022-01-19,Virtuoso Primitivo,8
2022-01-25,"Virtuoso Primitivo, 2019",2
2022-01-25,Virtuoso Primitivo,2
2022-02-02,"Virtuoso Primitivo, 2019",6
2022-02-02,Virtuoso Primitivo,6
2022-02-05,"Virtuoso Primitivo, 2019",2
2022-02-05,Virtuoso Primitivo,2
2022-02-09,"Virtuoso Primitivo, 2019",1
2022-02-09,Virtuoso Primitivo,1
2022-02-19,"Virtuoso Primitivo, 2019",2
2022-02-19,Virtuoso Primitivo,2
2022-02-25,"Virtuoso Primitivo, 2019",2
2022-02-25,Virtuoso Primitivo,2
2022-03-12,"Virtuoso Primitivo, 2019",2
2022-03-12,Virtuoso Primitivo,2
2022-04-01,"Virtuoso Primitivo, 2019",5
2022-04-01,Virtuoso Primitivo,5
2022-04-25,"Virtuoso Primitivo, 2019",6
2022-04-29,"Virtuoso Primitivo, 2019",2
2022-04-30,"Virtuoso Primitivo, 2019",8
2022-05-07,"Virtuoso Primitivo, 2019",2
2022-05-13,"Virtuoso Primitivo, 2019",2
2022-05-21,"Virtuoso Primitivo, 2019",2
2022-05-25,"Virtuoso Primitivo, 2019",1
2022-06-14,"Virtuoso Primitivo, 2019",1
2022-06-17,"Virtuoso Primitivo, 2019",1
2022-06-20,"Virtuoso Primitivo, 2019",1
2022-06-22,"Virtuoso Primitivo, 2019",1
2022-06-24,"Virtuoso Primitivo, 2019",2
2022-07-18,"Virtuoso Primitivo, 2019",2
2022-07-21,"Virtuoso Primitivo, 2019",1
2022-07-22,"Virtuoso Primitivo, 2019",1
2022-07-23,"Virtuoso Primitivo, 2019",1
2022-07-28,"Virtuoso Primitivo, 2019",3
2022-07-29,"Virtuoso Primitivo, 2019",1
2022-08-05,"Virtuoso Primitivo, 2019",1
2022-08-08,"Virtuoso Primitivo, 2019",1
2022-08-17,"Virtuoso Primitivo, 2019",1
2022-08-23,"Virtuoso Primitivo, 2020",1
2022-08-25,"Virtuoso Primitivo, 2020",1
2022-08-27,"Virtuoso Primitivo, 2020",2
2022-09-02,"Virtuoso Primitivo, 2020",1
2022-09-08,"Virtuoso Primitivo, 2020",1
2022-09-10,"Virtuoso Primitivo, 2020",2
2022-09-16,"Virtuoso Primitivo, 2020",4
2022-09-24,"Virtuoso Primitivo, 2020",2
2022-10-03,"Virtuoso Primitivo, 2020",1
2022-10-17,"Virtuoso Primitivo, 2020",1
2022-10-21,"Virtuoso Primitivo, 2020",1
2022-10-22,"Virtuoso Primitivo, 2020",1
2022-11-09,"Virtuoso Primitivo, 2020",1
2022-11-11,"Virtuoso Primitivo, 2020",1
2022-11-16,"Virtuoso Primitivo, 2020",1
2022-11-18,"Virtuoso Primitivo, 2020",1
2022-11-19,"Virtuoso Primitivo, 2020",4
2022-11-20,"Virtuoso Primitivo, 2020",1
2022-11-26,"Virtuoso Primitivo, 2020",1
2022-11-27,"Virtuoso Primitivo, 2020",2
2022-11-28,"Virtuoso Primitivo, 2020",2
2022-12-02,"Virtuoso Primitivo, 2020",3
2023-01-03,"Virtuoso Primitivo, 2020",2
2023-01-09,"Virtuoso Primitivo, 2020",1
2023-01-24,"Virtuoso Primitivo, 2020",1
2023-02-05,"Virtuoso Primitivo, 2020",1
2023-02-11,"Virtuoso Primitivo, 2020",2
2023-02-15,"Virtuoso Primitivo, 2020",1
2023-02-18,"Virtuoso Primitivo, 2020",2
2023-03-03,"Virtuoso Primitivo, 2020",3
2023-03-14,"Virtuoso Primitivo, 2020",1
2023-03-18,"Virtuoso Primitivo, 2020",1
2023-03-30,"Virtuoso Primitivo, 2020",1
2023-04-01,"Virtuoso Primitivo, 2020",2
2023-04-04,"Virtuoso Primitivo, 2020",3
2023-04-05,"Virtuoso Primitivo, 2020",1
2023-04-09,"Virtuoso Primitivo, 2020",1
2023-04-10,"Virtuoso Primitivo, 2020",2
2023-04-11,"Virtuoso Primitivo, 2020",9
2023-04-15,"Virtuoso Primitivo, 2020",1
2023-04-20,"Virtuoso Primitivo, 2020",2
2023-04-29,"Virtuoso Primitivo, 2020",2
2023-04-30,"Virtuoso Primitivo, 2020",1
2023-05-03,"Virtuoso Primitivo, 2020",1
2023-05-10,"Virtuoso Primitivo, 2020",1
2023-05-18,"Virtuoso Primitivo, 2020",2
2023-05-29,"Virtuoso Primitivo, 2020",1
2023-05-30,"Virtuoso Primitivo, 2020",1
2023-06-06,"Virtuoso Primitivo, 2020",2
2023-06-10,"Virtuoso Primitivo, 2020",1
2023-06-12,"Virtuoso Primitivo, 2020",1
2023-06-19,"Virtuoso Primitivo, 2020",2
2023-06-27,"Virtuoso Primitivo, 2020",1
2023-07-02,"Virtuoso Primitivo, 2020",1
2023-07-08,"Virtuoso Primitivo, 2020",1
2023-07-12,"Virtuoso Primitivo, 2020",2
2023-07-27,"Virtuoso Primitivo, 2020",2
2023-08-10,"Virtuoso Primitivo, 2020",4
2023-08-13,"Virtuoso Primitivo, 2020",1
2023-08-23,"Virtuoso Primitivo, 2020",1
2023-09-02,"Virtuoso Primitivo, 2020",1
2023-09-09,"Virtuoso Primitivo, 2020",3
2023-09-12,"Virtuoso Primitivo, 2020",2
2023-09-14,"Virtuoso Primitivo, 2020",3
2023-09-15,"Virtuoso Primitivo, 2020",2
2023-09-23,"Virtuoso Primitivo, 2020",2
2023-09-26,"Virtuoso Primitivo, 2020",7
2023-09-27,"Virtuoso Primitivo, 2020",1
2023-09-30,"Virtuoso Primitivo, 2020",2
2023-10-05,"Virtuoso Primitivo, 2020",1
2023-10-06,"Virtuoso Primitivo, 2020",1
2023-10-08,"Virtuoso Primitivo, 2020",1
2023-10-10,"Virtuoso Primitivo, 2020",1
2023-10-11,"Virtuoso Primitivo, 2020",1
2023-10-20,"Virtuoso Primitivo, 2020",1
2023-10-21,"Virtuoso Primitivo, 2020",2
2023-10-27,"Virtuoso Primitivo, 2020",1
2023-10-31,"Virtuoso Primitivo, 2020",1
2023-11-01,"Virtuoso Primitivo, 2020",1
2023-11-03,"Virtuoso Primitivo, 2020",1
2023-11-04,"Virtuoso Primitivo, 2020",1
2023-11-06,"Virtuoso Primitivo, 2020",1
2023-11-09,"Virtuoso Primitivo, 2020",2
2023-11-10,"Virtuoso Primitivo, 2020",1
2023-11-15,"Virtuoso Primitivo, 2020",4
2023-11-16,"Virtuoso Primitivo, 2020",1
2023-11-20,"Virtuoso Primitivo, 2020",1
2023-11-21,"Virtuoso Primitivo, 2020",2
2023-11-24,"Virtuoso Primitivo, 2020",1
2023-12-01,"Virtuoso Primitivo, 2020",1
2023-12-07,"Virtuoso Primitivo, 2020",5
2023-12-08,"Virtuoso Primitivo, 2020",2
2023-12-09,"Virtuoso Primitivo, 2020",1
2023-12-12,"Virtuoso Primitivo, 2020",1
2023-12-16,"Virtuoso Primitivo, 2019",2
2023-12-18,"Virtuoso Primitivo, 2019",3
