Date,Product Name,Quantity
2018-12-03,Villalta Prosecco DOC,1
2018-12-05,Villalta Prosecco DOC,1
2018-12-07,Villalta Prosecco DOC,4
2018-12-16,Villalta Prosecco DOC,2
2018-12-17,Villalta Prosecco DOC,1
2018-12-18,Villalta Prosecco DOC,1
2018-12-19,Villalta Prosecco DOC,3
2018-12-20,Villalta Prosecco DOC,4
2018-12-22,Villalta Prosecco DOC,1
2019-01-10,Villalta Prosecco DOC,1
2019-01-14,Villalta Prosecco DOC,10
2019-01-21,Villalta Prosecco DOC,1
2019-01-29,Villalta Prosecco DOC,2
2019-02-13,Villalta Prosecco DOC,1
2019-02-18,Villalta Prosecco DOC,1
2019-02-24,Villalta Prosecco DOC,1
2019-03-03,Villalta Prosecco DOC,2
2019-03-12,Villalta Prosecco DOC,2
2019-03-21,Villalta Prosecco DOC,2
2019-03-26,Villalta Prosecco DOC,1
2019-03-27,Villalta Prosecco DOC,2
2019-04-01,Villalta Prosecco DOC,1
2019-04-10,Villalta Prosecco DOC,6
2019-04-17,Villalta Prosecco DOC,1
2019-05-08,Villalta Prosecco DOC,1
2019-05-16,Villalta Prosecco DOC,6
2019-05-30,Villalta Prosecco DOC,1
2019-06-10,Villalta Prosecco DOC,1
2019-07-06,Villalta Prosecco DOC,1
2019-08-01,Villalta Prosecco DOC,6
2019-08-06,Villalta Prosecco DOC,6
2019-08-28,Villalta Prosecco DOC,1
2019-09-03,Villalta Prosecco DOC,1
2019-10-08,Villalta Prosecco DOC,2
2019-10-09,Villalta Prosecco DOC,2
2019-10-12,Villalta Prosecco DOC,1
2019-11-06,Villalta Prosecco DOC,1
2019-11-07,Villalta Prosecco DOC,1
2019-11-20,Villalta Prosecco DOC,2
2019-11-27,Villalta Prosecco DOC,1
2019-11-28,Villalta Prosecco DOC,2
2019-12-04,Villalta Prosecco DOC,1
2019-12-05,Villalta Prosecco DOC,4
2019-12-12,Villalta Prosecco DOC,4
2019-12-16,Villalta Prosecco DOC,2
2019-12-17,Villalta Prosecco DOC,3
2019-12-19,Villalta Prosecco DOC,10
2019-12-20,Villalta Prosecco DOC,10
2019-12-23,Villalta Prosecco DOC,1
2020-02-04,Villalta Prosecco DOC,2
2020-02-12,Villalta Prosecco DOC,6
2020-02-26,Villalta Prosecco DOC,2
2020-03-10,Villalta Prosecco DOC,2
2020-03-16,Villalta Prosecco DOC,2
2020-03-23,Villalta Prosecco DOC,3
2020-03-25,Villalta Prosecco DOC,1
2020-03-27,Villalta Prosecco DOC,1
2020-03-29,Villalta Prosecco DOC,1
2020-04-06,Villalta Prosecco DOC,1
2020-04-09,Villalta Prosecco DOC,1
2020-05-02,Villalta Prosecco DOC,3
2020-05-05,Villalta Prosecco DOC,1
2020-05-12,Villalta Prosecco DOC,1
2020-05-19,Villalta Prosecco DOC,2
2020-05-28,Villalta Prosecco DOC,1
2020-06-02,Villalta Prosecco DOC,1
2020-06-04,Villalta Prosecco DOC,1
2020-06-06,Villalta Prosecco DOC,1
2020-06-08,Villalta Prosecco DOC,3
2020-06-15,Villalta Prosecco DOC,2
2020-06-26,Villalta Prosecco DOC,1
2020-07-10,Villalta Prosecco DOC,1
2020-07-21,Villalta Prosecco DOC,3
2020-07-31,Villalta Prosecco DOC,2
2020-08-03,Villalta Prosecco DOC,6
2020-08-06,Villalta Prosecco DOC,1
2020-08-13,Villalta Prosecco DOC,3
2020-08-26,Villalta Prosecco DOC,2
2020-08-28,Villalta Prosecco DOC,1
2020-09-03,Villalta Prosecco DOC,2
2020-09-07,Villalta Prosecco DOC,4
2020-09-11,Villalta Prosecco DOC,2
2020-09-15,Villalta Prosecco DOC,3
2020-09-17,Villalta Prosecco DOC,1
2020-10-01,Villalta Prosecco DOC,2
2020-10-14,Villalta Prosecco DOC,1
2020-10-15,Villalta Prosecco DOC,2
2020-10-16,Villalta Prosecco DOC,3
2020-11-02,Villalta Prosecco DOC,2
2020-11-04,Villalta Prosecco DOC,4
2020-11-05,Villalta Prosecco DOC,3
2020-11-20,Villalta Prosecco DOC,6
2020-11-22,Villalta Prosecco DOC,1
2020-11-23,Villalta Prosecco DOC,1
2020-12-01,Villalta Prosecco DOC,1
2020-12-09,Villalta Prosecco DOC,13
2020-12-14,Villalta Prosecco DOC,11
2020-12-20,Villalta Prosecco DOC,2
2020-12-21,Villalta Prosecco DOC,1
2020-12-28,Villalta Prosecco DOC,6
2020-12-29,Villalta Prosecco DOC,3
2021-01-14,Villalta Prosecco DOC,2
2021-01-15,Villalta Prosecco DOC,42
2021-01-28,Villalta Prosecco DOC,8
2021-02-03,Villalta Prosecco DOC,2
2021-02-15,Villalta Prosecco DOC,2
2021-02-24,Villalta Prosecco DOC,2
2021-03-09,Villalta Prosecco DOC,2
2021-03-12,Villalta Prosecco DOC,2
2021-03-26,Villalta Prosecco DOC,2
2021-03-27,Villalta Prosecco DOC,1
2021-03-29,Villalta Prosecco DOC,6
2021-03-31,Villalta Prosecco DOC,2
2021-04-07,Villalta Prosecco DOC,3
2021-04-09,Villalta Prosecco DOC,1
2021-04-21,Villalta Prosecco DOC,1
2021-04-23,Villalta Prosecco DOC,4
2021-04-24,Villalta Prosecco DOC,2
2021-05-08,Villalta Prosecco DOC,5
2021-05-21,Villalta Prosecco DOC,2
2021-06-09,Villalta Prosecco DOC,2
2021-07-08,Villalta Prosecco DOC,1
2021-07-23,Villalta Prosecco DOC,1
2021-07-28,Villalta Prosecco DOC,2
2021-08-12,Villalta Prosecco DOC,2
2021-08-20,Villalta Prosecco DOC,3
2021-08-27,Villalta Prosecco DOC,6
2021-09-09,Villalta Prosecco DOC,1
2021-09-11,Villalta Prosecco DOC,1
2021-10-02,Villalta Prosecco DOC,2
2021-10-04,Villalta Prosecco DOC,2
2021-10-08,Villalta Prosecco DOC,2
2021-10-14,Villalta Prosecco DOC,2
2021-10-17,Villalta Prosecco DOC,4
2021-10-18,Villalta Prosecco DOC,2
2021-10-22,Villalta Prosecco DOC,2
2021-10-28,Villalta Prosecco DOC,3
2021-11-02,Villalta Prosecco DOC,2
2021-11-04,Villalta Prosecco DOC,2
2021-11-11,Villalta Prosecco DOC,3
2021-11-13,Villalta Prosecco DOC,3
2021-11-19,Villalta Prosecco DOC,4
2021-11-24,Villalta Prosecco DOC,3
2021-11-25,Villalta Prosecco DOC,2
2021-11-26,Villalta Prosecco DOC,1
2021-12-16,Villalta Prosecco DOC,2
2021-12-17,Villalta Prosecco DOC,1
2021-12-20,Villalta Prosecco DOC,7
2021-12-21,Villalta Prosecco DOC,5
2021-12-22,Villalta Prosecco DOC,2
2021-12-23,Villalta Prosecco DOC,6
2021-12-24,Villalta Prosecco DOC,2
2021-12-29,Villalta Prosecco DOC,2
2021-12-30,Villalta Prosecco DOC,4
2022-01-10,Villalta Prosecco DOC,2
2022-01-14,Villalta Prosecco DOC,11
2022-01-27,Villalta Prosecco DOC,4
2022-01-30,Villalta Prosecco DOC,4
2022-02-04,Villalta Prosecco DOC,4
2022-02-05,Villalta Prosecco DOC,4
2022-02-07,Villalta Prosecco DOC,8
2022-02-11,Villalta Prosecco DOC,2
2022-02-12,Villalta Prosecco DOC,4
2022-02-15,Villalta Prosecco DOC,4
2022-02-18,Villalta Prosecco DOC,8
2022-03-01,Villalta Prosecco DOC,2
2022-03-03,Villalta Prosecco DOC,1
2022-03-06,Villalta Prosecco DOC,2
2022-03-07,Villalta Prosecco DOC,1
2022-03-11,Villalta Prosecco DOC,2
2022-03-19,Villalta Prosecco DOC,2
2022-03-25,Villalta Prosecco DOC,3
2022-03-29,Villalta Prosecco DOC,6
2022-03-31,Villalta Prosecco DOC,5
2022-04-01,Villalta Prosecco DOC,1
2022-04-13,Villalta Prosecco DOC,2
2022-04-14,Villalta Prosecco DOC,2
2022-04-16,Villalta Prosecco DOC,1
2022-04-28,Villalta Prosecco DOC,1
2022-05-05,Villalta Prosecco DOC,2
2022-05-10,Villalta Prosecco DOC,2
2022-06-04,Villalta Prosecco DOC,5
2022-06-07,Villalta Prosecco DOC,1
2022-06-08,Villalta Prosecco DOC,1
2022-06-09,Villalta Prosecco DOC,2
2022-06-10,Villalta Prosecco DOC,3
2022-06-17,Villalta Prosecco DOC,1
2022-06-20,Villalta Prosecco DOC,1
2022-06-21,Villalta Prosecco DOC,1
2022-07-01,Villalta Prosecco DOC,1
2022-07-06,Villalta Prosecco DOC,3
2022-07-08,Villalta Prosecco DOC,1
2022-07-14,Villalta Prosecco DOC,4
2022-08-30,Villalta Prosecco DOC,1
2022-09-09,Villalta Prosecco DOC,6
2022-09-21,Villalta Prosecco DOC,2
2022-09-24,Villalta Prosecco DOC,1
2022-10-01,Villalta Prosecco DOC,1
2022-10-05,Villalta Prosecco DOC,1
2022-11-07,Villalta Prosecco DOC,1
2022-11-12,Villalta Prosecco DOC,3
2022-11-16,Villalta Prosecco DOC,1
2022-11-18,Villalta Prosecco DOC,1
2022-11-25,Villalta Prosecco DOC,2
2022-11-26,Villalta Prosecco DOC,1
2022-11-30,Villalta Prosecco DOC,3
2022-12-01,Villalta Prosecco DOC,1
2022-12-02,Villalta Prosecco DOC,5
2022-12-08,Villalta Prosecco DOC,1
2022-12-09,Villalta Prosecco DOC,1
2022-12-13,Villalta Prosecco DOC,6
2022-12-14,Villalta Prosecco DOC,5
2022-12-16,Villalta Prosecco DOC,6
2022-12-20,Villalta Prosecco DOC,1
2022-12-22,Villalta Prosecco DOC,11
2022-12-23,Villalta Prosecco DOC,9
2022-12-24,Villalta Prosecco DOC,3
2022-12-26,Villalta Prosecco DOC,1
2022-12-29,Villalta Prosecco DOC,2
2022-12-30,Villalta Prosecco DOC,1
2022-12-31,Villalta Prosecco DOC,3
2023-01-03,Villalta Prosecco DOC,1
2023-01-04,Villalta Prosecco DOC,1
2023-01-10,Villalta Prosecco DOC,3
2023-01-11,Villalta Prosecco DOC,1
2023-01-12,Villalta Prosecco DOC,3
2023-01-13,Villalta Prosecco DOC,6
2023-01-14,Villalta Prosecco DOC,3
2023-01-17,Villalta Prosecco DOC,2
2023-01-18,Villalta Prosecco DOC,1
2023-01-20,Villalta Prosecco DOC,3
2023-01-21,Villalta Prosecco DOC,1
2023-01-22,Villalta Prosecco DOC,2
2023-01-23,Villalta Prosecco DOC,1
2023-01-24,Villalta Prosecco DOC,4
2023-01-27,Villalta Prosecco DOC,2
2023-02-01,Villalta Prosecco DOC,2
2023-02-03,Villalta Prosecco DOC,1
2023-02-04,Villalta Prosecco DOC,1
2023-02-07,Villalta Prosecco DOC,2
2023-03-18,Villalta Prosecco DOC,2
2023-03-30,Villalta Prosecco DOC,3
2023-04-05,Villalta Prosecco DOC,1
